"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2018","AQS","481670005","1","0.3","ppb","0","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/02/2018","AQS","481670005","1","0.3","ppb","0","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/03/2018","AQS","481670005","1","3","ppb","4","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/04/2018","AQS","481670005","1","0.7","ppb","0","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/05/2018","AQS","481670005","1","0.9","ppb","0","Texas City Ball Park","23","96.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/06/2018","AQS","481670005","1","0.4","ppb","0","Texas City Ball Park","23","96.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/07/2018","AQS","481670005","1","5.1","ppb","7","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/08/2018","AQS","481670005","1","0.9","ppb","0","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/09/2018","AQS","481670005","1","0.3","ppb","0","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/10/2018","AQS","481670005","1","1.7","ppb","1","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/11/2018","AQS","481670005","1","4.9","ppb","6","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/12/2018","AQS","481670005","1","1.4","ppb","1","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/13/2018","AQS","481670005","1","1.6","ppb","1","Texas City Ball Park","22","92.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/14/2018","AQS","481670005","1","1","ppb","1","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/15/2018","AQS","481670005","1","6.7","ppb","9","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/16/2018","AQS","481670005","1","2","ppb","3","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/17/2018","AQS","481670005","1","0.6","ppb","0","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/18/2018","AQS","481670005","1","3.6","ppb","4","Texas City Ball Park","23","96.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/19/2018","AQS","481670005","1","0.8","ppb","0","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/20/2018","AQS","481670005","1","6","ppb","9","Texas City Ball Park","23","96.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/21/2018","AQS","481670005","1","7.6","ppb","10","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/22/2018","AQS","481670005","1","0.8","ppb","0","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/23/2018","AQS","481670005","1","2.3","ppb","3","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/24/2018","AQS","481670005","1","0.7","ppb","0","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/25/2018","AQS","481670005","1","0.3","ppb","0","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/26/2018","AQS","481670005","1","0.5","ppb","0","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/27/2018","AQS","481670005","1","-0.1","ppb","0","Texas City Ball Park","23","96.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/28/2018","AQS","481670005","1","0","ppb","0","Texas City Ball Park","22","92.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/29/2018","AQS","481670005","1","1.7","ppb","1","Texas City Ball Park","23","96.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/30/2018","AQS","481670005","1","2.4","ppb","3","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"01/31/2018","AQS","481670005","1","3.5","ppb","4","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"02/01/2018","AQS","481670005","1","1.9","ppb","1","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"02/02/2018","AQS","481670005","1","0.9","ppb","0","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"02/03/2018","AQS","481670005","1","0.2","ppb","0","Texas City Ball Park","23","96.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"02/04/2018","AQS","481670005","1","0.1","ppb","0","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"02/05/2018","AQS","481670005","1","2.2","ppb","3","Texas City Ball Park","20","83.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"02/06/2018","AQS","481670005","1","8.8","ppb","11","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"02/07/2018","AQS","481670005","1","0.2","ppb","0","Texas City Ball Park","22","92.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"02/08/2018","AQS","481670005","1","0.2","ppb","0","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"02/09/2018","AQS","481670005","1","5.5","ppb","7","Texas City Ball Park","24","100.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"02/10/2018","AQS","481670005","1","2.4","ppb","3","Texas City Ball Park","22","92.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
"02/11/2018","AQS","481670005","1","0.2","ppb","0","Texas City Ball Park","23","96.0000","42401","Sulfur dioxide","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.385234","-94.93152"
