X,Y,OBJECTID_1,OBJECTID,ID,DIST_NM,CNTY_NM,T_FLAG,AADT_2019,AADT_2018,AADT_2017,AADT_2016,AADT_2015,AADT_2014,AADT_2013,AADT_2012,AADT_2011,AADT_2010,AADT_2009,AADT_2008,AADT_2007,AADT_2006,AADT_2005,AADT_2004,AADT_2003,AADT_2002,AADT_2001,AADT_2000,ZLEVEL
-95.689255,28.965506,19830,19830,164929,Houston,Brazoria,2.00E+03,3452,3362,3349,3003,2856,2362,2595,2500,2400,2200,2300,2700,2900,2800,2730,2700,2700,2400,2300,2500,12
-95.786865,29.070272,19831,19831,164945,Houston,Brazoria,2.00E+06,9132,10437,10242,10588,8381,7093,7252,7000,6800,6300,7100,6200,7800,7300,8300,7200,7000,6800,6300,8600,9
-95.731125,29.054026,19832,19832,164953,Houston,Brazoria,20H66,3732,3749,3523,4326,4220,2438,3725,3800,2900,2800,3900,3500,3700,3400,3500,3400,3400,4400,4300,3800,12
-95.746376,29.080891,19833,19833,164961,Houston,Brazoria,20T44,567,386,962,1291,2400,2452,2072,2000,6900,6800,6700,6800,8400,7300,8540,7600,7000,7200,6900,8900,13
-95.721085,29.086866,19834,19834,164969,Houston,Brazoria,20H67,6807,6229,5807,7679,6661,5251,4982,4800,3800,5100,6100,5300,5400,5000,6040,5300,5700,4700,6500,6100,12
-95.699127,29.039227,19835,19835,164977,Houston,Brazoria,20T43,5730,6327,5861,6803,6967,5305,5676,5700,5100,5200,6300,5300,5900,6400,5830,5700,5800,5600,6300,5200,10
-95.69825,29.038498,19836,19836,164985,Houston,Brazoria,20T42,3807,3742,3635,4211,4614,3136,3254,3300,2900,2700,3500,3500,3800,3700,3400,3300,3400,3300,3800,3400,12
-95.698341,29.03931,19837,19837,164993,Houston,Brazoria,20T41,3220,3131,2949,3284,3459,2550,3177,3300,3000,2800,3500,2800,3500,3700,3500,3500,3200,3300,3300,2900,10
-95.691055,29.036461,19838,19838,165001,Houston,Brazoria,20H65,5302,5302,5099,5852,4331,4194,4636,4700,4600,4000,4800,4600,4900,4700,4660,4900,4400,5000,4900,4700,12
-95.691017,29.048203,19839,19839,165009,Houston,Brazoria,20T40,3199,3056,2935,3268,3339,2581,2956,2800,2600,2600,2600,2300,2500,2700,2610,2700,2600,2400,2400,2600,11
-95.692825,29.051361,19840,19840,165017,Houston,Brazoria,20H64,3824,3976,3716,4066,4056,3077,3515,3400,3100,2800,2900,2600,3000,3100,3060,3300,3200,3000,3200,3400,12
-95.684235,29.078352,19841,19841,165025,Houston,Brazoria,20H63,5141,5568,5044,5445,5351,3546,4181,3900,3400,3200,3700,3600,3600,3800,3750,3600,3600,3200,3600,3700,10
-95.69735,29.095589,19842,19842,165033,Houston,Brazoria,20H76,12139,11258,12741,13514,11622,8463,7635,7400,7400,6400,8400,6600,8200,7300,8020,6700,7000,7400,7000,8900,11
-95.689621,29.09458,19843,19843,165041,Houston,Brazoria,20H77,6272,6499,5868,6820,6617,4473,5213,5100,4700,4400,4400,4100,4500,4600,4740,4700,4600,4800,5100,5200,11
-95.891563,29.314154,19852,19852,165137,Houston,Fort Bend,8.00E+10,3876,3876,4696,3640,3024,2888,3176,2700,3100,2500,2400,2700,3200,3200,3000,2600,3000,2500,2700,2500,12
-95.855492,29.339317,19853,19853,165145,Houston,Fort Bend,80H108,4126,4126,4946,3826,3204,3162,3137,3000,3500,2700,2600,2900,3500,3400,3340,2700,3200,2900,2900,2700,10
-95.854073,29.342957,19854,19854,165153,Houston,Fort Bend,80H110,1392,1194,1440,1070,1045,1025,1084,1200,1050,870,910,1000,1050,1000,850,820,900,710,670,630,12
-95.850273,29.342878,19855,19855,165161,Houston,Fort Bend,80H107,3396,3396,4025,3096,2508,2513,2434,2200,2500,2100,2000,2300,2700,2800,2520,2600,2600,2500,3000,2400,11
-95.802475,29.163059,19856,19856,165169,Houston,Brazoria,20H70,284,362,296,267,272,299,270,260,270,310,300,260,350,360,380,380,330,350,340,450,12
-95.771912,29.155886,19857,19857,165177,Houston,Brazoria,20H74,550,489,612,539,490,515,477,460,570,460,490,450,590,580,700,570,680,670,630,680,10
