"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-01",,,,,,,"0.02",",,S,2400",,,,,"65","H,,S","71",",,M","62",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-02",,,,,,,"1.16",",,S,2400",,,,,"57","H,,S","69",",,M","44",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-03",,,,,,,"0.98",",,S,2400",,,,,"42","H,,S","44",",,M","35",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-04",,,,,,,"0.00",",,S,2400",,,,,"36","H,,S","42",",,M","32",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-05",,,,,,,"0.00",",,S,2400",,,,,"46","H,,S","58",",,M","36",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-06",,,,,,,"0.00",",,S,2400",,,,,"61","H,,S","69",",,M","58",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-07",,,,,,,"0.48",",,S,2400",,,,,"63","H,,S","69",",,M","59",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-08",,,,,,,"0.01",",,S,2400",,,,,"64","H,,S","69",",,M","55",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-09",,,,,,,"0.00",",,S,2400",,,,,"50","H,,S","55",",,M","41",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-10",,,,,,,,,,,,,,,"52",",,M","38",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-11",,,,,,,"0.00",",,S,2400",,,,,"55","H,,S","66",",,M","47",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-12",,,,,,,"0.00",",,S,2400",,,,,"61","H,,S","68",",,M","58",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-13",,,,,,,"0.00",",,S,2400",,,,,"64","H,,S","71",",,M","56",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-14",,,,,,,"0.00",",,S,2400",,,,,"54","H,,S","62",",,M","47",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-15",,,,,,,"0.00",",,S,2400",,,,,"48","H,,S","55",",,M","44",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-16",,,,,,,"0.00",",,S,2400",,,,,"57","H,,S","69",",,M","52",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-17",,,,,,,"0.01",",,S,2400",,,,,"65","H,,S","71",",,M","60",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-18",,,,,,,"0.01",",,S,2400",,,,,"61","H,,S","68",",,M","54",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-19",,,,,,,,,,,,,"60","H,,S","70",",,M","53",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-20",,,,,,,,,,,,,"66","H,,S","72",",,M","63",",,M",,,,,,,,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","1999-01-21",,,,,,,"0.01",",,S,2400",,,,,"67","H,,S","73",",,M","64",",,M",,,,,,,,,,,,,,,,,,,,,,
