"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WV03"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-01","12.08"," 2119"," 1358","0.86","0.0","0.0","69","76","62",,"  160","  160","0.0","23.9","32.0","    1",,"    1",,,,,,,,"    1",,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-02","11.41"," 1536"," 0156","0.05","0.0","0.0","49","64","34",,"  360","  220","0.0","23.9","36.0",,,"    1",,,,,,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-03","9.62"," 1212"," 1413","0.00","0.0","0.0","38","44","32",,"  330","  330","0.0","17.9","21.9",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-04","5.82"," 0958"," 0843","0.00","0.0","0.0","37","45","28",,"   30","   50","0.0","15.0","21.0",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-05","6.71"," 1502"," 1620","0.00","0.0","0.0","41","57","25","    0","  160","  160","0.0","16.1","19.9",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-06","3.58"," 0046"," 1730","0.00","0.0","0.0","61","74","47",,"  150","  190","0.0","13.0","21.9","    1",,,,,,,,,,"    1",,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-07","6.71"," 1555"," 1554","0.07","0.0","0.0","69","78","60","    0","  200","  200","0.0","17.0","23.9","    1",,,,,,,,,,"    1",,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-08","8.28"," 2140"," 2323","0.03","0.0","0.0","61","77","45","    0","  340","  330","0.0","19.9","25.9","    1",,,,,,,,,,"    1",,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-09","10.29"," 0216"," 0215","0.00","0.0","0.0","44","52","35","    0","  360","   30","0.0","21.9","30.0",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-10","4.47"," 1921"," 1627","0.00","0.0","0.0","43","57","29","    0","  130","  100","0.0","11.0","17.0",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-11","5.82"," 1326"," 1443","0.00","0.0","0.0","51","69","33","    0","  220","  170","0.0","16.1","19.9",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-12","8.50"," 1247"," 1455","0.00","0.0","0.0","62","73","50","    0","  190","  190","0.0","21.0","29.1",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-13","4.92"," 1822"," 1858","0.17","0.0","0.0","64","78","50",,"   80","   10","0.0","15.0","19.9","    1",,"    1",,,,,,,,"    1",,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-14","9.17"," 1942"," 1941","0.05","0.0","0.0","47","51","42","    0","   10","   20","0.0","16.1","21.9","    1",,,,,,,,,,"    1",,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-15","3.80"," 2143"," 0821","0.00","0.0","0.0","46","60","32",,"  160","   10","0.0","8.9","17.0","    1",,,,,,,"    1",,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-16","6.04"," 1624"," 1731","0.00","0.0","0.0","57","75","38",,"  170","  180","0.0","16.1","21.0","    1","    1",,,,,,,,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-17","4.70"," 1216"," 1231","0.00","0.0","0.0","65","78","51",,"  210","  190","0.0","16.1","23.0","    1",,,,,,,,,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-18","5.37"," 1138"," 1101","0.00","0.0","0.0","61","74","48","    0","   90","   50","0.0","16.1","23.9","    1","    1",,,,,,,,,"    1",,,,,,"    1",
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-19","5.37"," 1308"," 1308","0.00","0.0","0.0","61","77","45","    0","  240","  250","0.0","15.0","21.0","    1","    1",,,,,,"    1",,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-20","6.93"," 1644"," 2043","0.00","0.0","0.0","73","80","65","    0","  180","  200","0.0","16.1","21.0","    1",,,,,,,"    1",,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-21","11.86"," 1414"," 1207","0.00","0.0","0.0","75","79","70",,"  170","  190","0.0","21.9","32.0",,,,,,,,,,,,,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-22","10.29"," 1657"," 1658","0.25","0.0","0.0","63","76","49",,"  290","  300","0.0","23.9","31.1","    1",,,,,,,,,,"    1",,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-23","8.50"," 0037"," 0345","0.00","0.0","0.0","52","63","40",,"  320","  340","0.0","21.9","29.1",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-24","3.58"," 1344"," 1343","0.00","0.0","0.0","55","73","36","    0","  220","  220","0.0","13.0","17.0","    1",,,,,,,,,,,,,,,,"    1",
