"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-01","12.08",",,X"," 2119",",,X"," 1358",",,W","0.86",",,0,2400","0.0",",,0","0.0",",,0","69",",,W","76",",,0","62",",,0",,,"  160",",,X","  160",",,X","0.0",",,0","23.9",",,X","32.0",",,X","    1",",,0",,,"    1",",,0",,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-02","11.41",",,X"," 1536",",,X"," 0156",",,W","0.05",",,0,2400","0.0",",,0","0.0",",,0","49",",,W","64",",,0","34",",,0",,,"  360",",,X","  220",",,X","0.0",",,0","23.9",",,X","36.0",",,X",,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-03","9.62",",,X"," 1212",",,X"," 1413",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","38",",,W","44",",,0","32",",,0",,,"  330",",,X","  330",",,X","0.0",",,0","17.9",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-04","5.82",",,X"," 0958",",,X"," 0843",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","37",",,W","45",",,0","28",",,0",,,"   30",",,X","   50",",,X","0.0",",,0","15.0",",,X","21.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-05","6.71",",,X"," 1502",",,X"," 1620",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","41",",,W","57",",,0","25",",,0","    0",",,X","  160",",,X","  160",",,X","0.0",",,0","16.1",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-06","3.58",",,X"," 0046",",,X"," 1730",",,W","0.00","T,,0,2400","0.0",",,0","0.0",",,0","61",",,W","74",",,0","47",",,0",,,"  150",",,X","  190",",,X","0.0",",,0","13.0",",,X","21.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-07","6.71",",,X"," 1555",",,X"," 1554",",,W","0.07",",,0,2400","0.0",",,0","0.0",",,0","69",",,W","78",",,0","60",",,0","    0",",,X","  200",",,X","  200",",,X","0.0",",,0","17.0",",,X","23.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-08","8.28",",,X"," 2140",",,X"," 2323",",,W","0.03",",,0,2400","0.0",",,0","0.0",",,0","61",",,W","77",",,0","45",",,0","    0",",,X","  340",",,X","  330",",,X","0.0",",,0","19.9",",,X","25.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-09","10.29",",,X"," 0216",",,X"," 0215",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","44",",,W","52",",,0","35",",,0","    0",",,X","  360",",,X","   30",",,X","0.0",",,0","21.9",",,X","30.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-10","4.47",",,X"," 1921",",,X"," 1627",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","43",",,W","57",",,0","29",",,0","    0",",,X","  130",",,X","  100",",,X","0.0",",,0","11.0",",,X","17.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-11","5.82",",,X"," 1326",",,X"," 1443",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","51",",,W","69",",,0","33",",,0","    0",",,X","  220",",,X","  170",",,X","0.0",",,0","16.1",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-12","8.50",",,X"," 1247",",,X"," 1455",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","62",",,W","73",",,0","50",",,0","    0",",,X","  190",",,X","  190",",,X","0.0",",,0","21.0",",,X","29.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-13","4.92",",,X"," 1822",",,X"," 1858",",,W","0.17",",,0,2400","0.0",",,0","0.0",",,0","64",",,W","78",",,0","50",",,0",,,"   80",",,X","   10",",,X","0.0",",,0","15.0",",,X","19.9",",,X","    1",",,0",,,"    1",",,0",,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-14","9.17",",,X"," 1942",",,X"," 1941",",,W","0.05",",,0,2400","0.0",",,0","0.0",",,0","47",",,W","51",",,0","42",",,0","    0",",,X","   10",",,X","   20",",,X","0.0",",,0","16.1",",,X","21.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-15","3.80",",,X"," 2143",",,X"," 0821",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","46",",,W","60",",,0","32",",,0",,,"  160",",,X","   10",",,X","0.0",",,0","8.9",",,X","17.0",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-16","6.04",",,X"," 1624",",,X"," 1731",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","57",",,W","75",",,0","38",",,0",,,"  170",",,X","  180",",,X","0.0",",,0","16.1",",,X","21.0",",,X","    1",",,0","    1",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-01-17","4.70",",,X"," 1216",",,X"," 1231",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","65",",,W","78",",,0","51",",,0",,,"  210",",,X","  190",",,X","0.0",",,0","16.1",",,X","23.0",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
