"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT21","WT21_ATTRIBUTES"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2013-01-01","10.96",",,X",,,"0.13",",,X,2400","0.0",",,W","0.0",",,X",,,"67",",,X","46",",,X","  360",",,X","  360",",,X","17.9",",,X","23.0",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,X","    1",",,X",,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2013-01-02","10.51",",,X",,,"0.00","T,,X,2400","0.0",",,W","0.0",",,X",,,"46",",,X","41",",,X","   10",",,X","  340",",,X","19.9",",,X","23.0",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2013-01-03","9.62",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"56",",,X","38",",,X","   10",",,X","   40",",,X","17.0",",,X","21.0",",,X",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2013-01-04","8.28",",,X",,,"0.00","T,,X,2400","0.0",",,W","0.0",",,X",,,"50",",,X","43",",,X","   40",",,X","   40",",,X","17.9",",,X","21.9",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2013-01-05","6.49",",,X",,,"0.84",",,X,2400","0.0",",,W","0.0",",,X",,,"47",",,X","42",",,X","   70",",,X","   70",",,X","12.1",",,X","15.0",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,X","    1",",,X",,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2013-01-06","8.50",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"60",",,X","40",",,X","  340",",,X","   40",",,X","17.9",",,X","29.1",",,X",,,,,,,,,,,,,,,"    1",",,X",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2013-01-07","4.70",",,X",,,"0.00",",,X,2400","0.0",",,X","0.0",",,X",,,"57",",,X","36",",,X","   80",",,X","  100",",,X","12.1",",,X","15.0",",,X",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2013-01-08","8.72",",,X",,,"0.30",",,X,2400","0.0",",,W","0.0",",,X",,,"64",",,X","49",",,X","  110",",,X","  100",",,X","23.9",",,X","29.1",",,X",,,,,,,,,,,,,,,"    1",",,X","    1",",,X",,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2013-01-09","10.29",",,X",,,"1.30",",,X,2400","0.0",",,X","0.0",",,X",,,"67",",,X","61",",,X","   40",",,X","   40",",,X","29.1",",,X","34.9",",,X",,,,,"    1",",,X",,,,,,,,,"    1",",,X","    1",",,X",,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2013-01-10","4.25",",,X",,,"0.07",",,X,2400","0.0",",,X","0.0",",,X",,,"69",",,X","52",",,X","  240",",,X","  230",",,X","12.1",",,X","16.1",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,
