LinkID,Census_Block_Group_Code
NJ052110,340390316005
NJ069110,340390316005
NJ044110,340390315001
NJ092110,340390317001
NJ002110,340390313006
NJ022110,340390313006
NJ045110,340390317002
NJ076110,340390315003
NJ085110,340390317004
NJ071110,340390313005
NJ093110,340390318004
NJ094110,340390318004
NJ046110,340390318004
NJ003110,340390313004
NJ067110,340390321007
NJ095110,340390321007
NJ083110,340390321007
NJ068110,340390321006
NJ029110,340390321002
NJ026110,340390321002
NJ090110,340390321002
NJ037110,340390318002
NJ064110,340390318002
NJ070110,340390321005
NJ025110,340390321003
NJ055110,340390318003
NJ038110,340390313002
NJ007110,340390308011
NJ016110,340390337003
NJ017110,340390319024
NJ097110,340390312005
NJ082110,340390320011
NJ048110,340390320011
NJ065110,340390320011
NJ015110,340390319022
NJ049110,340390312003
NJ098110,340390312003
NJ087110,340390311005
NJ074110,340390320012
NJ081110,340390320012
NJ084110,340390320012
NJ036110,340390319023
NJ058110,340390319023
NJ035110,340390319023
NJ099110,340390312002
NJ001110,340390312001
NJ008110,340390312001
NJ019110,340390312001
NJ054110,340390312001
NJ028110,340390311001
NJ030110,340390311001
NJ060110,340390341001
NJ031110,340390320021
NJ057110,340390320021
NJ014110,340390302001
NJ011110,340390307001
NJ013110,340390307001
NJ020110,340390307001
NJ024110,340390307001
NJ072110,340390310001
NJ079110,340390310001
NJ023110,340390320022
NJ063110,340390320022
NJ061110,340390320022
NJ077110,340390320022
NJ059110,340390302003
NJ078110,340390302003
NJ021110,340390311002
NJ073110,340390303001
NJ062110,340390303002
NJ080110,340390303002
NJ018110,340390303002
NJ100110,340390304003
NJ012110,340390309001
NJ056110,340390307005
NJ053110,340390307005
NJ066110,340390307002
NJ075110,340390307002
NJ010110,340390307002
NJ047110,340390307002
NJ051110,340390307002
NJ032110,340390308024
NJ088110,340390304004
NJ089110,340390309003
NJ050110,340390307004
NJ009110,340390307004
NJ004110,340390307003
NJ039110,340390307003
NJ040110,340390307003
NJ043110,340390307003
NJ033110,340390306002
NJ041110,340390306001
NJ096110,340390305003
NJ034110,340390352002
NJ042110,340390306003
NJ086110,340390306003
NJ091110,340390306003
NJ005110,340390306004
NJ006110,340390306004
NJ027110,340390306004
TX051110,482012526001
TX051210,482012526001
TX055110,482012526001
TX055210,482012526001
TX034110,482012526001
TX034210,482012526001
TX104110,482012526001
TX104210,482012526001
TX105110,482012526001
TX105210,482012526001
TX060210,482012526001
TX060110,482012526001
TX072110,482012526001
TX072210,482012526001
TX044110,482012526001
TX044210,482012526001
TX045110,482012526001
TX045210,482012526001
TX050110,482012526001
TX050210,482012526001
TX046110,482012526001
TX046210,482012526001
TX042110,482012526001
TX042210,482012526001
TX092110,482012526001
TX092210,482012526001
TX027110,480717102002
TX027210,480717102002
TX026110,480717102002
TX026210,480717102002
TX043210,482012523002
TX043110,482012523002
TX041110,482012330004
TX041210,482012330004
TX069110,482012330004
TX069210,482012330004
TX103210,482012526004
TX103110,482012526004
TX047110,482012526004
TX047210,482012526004
TX049110,482012526004
TX049210,482012526004
TX048110,482012526004
TX048210,482012526004
TX052110,482012526004
TX052210,482012526004
TX053110,482012526004
TX053210,482012526004
TX054110,482012526004
TX054210,482012526004
TX057110,482012526004
TX057210,482012526004
TX058110,482012526004
TX058210,482012526004
TX059110,482012526004
TX059210,482012526004
TX062110,482012526004
TX062210,482012526004
TX063110,482012526004
TX063210,482012526004
TX064110,482012526004
TX064210,482012526004
TX065110,482012526004
TX065210,482012526004
TX037110,482012526004
TX037210,482012526004
TX038110,482012526004
TX038210,482012526004
TX039110,482012526004
TX039210,482012526004
TX040110,482012526004
TX040210,482012526004
TX061110,482012526004
TX061210,482012526004
TX073110,482012526004
TX073210,482012526004
TX074110,482012526004
TX074210,482012526004
TX033110,482012523003
TX033210,482012523003
TX025110,482012533003
TX025210,482012533003
TX003110,482012533001
TX003210,482012533001
TX075110,482012327004
TX075210,482012327004
TX030210,482012534001
TX030110,482012534001
TX031110,482012534001
TX031210,482012534001
TX035110,482012524002
TX035210,482012524002
TX106110,482012525004
TX106210,482012525004
TX067110,482012525001
TX067210,482012525001
TX005110,482012535004
TX016210,482012535004
TX005210,482012535004
TX016110,482012535004
TX004110,482012533002
TX004210,482012533002
TX036110,482012333001
TX036210,482012333001
TX023110,482012539001
TX023210,482012539001
TX068110,482012337008
TX068210,482012337008
TX006110,482012537001
TX006210,482012537001
TX029110,482012545001
TX029210,482012545001
TX024110,482012539003
TX024210,482012539003
TX021110,482012337007
TX021210,482012337007
TX022110,482012337002
TX022210,482012337002
TX102210,482013224001
TX102110,482013224001
TX032110,482013203001
TX032210,482013203001
TX028110,482012546005
TX028210,482012546005
TX011110,482013223001
TX011210,482013223001
TX013110,482013223001
TX013210,482013223001
TX007110,482013223001
TX008110,482013223001
TX010110,482013223001
TX007210,482013223001
TX008210,482013223001
TX010210,482013223001
TX012110,482013223001
TX012210,482013223001
TX009110,482013223001
TX009210,482013223001
TX017210,482013223001
TX017110,482013223001
TX018110,482013223001
TX018210,482013223001
TX081110,482013228004
TX081210,482013228004
TX089110,482013228004
TX089210,482013228004
TX086110,482013228004
TX086210,482013228004
TX082110,482013228004
TX082210,482013228004
TX083110,482013228004
TX083210,482013228004
TX085110,482013228004
TX085210,482013228004
TX087210,482013228004
TX087110,482013228004
TX090110,482013228004
TX090210,482013228004
TX091110,482013228004
TX091210,482013228004
TX093110,482013228004
TX093210,482013228004
TX094110,482013228001
TX094210,482013228001
TX095110,482013228001
TX095210,482013228001
TX097110,482013228001
TX097210,482013228001
TX066110,482013428002
TX066210,482013428002
TX100110,482013224003
TX100210,482013224003
TX096110,482013224003
TX096210,482013224003
TX001110,482014130001
TX001210,482014130001
TX088110,482013224004
TX088210,482013224004
TX099110,482013228002
TX099210,482013228002
TX098110,482013228002
TX098210,482013228002
TX076110,482013226002
TX076210,482013226002
TX070110,482013205002
TX070210,482013205002
TX101110,482013221002
TX101210,482013221002
TX014110,482013219004
TX014210,482013219004
TX002110,482013140003
TX002210,482013140003
TX084110,482013232001
TX084210,482013232001
TX020110,482013232003
TX020210,482013232003
TX079110,482013425001
TX079210,482013425001
TX015110,482013238002
TX015210,482013238002
TX077110,482013432002
TX077210,482013432002
TX078110,482013432002
TX078210,482013432002
TX019110,482013430001
TX019210,482013430001
TX071210,482013420001
TX071110,482013420001
TX080110,482013212002
TX080210,482013212002
CA038110,060379203352
CA031110,060379203352
CA036110,060379203352
CA037110,060379203352
CA021110,060379203352
CA025110,060379203352
CA034110,060379203352
CA039110,060379203352
CA032110,060379203343
CA029110,060379203131
CA023110,060379203131
CA028110,060379203132
CA040110,060379203132
CA027110,060379203132
CA033110,060379203132
CA022110,060379203132
CA024110,060379203132
CA026110,060379203132
CA030110,060379203132
CA035110,060379203132
CA071110,060373106005
CA077110,060373106005
CA067110,060373106005
CA076110,060373106004
CA070110,060373106004
CA072110,060373106004
CA073110,060373106002
CA066110,060373108001
CA065110,060373108001
CA074110,060373108002
CA078110,060373108002
CA068110,060373109007
CA069110,060373109007
CA075110,060373109007
CA043110,060372622009
CA001110,060372653051
CA080110,060372672001
CA006110,060372673002
CA045110,060372693005
CA063110,060372693005
CA015110,060372693005
CA012110,060372678002
CA009110,060372678002
CA057110,060372678002
CA062110,060372678002
CA014110,060372677002
CA007110,060372711002
CA061110,060372711002
CA041110,060372711003
CA004110,060372711003
CA011110,060372711003
CA016110,060372711003
CA008110,060372711004
CA042110,060372711004
CA005110,060372701002
CA018110,060372699021
CA002110,060372717012
CA003110,060372717021
CA086110,060372717022
CA092110,060372717022
CA100110,060372717022
CA081110,060372717022
CA083110,060372717022
CA084110,060372717022
CA087110,060372717022
CA090110,060372717022
CA091110,060372717022
CA097110,060372717022
CA098110,060372717022
CA106110,060372717022
CA093110,060372716001
CA094110,060372716001
CA095110,060372716001
CA101110,060372716001
CA102110,060372716001
CA103110,060372716001
CA104110,060372716001
CA096110,060372716001
CA082110,060372716001
CA088110,060372716001
CA089110,060372716001
CA099110,060372716001
CA105110,060372716001
CA019110,060372715001
CA013110,060372715001
CA051110,060375004011
CA055110,060375004011
CA048110,060375004011
CA054110,060375004011
CA059110,060372715003
CA020110,060372715003
CA053110,060375004014
CA010110,060372715002
CA017110,060372715002
CA060110,060372715002
CA046110,060375004012
CA044110,060375004012
CA047110,060375004012
CA049110,060375004012
CA050110,060375004012
CA056110,060375004012
CA052110,060375004013
CA079110,060372719003
CA058110,060377026004
