LinkID,HomeID,PufID,Sampling_Date,State,Type,Extraction_Date,GC_MS_Date,Volume_air,Lab_Blank,NAP,ACY,ACE,FLR,1MFL,DBT,PHE,ANT,2MA,1MA,1MP,9MA,4_5MP,3_6DMP,9_10DMA,FLT,PYR,BaFLR,RET,BbFLR,BNT,CPP,BaA,CHR_TRI,BFLTs,BeP,BaP,PER,IP,DBA,BghiP,COR,oxyCD,tCD,cCD,MC5,tNC,cNC,SurrRcv_ACEd10,SurrRcv_ANTd10,SurrRcv_FLTd10,SurrRcv_BePd12,comments,DBT_flag,PHE_flag,ANT_flag,2MA_flag,1MA_flag,1MP_flag,9MA_flag,4_5MP_flag,3_6DMP_flag,9_10DMA_flag,FLT_flag,PYR_flag,BaFLR_flag,RET_flag,BbFLR_flag,BNT_flag,CPP_flag,BaA_flag,CHR_TRI_flag,BFLTs_flag,BeP_flag,BaP_flag,PER_flag,IP_flag,DBA_flag,BghiP_flag,COR_flag,oxyCD_flag,tCD_flag,cCD_flag,MC5_flag,tNC_flag,cNC_flag,NAP_flag,ACY_flag,ACE_flag,FLR_flag,1MFL_flag
CA001110,CA011,40023,"1999-07-13 00:00:00",CA,INDOOR,"1999-09-20 00:00:00","1999-09-27 00:00:00",28.25,LBP09209,8.17654,2.49153,2.68649,13.5829,26.6565,3.38683,27.6364,3.40192,0.104728,3.27113,1.11239,0.249754,3.25413,1.66153,0.178615,3.02278,4.26219,0.162885,0.715348,0.0758999,0.0179756,0.0337672,0.0336112,0.212337,0.00780251,0.00616118,0.00767816,0.00141619,0.00124282,0.000372649,0.014799,0.00489603,NULL,NULL,NULL,NULL,NULL,NULL,0.870969,1.13211,0.861789,0.634523,"",,,,,,,,,,,,,,,,,,,,<DL,,,<DL,<DL,<DL,,,NA,NA,NA,NA,NA,NA,,,,,
CA001120,CA011,40021,"1999-07-13 00:00:00",CA,OUTDOOR,"1999-09-20 00:00:00","1999-09-27 00:00:00",25.22,LBP09209,4.31833,0.275183,0.586632,2.17141,12.7917,1.13391,8.415,0.421918,NULL,1.22882,0.54781,NULL,0.272528,0.285762,0.140418,1.23808,2.00599,0.0807988,0.221034,0.0332919,0.0256848,0.00258283,0.0104721,0.193078,0.00529671,0.00225763,0.00151972,0.00148552,0.000639576,0.001022,0.001207,0.0018882,NULL,NULL,NULL,NULL,NULL,NULL,0.7771,0.971672,0.92599,0.729069,"",,,,NA,,,NA,,,,,,,,,,,,,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,NA,NA,NA,NA,NA,NA,,,,,
CA001210,CA211,40191,"1999-12-01 00:00:00",CA,INDOOR,"2000-08-02 00:00:00","2000-08-28 00:00:00",27.66,LBP08020,9.0252,3.50742,2.25185,11.4966,4.41417,3.32447,27.7214,4.82813,1.18461,2.54685,1.58157,0.144301,1.41624,0.592076,0.0777609,2.64415,2.60478,0.130314,0.625208,0.0881534,0.0134985,0.0425309,0.0277738,0.0852925,0.0123988,0.00123053,0.000818571,0.000676823,0.00084588,0.000417564,0.000282579,0.000179152,0.00516356,1.03551,0.719807,0.182704,0.458967,0.0749553,0.786786,0.927468,0.796977,0.745764,"",,,,,,,,,,,,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,,,,,,,,,,
CA001220,CA211,40189,"1999-12-01 00:00:00",CA,OUTDOOR,"2000-08-02 00:00:00","2000-08-28 00:00:00",26.86,LBP08020,15.0522,1.77525,0.781004,4.65824,1.94008,0.423011,7.19789,0.650122,0.429824,0.769655,0.760138,0.0207538,0.726792,0.290872,NULL,1.65948,1.89585,0.163079,1.34762,0.0949436,0.00942803,NULL,0.0144163,0.0999135,0.00388442,0.000664425,0.000587999,0.000287637,0.000894347,0.000162179,0.000234923,NULL,0.00505026,0.18059,0.142956,0.0399764,0.0945717,0.0143941,0.831233,0.898519,0.869666,0.894297,"",,,,,,,,,,NA,,,,,,,NA,,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,NA,<DL,,,,,,,,,,
CA002110,CA012,40024,"1999-07-26 00:00:00",CA,INDOOR,"2000-01-12 00:00:00","2000-02-09 00:00:00",28.11,LBP01120,1.32224,0.710918,0.86297,3.76738,5.60348,2.06734,10.7854,0.304674,0.187081,3.26561,1.27347,0.0250988,0.218516,0.758502,0.065569,0.679946,0.731412,0.0501714,0.216618,0.0238504,0.00101338,0.000840478,0.00126275,0.0400637,0.00330416,0.0033648,0.00215105,0.000372648,0.00104571,0.000681845,0.00251622,0.00566897,NULL,NULL,NULL,NULL,NULL,NULL,0.547177,0.873915,0.848723,0.764324,"",,,,,,,,,,,,,,,,<DL,<DL,,,<DL,,<DL,<DL,<DL,<DL,,,NA,NA,NA,NA,NA,NA,,,,,
CA003110,CA013,40028,"1999-08-15 00:00:00",CA,INDOOR,"2000-02-07 00:00:00","2000-02-09 00:00:00",26.74,LBP02070,5.5088,1.36752,1.86832,3.68301,17.7544,1.72819,11.0769,0.598188,0.651299,1.07912,1.4094,0.571605,2.17419,0.624766,0.220626,2.491,4.02716,0.0382096,0.45051,0.379064,0.00882384,0.00252876,0.0115749,0.100105,0.00415681,0.0045768,0.00366829,NULL,0.000800646,0.000867095,0.0240077,0.00815478,NULL,NULL,NULL,NULL,NULL,NULL,0.84346,0.963636,0.927347,0.775755,"",,,,,,,,,,,,,,,,,,,,<DL,,,NA,<DL,<DL,,,NA,NA,NA,NA,NA,NA,,,,,
CA003120,CA013,40026,"1999-08-15 00:00:00",CA,OUTDOOR,"2000-02-07 00:00:00","2000-02-09 00:00:00",27.1,LBP02070,3.1047,0.401503,0.698117,3.97626,1.64771,1.5537,13.5061,0.59552,0.226914,1.3767,0.742586,0.148662,0.616649,0.454917,0.123453,2.91744,1.71334,0.0934238,0.11538,0.0391115,0.0248898,0.00503293,0.0096835,0.129251,0.00802014,0.00541506,0.0061058,NULL,0.000743056,0.000752205,0.00160122,0.0314805,NULL,NULL,NULL,NULL,NULL,NULL,0.74294,0.90425,0.900813,0.794157,"",,,,,,,,,,,,,,,,,,,,<DL,,,NA,<DL,<DL,<DL,,NA,NA,NA,NA,NA,NA,,,,,
CA003210,CA213,40183,"1999-11-29 00:00:00",CA,INDOOR,"2000-02-28 00:00:00","2000-03-05 00:00:00",27.18,LBP02280,12.1412,2.93311,1.60059,6.41495,9.24959,1.69598,9.55763,0.367714,0.400279,1.57903,0.88905,0.146381,0.596854,0.423618,0.104042,1.06416,1.19418,0.0459655,0.331985,0.0175193,0.0097961,0.0642435,0.0297999,0.0770914,0.00335116,0.000691065,NULL,0.00100206,0.00123809,0.00118847,0.00116691,0.00311738,NULL,NULL,NULL,NULL,NULL,NULL,0.59011,0.914946,0.912202,0.829518,"",,,,,,,,,,,,,,,,,,,,<DL,<DL,NA,<DL,<DL,<DL,<DL,<DL,NA,NA,NA,NA,NA,NA,,,,,
CA003220,CA213,40181,"1999-11-29 00:00:00",CA,OUTDOOR,"2000-02-28 00:00:00","2000-03-05 00:00:00",28.64,LBP02280,29.0838,11.4675,3.40202,9.63315,2.86469,1.13326,16.3999,1.31532,0.270448,1.143,1.00068,0.0323736,1.01076,0.400165,0.0199188,2.66822,2.81712,0.176801,0.606363,0.0839479,0.0169403,0.0447267,0.0710238,0.181256,0.0100957,0.00104041,0.000964813,0.0022363,0.00110966,0.00209217,0.00145386,0.0048285,NULL,NULL,NULL,NULL,NULL,NULL,0.479652,0.65056,0.626407,0.587215,"",,,,,,,,,,,,,,,,,,,,<DL,<DL,<DL,,<DL,,<DL,,NA,NA,NA,NA,NA,NA,,,,,
CA004110,CA014,40029,"1999-08-23 00:00:00",CA,INDOOR,"2001-04-30 00:00:00","2001-06-27 00:00:00",29.24,LBP04301,NULL,NULL,NULL,NULL,NULL,0.976322,5.67573,0.232203,0.517521,1.33652,0.592678,0.474323,0.250077,0.4146,NULL,0.828821,1.87911,0.0325748,0.199179,0.00532933,0.00720005,0.00209981,0.00445496,0.0462874,0.00879666,0.00151894,0.000449812,0.000549621,0.000285549,0.00010049,0.000312679,0.000104584,NULL,0.201991,0.106063,0.0223926,0.070941,0.0140819,0.897399,0.957261,0.89361,0.873338,"",,,,,,,,,,NA,,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,NA,,,,,,,,,,
