LinkID,XRF_ID,Number_of_experiment,Sample_ID,Li,Be,Mg,Al,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,Ga,Arsenic,Se,Rb,Sr,Ag,Cd,Cs,Ba,Tl,Pb,Bi,U,datestarted,dateended,Be_flag,Ti_flag,V_flag,Cr_flag,Mn_flag,Co_flag,Ni_flag,Cu_flag,Zn_flag,Ga_flag,Arsenic_flag,Se_flag,Rb_flag,Sr_flag,Ag_flag,Cd_flag,Cs_flag,Ba_flag,Tl_flag,Pb_flag,Bi_flag,U_flag,Li_flag,Mg_flag,Al_flag
TX050120,T12124,2,10551,0.0597268,-0.0245651,986.456,138.624,3.0374,18.3853,7.86034,2.68578,0.120899,7.84733,3.50654,12.1621,0.167139,0.855924,-1.40503,0.227829,0.65266,0.0977786,0.226866,0.0370884,3.61299,0.0351618,8.14019,0.110302,0.0221567,"2000-04-17 00:00:00","2000-04-19 00:00:00",ND,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,ND,,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,,,
TX051110,T12125,1,10552,0.0448525,-0.0434056,156.26,200.438,2.42541,1.74057,10.9093,1.36053,0.0139863,3.14546,6.40523,24.9582,0.0636616,1.26455,0.498683,0.201595,0.521832,0.2913,0.815544,0.00916341,1.16616,-0.00819884,4.54988,0.0665553,-0.0313485,"2000-04-19 00:00:00","2000-04-21 00:00:00",ND,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,<DL,,<DL,<DL,,ND,<DL,<DL,ND,,,
TX051120,T12126,1,10553,0.158111,-0.044401,897.767,604.287,9.87976,3.64576,7.02781,3.01656,0.0622697,4.2051,4.46609,32.0662,0.210634,0.789471,1.41379,0.311348,1.73164,0.152155,0.286441,0.0135369,3.5667,0.00649771,8.64087,0.0411521,-0.03303,"2000-04-19 00:00:00","2000-04-21 00:00:00",ND,<DL,<DL,,,<DL,<DL,<DL,<DL,,,,,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,ND,,,
TX058110,T12127,1,10602,0.0751566,-0.0471673,173.068,499.196,2.18265,4.70325,5.76011,1.43575,0.0673818,3.52044,5.21898,40.8023,0.0777482,2.21583,0.202664,0.150832,1.28958,1.79287,-0.00829315,-0.000518322,1.07966,-0.00777482,2.96273,-0.0191779,-0.0362825,"2000-05-10 00:00:00","2000-05-12 00:00:00",ND,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,<DL,,ND,ND,,ND,<DL,ND,ND,,,
TX058120,T12128,1,10611,0.0688677,-0.0483539,1961.51,293.884,3.31102,11.8198,6.9781,2.30292,0.123083,15.0141,3.83266,13.3975,0.0991499,0.247142,1.10188,0.293054,1.0462,0.163622,0.122594,0.00537266,1.46087,0.0063495,4.18628,-0.0156295,-0.0361433,"2000-05-10 00:00:00","2000-05-12 00:00:00",ND,<DL,,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,ND,,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,,,
TX058120,T12128,2,10611,0.0888931,-0.0273517,1032.53,172.072,3.06535,13.5782,8.16986,2.70684,0.186089,12.5134,4.32499,9.20092,0.101104,0.379017,-2.59744,0.366318,1.18003,0.0586108,0.313079,0.0371202,1.80179,0.0410276,4.71817,0.0361433,0.0210022,"2000-05-10 00:00:00","2000-05-12 00:00:00",ND,<DL,,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,ND,,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,,,
TX073120,T12129,1,10632,0.0160686,-0.0482057,42.3743,40.2543,2.15889,0.325518,2.73062,1.33939,0.205781,1.30622,2.01168,14.9697,0.0741227,0.950637,1.73385,0.287161,0.421929,0.107815,0.201116,0.00103668,1.40263,-0.00777511,7.05669,0.0129585,-0.0373205,"2000-06-05 00:00:00","2000-06-07 00:00:00",ND,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,,,<DL,<DL,<DL,<DL,,ND,<DL,<DL,ND,,,
TX076110,T12130,1,10636,-0.000558402,-0.0547234,44.527,232.965,1.9572,0.866081,3.59834,0.609216,0.465149,3.75078,4.61854,8.45197,0.0664498,0.147976,0.115031,0.0307121,0.31103,0.103304,-0.0563986,-0.0016752,1.23128,-0.0128432,2.80094,-0.00949283,-0.0424385,"2000-06-12 00:00:00","2000-06-14 00:00:00",ND,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,ND,ND,,ND,<DL,ND,ND,ND,,
TX064120,T12131,1,10638,0.0469,-0.0446667,1950.15,232.401,4.81552,11.0818,3.27183,3.76853,0.116133,21.3551,3.40673,14.6909,0.1273,2.01491,1.63837,0.196087,1.00053,0.126407,0.15812,0.00446667,1.78399,0.00223333,11.365,0.0192067,-0.0317133,"2000-05-17 00:00:00","2000-05-19 00:00:00",ND,<DL,,<DL,,<DL,<DL,<DL,<DL,<DL,,,,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,ND,,,
TX064110,T12132,1,10639,0.031869,-0.0517218,1122.73,309.809,2.52967,3.33057,3.48469,1.47956,0.137402,6.02533,13.0663,14.3724,0.11128,0.386608,0.568418,0.103444,0.533414,0.121729,-0.0444076,-0.000522443,1.23349,0.00208977,13.49,-0.0161957,-0.0417954,"2000-05-17 00:00:00","2000-05-19 00:00:00",ND,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,,<DL,<DL,ND,ND,,<DL,,ND,ND,,,
