LinkID,SampleID,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,Arsenic,Se,Br,Rb,Sr,Y,Zr,Mo,Pd,Ag,Cd,Indium,Sn,Sb,Ba,La,Hg,Pb,datestarted,dateended,Al_flag,Si_flag,P_flag,S_flag,Cl_flag,K_flag,Ca_flag,Ti_flag,V_flag,Cr_flag,Mn_flag,Fe_flag,Co_flag,Ni_flag,Cu_flag,Zn_flag,Ga_flag,Ge_flag,Arsenic_flag,Se_flag,Br_flag,Rb_flag,Sr_flag,Y_flag,Zr_flag,Mo_flag,Pd_flag,Ag_flag,Cd_flag,Indium_flag,Sn_flag,Sb_flag,Ba_flag,La_flag,Hg_flag,Pb_flag
TX007120,10000,0,0.243061,0,2.85242,0.028094,0.0858224,0.134765,0.00730297,0.00466376,0.000407215,0.00727608,0.138299,0,0.00228194,0.00253549,0.0226657,0,0,0.0017249,0.00142141,0.00522464,0,0.000153666,7.68329e-05,0.00060698,0,0.00088742,0.00190161,0.000683813,0,0.00428344,0.00316936,0.0214748,0.00768329,0,0.00397995,"1999-08-31 00:00:00","1999-09-02 00:00:00",ND,,ND,,,,,,,,,,ND,,<DL,,ND,ND,,,,ND,<DL,<DL,,ND,<DL,<DL,<DL,ND,<DL,<DL,,<DL,ND,
TX001120,10001,0.379738,0.76264,0,0.44584,0.136284,0.0997514,0.122465,0.0232976,0.00095286,0.000812217,0.00533742,0.244368,0,0.000439511,0.00568552,0.00290077,0.000393802,0.000348093,0.00116031,0.000534446,0.00095286,0,0.000787604,0,0,0.000256674,0,2.46126e-05,0,0.000812217,0.00563981,0,0.00953915,0,0.000625864,0.00157872,"1999-06-23 00:00:00","1999-06-25 00:00:00",,,ND,,,,,,,,,,ND,<DL,,,<DL,<DL,,,,ND,,ND,ND,<DL,ND,<DL,ND,<DL,<DL,ND,<DL,ND,<DL,
TX001110,10002,0.104469,0.24804,0,0.217415,0.0360225,0.0379603,0.0673735,0.00931879,0,0.000342577,0.00178209,0.0711107,0,0.000204162,0.00406594,0.00205546,0.000342577,0.000138415,0.000387562,0,0.0003668,0,0.00027337,0,2.42226e-05,0,0.000138415,0,0,0.000823569,0.00422512,0.000318354,0.0196653,0,0.000318354,0.0011177,"1999-06-23 00:00:00","1999-06-25 00:00:00",,,ND,,,,,,ND,,,,ND,<DL,,,<DL,<DL,<DL,ND,,ND,<DL,ND,<DL,ND,<DL,ND,ND,<DL,<DL,<DL,<DL,ND,<DL,<DL
TX009110,10005,0.0129188,0.0852426,0,0.538939,0.0372534,0.029452,0.167121,0.00755803,0.000543949,0.00278774,0.00080161,0.043516,0,0.000164616,0.000683515,0.00422634,0.000543949,0.000189667,0.000211138,7.15723e-05,0.000518899,0.000143145,0.000164616,7.15723e-05,0.000282711,0.000261239,0,0,0.000329233,0.000733616,0.00538581,0.00255155,0.0121637,0,0.000118094,0.00106285,"1999-09-02 00:00:00","1999-09-04 00:00:00",,,ND,,,,,,,,,,ND,<DL,<DL,,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,ND,ND,<DL,<DL,<DL,<DL,<DL,ND,<DL,<DL
TX009120,10006,0.00693533,0.114004,0,1.40637,0.0173884,0.0325603,0.0764674,0.00431849,0.00245239,0.000307442,0.00346766,0.0997758,0,0.000707832,0.00153364,0.00693533,9.29477e-05,0,0.00106175,0.000425414,0.00221645,0,0.000142996,0,0.00021092,0,2.50244e-05,0.000564836,0,0.00099025,0.00530874,0.00214852,0.0201268,0.00325674,0,0.00155866,"1999-09-02 00:00:00","1999-09-04 00:00:00",,,ND,,<DL,,,,,,,,ND,<DL,<DL,,<DL,ND,,,,ND,<DL,ND,<DL,ND,<DL,<DL,ND,<DL,<DL,<DL,,<DL,ND,
TX011120,10009,0.0290464,0.228021,0,1.55414,0.00901665,0.0728254,0.254397,0.0109402,0.0119275,0.00141716,0.00651749,0.154248,0,0.00504932,0.00288533,0.0332068,0,0,0.000721332,0.000987278,0.00396733,0.000287804,0.000360666,0,0.000575608,0.00112936,0.000167582,0.000721332,0.000287804,0.000335164,0.0060111,0.000987278,0.016015,0,0,0.00291083,"1999-09-08 00:00:00","1999-09-10 00:00:00",,,ND,,<DL,,,,,,,,ND,,<DL,,ND,ND,,,,<DL,,ND,,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,ND,ND,
TX011110,10013,0.111682,0.462678,0,0.825852,0.0861415,0.0922842,0.41562,0.0148646,0.0034629,0.00102019,0.00431426,0.121992,0,0.001753,0.00540629,0.0174007,0,0,0,0.000211941,0.00222718,0.000237087,0.00125728,0,0.000757959,0,0,0,0.000474173,0.00163446,0.00549969,0.000901648,0.0161686,0,0,0.0027265,"1999-09-08 00:00:00","1999-09-10 00:00:00",,,ND,,,,,,,,,,ND,<DL,,,ND,ND,ND,<DL,,<DL,,ND,,ND,ND,ND,<DL,,<DL,<DL,<DL,ND,ND,
CA007110,10016,0,0.0858609,0,3.65563,0.0320166,0.0539404,0.0505629,0.0062053,0.00703642,0.000460265,0.00181457,0.0596026,0,0.00297351,0.00378146,0.00749669,0.000195364,0,0,0.000655629,0.00874172,0,0.000546358,0,0.00126821,0,0.000304636,6.62252e-05,0.00122517,0,0.00496027,0,0.0230795,0.000960265,8.60927e-05,0.00421854,"1999-09-16 00:00:00","1999-09-18 00:00:00",ND,,ND,,,,,,,,,,ND,,<DL,,<DL,ND,ND,,,ND,,ND,,ND,<DL,<DL,<DL,ND,<DL,ND,,<DL,<DL,
CA007120,10017,0,0.0705649,0,3.81236,0.06148,0.0468451,0.0428147,0.00468781,0.00858936,0.000545094,0.00187645,0.0642881,0,0.00342253,0.00176743,0.0112289,0.00028411,0.000241163,0.00028411,0.00041295,0.0126231,0,0.000370003,0,0.00028411,0.000611166,0.00106706,0.000740007,0,0,0.00399075,0.000895276,0.0149356,0,0.000370003,0.00442682,"1999-09-16 00:00:00","1999-09-18 00:00:00",ND,,ND,,,,,,,,,,ND,,<DL,,<DL,<DL,<DL,,,ND,,ND,<DL,<DL,<DL,<DL,ND,ND,<DL,<DL,<DL,ND,<DL,
CA008120,10018,0,0.140834,0,1.66728,0.0415714,0.0823681,0.110144,0.0101033,0.00864257,0.000339358,0.00348211,0.244412,0,0.00340834,0.00912947,0.0132202,0,0,0,0.000826263,0.00856879,0,0.00167835,9.59056e-05,0.00121726,0.000560679,0,0.000413132,0,0.00136481,0.00538178,0.00438215,0.0325968,0,0,0.00747326,"1999-09-20 00:00:00","1999-09-22 00:00:00",ND,,ND,,,,,,,,,,ND,,,,ND,ND,ND,,,ND,,<DL,,<DL,ND,<DL,ND,<DL,<DL,,,ND,ND,
