LinkID,HomeID,QFFID,Sampling_Date,State,Type,Extraction_Date,GC_MS_Date,Volume_air,Lab_Blank,NAP,ACY,ACE,FLR,1MFL,DBT,PHE,ANT,2MA,1MA,1MP,9MA,4_5MP,3_6DMP,9_10DMA,FLT,PYR,BaFLR,RET,BbFLR,BNT,CPP,BaA,CHR_TRI,BFLTs,BeP,BaP,PER,IP,DBA,BghiP,COR,oxyCD,tCD,cCD,MC5,tNC,cNC,SurrRcv_ACEd10,SurrRcv_ANTd10,SurrRcv_FLTd10,SurrRcv_BePd12,comments,DBT_flag,PHE_flag,ANT_flag,2MA_flag,1MA_flag,1MP_flag,9MA_flag,4_5MP_flag,3_6DMP_flag,9_10DMA_flag,FLT_flag,PYR_flag,BaFLR_flag,RET_flag,BbFLR_flag,BNT_flag,CPP_flag,BaA_flag,CHR_TRI_flag,BFLTs_flag,BeP_flag,BaP_flag,PER_flag,IP_flag,DBA_flag,BghiP_flag,COR_flag,oxyCD_flag,tCD_flag,cCD_flag,MC5_flag,tNC_flag,cNC_flag,NAP_flag,ACY_flag,ACE_flag,FLR_flag,1MFL_flag
CA001110,CA011,30021,"1999-07-13 00:00:00",CA,INDOOR,"1999-10-04 00:00:00","1999-10-14 00:00:00",28.25,LBF30092,0.0270845,0.00111202,0.0038112,0.0038023,0.0261452,0.00134988,0.0330151,0.0100475,0.00213632,0.00725784,0.00269537,8.79718e-05,0.00106084,0.00317786,NULL,0.0143409,0.0265807,0.00292344,0.00550545,0.00131533,0.00102817,0.0150243,0.0133084,0.026452,0.0198868,0.0187923,0.0102899,0.00184294,0.0163133,0.000149319,0.0727716,0.0138806,NULL,NULL,NULL,NULL,NULL,NULL,0.899639,0.822017,0.939561,1.05799,"",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,NA,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,,,,,<DL,,,NA,NA,NA,NA,NA,NA,,,,,
CA001120,CA011,30038,"1999-07-13 00:00:00",CA,OUTDOOR,"1999-10-04 00:00:00","1999-10-14 00:00:00",25.22,LBF30092,0.0617015,0.00214112,0.00808359,0.00582192,0.0697634,0.00215524,0.0364549,0.0178258,0.00333934,0.00630507,0.00335426,0.000472334,0.00105252,0.00533408,0.00439504,0.0200472,0.0355817,0.00447967,0.0155294,0.00332458,0.000433773,0.0212288,0.0122585,0.0444822,0.0545935,0.0316421,0.0175894,0.00288919,0.0340797,9.0189e-05,0.145391,0.0629215,NULL,NULL,NULL,NULL,NULL,NULL,0.829538,0.778334,0.87972,0.931744,"",<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,,,,,,<DL,,,NA,NA,NA,NA,NA,NA,,,,,
CA001210,CA211,30559,"1999-12-01 00:00:00",CA,INDOOR,"2000-08-01 00:00:00","2000-08-28 00:00:00",27.66,LBF08010,0.0495291,0.00527159,0.00546625,0.00921049,0.0819934,0.00459754,0.0916415,0.0116946,0.00537732,0.0239671,0.0183516,0.00208708,0.0113745,0.013552,0.00101733,0.0719039,0.0947427,0.011604,0.0331076,0.00870149,0.00555377,0.0645298,0.032565,0.0777825,0.210186,0.109273,0.09393,0.0184096,0.278383,0.00924245,0.277269,0.251017,0.000688344,0.0227067,0.0134485,0.00354468,0.00834135,0.0049282,0.774603,0.824859,0.901269,1.05036,"",<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,<DL,<DL,<DL,<DL,,,,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,
CA001220,CA211,30561,"1999-12-01 00:00:00",CA,OUTDOOR,"2000-08-01 00:00:00","2000-08-28 00:00:00",26.86,LBF08010,0.0617378,0.00879262,0.00885564,0.0125819,0.017534,0.00535863,0.10364,0.0160855,0.00628562,0.0169794,0.0165844,0.000921663,0.0137766,0.0119283,0.000864923,0.12655,0.174744,0.0314766,0.0674226,0.0213528,0.0137485,0.127938,0.0878463,0.236947,0.445699,0.217507,0.128795,0.0249812,0.513245,0.0204466,0.452841,0.463085,0.001363,0.0122489,0.00633727,0.00265919,0.00478158,0.00428408,0.679376,0.706275,0.786304,0.965011,"",<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,<DL,,<DL,<DL,,,,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,
CA002110,CA012,30117,"1999-07-26 00:00:00",CA,INDOOR,"2000-03-01 00:00:00","2000-03-14 00:00:00",28.11,LBF03010,0.0294006,0.00182488,0.00133569,0.00320973,0.0193741,0.00204366,0.0255861,0.00249559,0.00101131,0.0107527,0.00761812,0.0124366,0.00255439,0.00653713,0.00918398,0.0238963,0.0293095,0.00399124,0.00641671,0.00267832,0.00460344,0.0094111,0.0117548,0.0370635,0.0599158,0.0372856,0.0204327,0.00623773,0.0728754,0.00905889,0.090951,0.0965863,NULL,NULL,NULL,NULL,NULL,NULL,0.754476,0.861753,0.880165,0.916309,"",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,
CA003110,CA013,30113,"1999-08-15 00:00:00",CA,INDOOR,"2000-02-09 00:00:00","2000-03-03 00:00:00",26.74,LBF02090,0.0631093,0.00373414,0.00181576,0.0050446,0.0370786,0.00235084,0.0386341,0.00567284,0.00267968,0.00859311,0.00732676,0.0579081,0.00312598,0.00712261,0.00111968,0.0400131,0.0657608,0.00513364,0.0122429,0.00816176,0.00470078,0.0179292,0.0184385,0.0594792,0.147161,0.0834748,0.039502,0.00975857,0.133034,0.00936714,0.228891,0.19189,NULL,NULL,NULL,NULL,NULL,NULL,0.557671,0.663486,0.830658,0.900997,"",<DL,,<DL,<DL,<DL,<DL,,<DL,,<DL,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,
CA003120,CA013,30112,"1999-08-15 00:00:00",CA,OUTDOOR,"2000-02-09 00:00:00","2000-03-03 00:00:00",27.1,LBF02090,0.0454922,0.00341586,0.00166348,0.00476669,0.0192394,0.00191168,0.0415767,0.00470168,0.00240268,0.00805539,0.0067928,0.0222626,0.00348254,0.00508626,0.000152915,0.0540702,0.0595618,0.00745141,0.00304151,0.00579668,0.00886496,0.0261172,0.0292549,0.107245,0.184225,0.116343,0.0483664,0.0100157,0.0563721,0.0108332,0.258778,0.224879,NULL,NULL,NULL,NULL,NULL,NULL,0.635769,0.631524,0.823246,0.969726,"",<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,<DL,<DL,<DL,<DL,,<DL,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,
CA003210,CA213,30355,"1999-11-29 00:00:00",CA,INDOOR,"2000-03-01 00:00:00","2000-03-14 00:00:00",27.18,LBF03010,0.0526042,0.00733281,0.00190009,0.00481561,0.0389111,0.00237249,0.0484853,0.00934564,0.0048265,0.014216,0.0104701,0.0189496,0.00538401,0.008588,0.00253079,0.0529889,0.0725019,0.0109104,0.0218369,0.00575171,0.00466048,0.144249,0.0616662,0.0879687,0.423048,0.231334,0.292276,0.0605814,0.596405,0.031286,0.760457,0.795986,NULL,NULL,NULL,NULL,NULL,NULL,0.646601,0.763013,0.884065,0.877635,"",<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,<DL,<DL,<DL,<DL,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,
CA003220,CA213,30352,"1999-11-29 00:00:00",CA,OUTDOOR,"2000-03-01 00:00:00","2000-03-14 00:00:00",28.64,LBF03010,0.0622647,0.0110727,0.00296107,0.00793521,0.0123729,0.00355634,0.0963776,0.0166503,0.00808566,0.019299,0.0174309,0.00985387,0.0132476,0.0137346,0.00104159,0.154208,0.199696,0.0370386,0.0612864,0.0285703,0.016093,0.360142,0.232769,0.343061,0.924497,0.482181,0.515984,0.100909,1.00231,0.0536097,1.22947,1.12659,NULL,NULL,NULL,NULL,NULL,NULL,0.573239,0.637336,0.737487,0.753551,"",<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,,,<DL,<DL,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,
CA004110,CA014,30101,"1999-08-23 00:00:00",CA,INDOOR,"2001-05-09 00:00:00","2001-07-23 00:00:00",29.24,LBF05091,NULL,NULL,NULL,NULL,NULL,0.00493518,0.0264853,0.00318753,0.00272614,0.0115363,0.0138292,0.0011521,0.00296258,0.00542831,0.00113553,0.0232993,0.0528391,0.00362408,0.00968141,0.0110489,0.00206077,0.0160571,0.0119243,0.038787,0.080158,0.0460554,0.0267109,0.00624396,0.0879964,0.00252728,0.13424,0.110804,6.73433e-05,0.0118047,0.00302853,0.00169627,0.00196523,0.00116165,0.672804,0.696524,0.781225,1.00955,"",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,
