LinkID,HomeID,QFFID,Sampling_Date,State,Type,Extraction_Date,GC_MS_Date,Volume_air,Lab_Blank,NAP,ACY,ACE,FLR,1MFL,DBT,PHE,ANT,2MA,1MA,1MP,9MA,4_5MP,3_6DMP,9_10DMA,FLT,PYR,BaFLR,RET,BbFLR,BNT,CPP,BaA,CHR_TRI,BFLTs,BeP,BaP,PER,IP,DBA,BghiP,COR,oxyCD,tCD,cCD,MC5,tNC,cNC,SurrRcv_ACEd10,SurrRcv_ANTd10,SurrRcv_FLTd10,SurrRcv_BePd12,comments,DBT_flag,PHE_flag,ANT_flag,2MA_flag,1MA_flag,1MP_flag,9MA_flag,4_5MP_flag,3_6DMP_flag,9_10DMA_flag,FLT_flag,PYR_flag,BaFLR_flag,RET_flag,BbFLR_flag,BNT_flag,CPP_flag,BaA_flag,CHR_TRI_flag,BFLTs_flag,BeP_flag,BaP_flag,PER_flag,IP_flag,DBA_flag,BghiP_flag,COR_flag,oxyCD_flag,tCD_flag,cCD_flag,MC5_flag,tNC_flag,cNC_flag,NAP_flag,ACY_flag,ACE_flag,FLR_flag,1MFL_flag
CA001110,CA011,30021,"1999-07-13 00:00:00",CA,INDOOR,"1999-10-04 00:00:00","1999-10-14 00:00:00",28.25,LBF30092,0.0270845,0.00111202,0.0038112,0.0038023,0.0261452,0.0177154,0.0177154,0.0177154,0.017873,0.0178218,0.0178227,0.0166585,0.0177659,0.00317786,NULL,0.0177684,0.0178224,0.0176572,0.0175963,0.0171114,0.0155878,0.0113408,0.0149338,0.0168959,0.0198868,0.0187923,0.0102899,0.00184294,0.0163133,0.00084045,0.0727716,0.0138806,NULL,NULL,NULL,NULL,NULL,NULL,0.899639,0.822017,0.939561,1.05799,"",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,NA,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,,,,,<DL,,,NA,NA,NA,NA,NA,NA,,,,,
CA001120,CA011,30038,"1999-07-13 00:00:00",CA,OUTDOOR,"1999-10-04 00:00:00","1999-10-14 00:00:00",25.22,LBF30092,0.0617015,0.00214112,0.00808359,0.00582192,0.0697634,0.0177154,0.0364549,0.0177154,0.017873,0.0178218,0.0178227,0.0166585,0.0177659,0.00533408,0.0138429,0.0177684,0.0178224,0.0176572,0.0175963,0.0171114,0.0155878,0.0113408,0.0149338,0.0444822,0.0545935,0.0316421,0.0175894,0.00288919,0.0340797,0.00084045,0.145391,0.0629215,NULL,NULL,NULL,NULL,NULL,NULL,0.829538,0.778334,0.87972,0.931744,"",<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,,,,,,<DL,,,NA,NA,NA,NA,NA,NA,,,,,
CA001210,CA211,30559,"1999-12-01 00:00:00",CA,INDOOR,"2000-08-01 00:00:00","2000-08-28 00:00:00",27.66,LBF08010,0.0495291,0.00527159,0.00546625,0.00921049,0.0819934,0.0177154,0.0916415,0.0177154,0.017873,0.0178218,0.0178227,0.0166585,0.0177659,0.013552,0.0138429,0.0719039,0.0947427,0.0176572,0.0175963,0.0171114,0.0155878,0.0645298,0.032565,0.0777825,0.210186,0.109273,0.09393,0.0184096,0.278383,0.00924245,0.277269,0.251017,0.0139544,0.0177307,0.0177307,0.0176638,0.0177307,0.0167855,0.774603,0.824859,0.901269,1.05036,"",<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,<DL,<DL,<DL,<DL,,,,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,
CA001220,CA211,30561,"1999-12-01 00:00:00",CA,OUTDOOR,"2000-08-01 00:00:00","2000-08-28 00:00:00",26.86,LBF08010,0.0617378,0.00879262,0.00885564,0.0125819,0.017534,0.0177154,0.10364,0.0177154,0.017873,0.0178218,0.0178227,0.0166585,0.0177659,0.0119283,0.0138429,0.12655,0.174744,0.0176572,0.0674226,0.0171114,0.0155878,0.127938,0.0878463,0.236947,0.445699,0.217507,0.128795,0.0249812,0.513245,0.0204466,0.452841,0.463085,0.0139544,0.0177307,0.0177307,0.0176638,0.0177307,0.0167855,0.679376,0.706275,0.786304,0.965011,"",<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,<DL,,<DL,<DL,,,,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,
CA002110,CA012,30117,"1999-07-26 00:00:00",CA,INDOOR,"2000-03-01 00:00:00","2000-03-14 00:00:00",28.11,LBF03010,0.0294006,0.00182488,0.00133569,0.00320973,0.0193741,0.0177154,0.0177154,0.0177154,0.017873,0.0178218,0.0178227,0.0166585,0.0177659,0.00653713,0.0138429,0.0177684,0.0178224,0.0176572,0.0175963,0.0171114,0.0155878,0.0113408,0.0149338,0.0370635,0.0599158,0.0372856,0.0204327,0.00623773,0.0728754,0.00905889,0.090951,0.0965863,NULL,NULL,NULL,NULL,NULL,NULL,0.754476,0.861753,0.880165,0.916309,"",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,
CA003110,CA013,30113,"1999-08-15 00:00:00",CA,INDOOR,"2000-02-09 00:00:00","2000-03-03 00:00:00",26.74,LBF02090,0.0631093,0.00373414,0.00181576,0.0050446,0.0370786,0.0177154,0.0386341,0.0177154,0.017873,0.0178218,0.0178227,0.0579081,0.0177659,0.00712261,0.0138429,0.0400131,0.0657608,0.0176572,0.0175963,0.0171114,0.0155878,0.0113408,0.0149338,0.0594792,0.147161,0.0834748,0.039502,0.00975857,0.133034,0.00936714,0.228891,0.19189,NULL,NULL,NULL,NULL,NULL,NULL,0.557671,0.663486,0.830658,0.900997,"",<DL,,<DL,<DL,<DL,<DL,,<DL,,<DL,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,
CA003120,CA013,30112,"1999-08-15 00:00:00",CA,OUTDOOR,"2000-02-09 00:00:00","2000-03-03 00:00:00",27.1,LBF02090,0.0454922,0.00341586,0.00166348,0.00476669,0.0192394,0.0177154,0.0415767,0.0177154,0.017873,0.0178218,0.0178227,0.0166585,0.0177659,0.00508626,0.0138429,0.0540702,0.0595618,0.0176572,0.0175963,0.0171114,0.0155878,0.0261172,0.0149338,0.107245,0.184225,0.116343,0.0483664,0.0100157,0.0563721,0.0108332,0.258778,0.224879,NULL,NULL,NULL,NULL,NULL,NULL,0.635769,0.631524,0.823246,0.969726,"",<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,<DL,<DL,<DL,<DL,,<DL,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,
CA003210,CA213,30355,"1999-11-29 00:00:00",CA,INDOOR,"2000-03-01 00:00:00","2000-03-14 00:00:00",27.18,LBF03010,0.0526042,0.00733281,0.00190009,0.00481561,0.0389111,0.0177154,0.0484853,0.0177154,0.017873,0.0178218,0.0178227,0.0166585,0.0177659,0.008588,0.0138429,0.0529889,0.0725019,0.0176572,0.0175963,0.0171114,0.0155878,0.144249,0.0616662,0.0879687,0.423048,0.231334,0.292276,0.0605814,0.596405,0.031286,0.760457,0.795986,NULL,NULL,NULL,NULL,NULL,NULL,0.646601,0.763013,0.884065,0.877635,"",<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,<DL,<DL,<DL,<DL,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,
CA003220,CA213,30352,"1999-11-29 00:00:00",CA,OUTDOOR,"2000-03-01 00:00:00","2000-03-14 00:00:00",28.64,LBF03010,0.0622647,0.0110727,0.00296107,0.00793521,0.0123729,0.0177154,0.0963776,0.0177154,0.017873,0.0178218,0.0178227,0.0166585,0.0177659,0.0137346,0.0138429,0.154208,0.199696,0.0370386,0.0612864,0.0171114,0.0155878,0.360142,0.232769,0.343061,0.924497,0.482181,0.515984,0.100909,1.00231,0.0536097,1.22947,1.12659,NULL,NULL,NULL,NULL,NULL,NULL,0.573239,0.637336,0.737487,0.753551,"",<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,,,<DL,<DL,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,
CA004110,CA014,30101,"1999-08-23 00:00:00",CA,INDOOR,"2001-05-09 00:00:00","2001-07-23 00:00:00",29.24,LBF05091,NULL,NULL,NULL,NULL,NULL,0.0177154,0.0177154,0.0177154,0.017873,0.0178218,0.0178227,0.0166585,0.0177659,0.00542831,0.0138429,0.0177684,0.0528391,0.0176572,0.0175963,0.0171114,0.0155878,0.0113408,0.0149338,0.038787,0.080158,0.0460554,0.0267109,0.00624396,0.0879964,0.00252728,0.13424,0.110804,0.0139544,0.0177307,0.0177307,0.0176638,0.0177307,0.0167855,0.672804,0.696524,0.781225,1.00955,"",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,
