LinkID,ID,HomeID,Visit,Start_Date,End_Date,Location,temp_c,avg_rh,source,comments
NJ003210,301,NJ203,2,"1999-10-16 00:00:00","1999-10-18 00:00:00",INDOOR,0,0,,""
NJ003220,875,NJ203,2,"1999-10-16 00:00:00","1999-10-18 00:00:00",OUTDOOR,16.7771,84.4247,,""
NJ004210,302,NJ204,2,"1999-10-14 00:00:00","1999-10-16 00:00:00",INDOOR,0,0,,""
NJ004220,876,NJ204,2,"1999-10-14 00:00:00","1999-10-16 00:00:00",OUTDOOR,0,0,,""
NJ005210,303,NJ205,2,"2001-01-16 00:00:00","2001-01-18 00:00:00",INDOOR,23.8283,23.7818,,""
NJ005220,877,NJ205,2,"2001-01-16 00:00:00","2001-01-18 00:00:00",OUTDOOR,3.97546,-1.6,,""
NJ006210,304,NJ206,2,"2000-08-22 00:00:00","2000-08-24 00:00:00",INDOOR,26.3537,50.4018,,""
NJ006220,878,NJ206,2,"2000-08-22 00:00:00","2000-08-24 00:00:00",OUTDOOR,22.9441,68.2915,,""
NJ007210,305,NJ207,2,"2000-05-23 00:00:00","2000-05-25 00:00:00",INDOOR,22.7474,53.9527,,""
NJ007220,879,NJ207,2,"2000-05-23 00:00:00","2000-05-25 00:00:00",OUTDOOR,18.459,78.5676,,""
NJ008210,306,NJ208,2,"2000-02-08 00:00:00","2000-02-10 00:00:00",INDOOR,24.0068,18.9718,,""
NJ008220,880,NJ208,2,"2000-02-08 00:00:00","2000-02-10 00:00:00",OUTDOOR,1.32846,63.4207,,""
NJ009210,307,NJ209,2,"2000-01-11 00:00:00","2000-01-13 00:00:00",INDOOR,23.2616,26.2718,,""
NJ009220,881,NJ209,2,"2000-01-11 00:00:00","2000-01-13 00:00:00",OUTDOOR,5.0892,52.564,,""
NJ010210,308,NJ210,2,"2000-03-07 00:00:00","2000-03-09 00:00:00",INDOOR,23.9758,29.3681,,""
NJ010220,882,NJ210,2,"2000-03-07 00:00:00","2000-03-09 00:00:00",OUTDOOR,13.5761,60.7129,NULL,NULL
NJ011210,309,NJ211,2,"2000-01-18 00:00:00","2000-01-20 00:00:00",INDOOR,0,0,NULL,NULL
NJ011220,883,NJ211,2,"2000-01-18 00:00:00","2000-01-20 00:00:00",OUTDOOR,0,0,NULL,NULL
NJ012210,310,NJ212,2,"2001-01-23 00:00:00","2001-01-25 00:00:00",INDOOR,20.6469,26.8482,NULL,NULL
NJ012220,884,NJ212,2,"2001-01-23 00:00:00","2001-01-25 00:00:00",OUTDOOR,2.05151,62.6928,NULL,NULL
NJ013210,311,NJ213,2,"2000-01-18 00:00:00","2000-01-20 00:00:00",INDOOR,0,0,NULL,NULL
NJ013220,885,NJ213,2,"2000-01-18 00:00:00","2000-01-20 00:00:00",OUTDOOR,0,0,NULL,NULL
NJ014210,312,NJ214,2,"2000-02-08 00:00:00","2000-02-10 00:00:00",INDOOR,23.6304,30.8784,NULL,NULL
NJ014220,886,NJ214,2,"2000-02-08 00:00:00","2000-02-10 00:00:00",OUTDOOR,1.66054,61.3504,NULL,NULL
NJ017210,313,NJ217,2,"2000-02-15 00:00:00","2000-02-17 00:00:00",INDOOR,26.905,11.6953,NULL,NULL
NJ017220,887,NJ217,2,"2000-02-15 00:00:00","2000-02-17 00:00:00",OUTDOOR,3.37044,48.325,NULL,NULL
NJ018210,314,NJ218,2,"2000-07-11 00:00:00","2000-07-13 00:00:00",INDOOR,24.4338,44.9877,NULL,NULL
NJ018220,888,NJ218,2,"2000-07-11 00:00:00","2000-07-13 00:00:00",OUTDOOR,25.5159,40.5807,NULL,NULL
NJ019210,315,NJ219,2,"2000-02-23 00:00:00","2000-02-25 00:00:00",INDOOR,22.813,38.0413,NULL,NULL
NJ019220,889,NJ219,2,"2000-02-23 00:00:00","2000-02-25 00:00:00",OUTDOOR,11.0878,63.2613,NULL,NULL
NJ020210,316,NJ220,2,"2000-02-29 00:00:00","2000-03-02 00:00:00",INDOOR,23.8302,17.8146,NULL,NULL
NJ020220,890,NJ220,2,"2000-02-29 00:00:00","2000-03-02 00:00:00",OUTDOOR,7.61704,49.2144,NULL,NULL
NJ001110,199,NJ101,1,"1999-06-08 00:00:00","1999-06-10 00:00:00",INDOOR,27.5,39.11,NULL,NULL
NJ001120,773,NJ101,1,"1999-06-08 00:00:00","1999-06-10 00:00:00",OUTDOOR,24.22,54.72,NULL,NULL
NJ002110,200,NJ102,1,"1999-06-23 00:00:00","1999-06-25 00:00:00",INDOOR,26.88,41.68,NULL,NULL
NJ002120,774,NJ102,1,"1999-06-23 00:00:00","1999-06-25 00:00:00",OUTDOOR,25.62,46.08,NULL,NULL
NJ003110,201,NJ103,1,"1999-07-13 00:00:00","1999-07-15 00:00:00",INDOOR,26.81,43.38,NULL,NULL
NJ003120,775,NJ103,1,"1999-07-13 00:00:00","1999-07-15 00:00:00",OUTDOOR,21.34,63.5,NULL,NULL
NJ004110,202,NJ104,1,"1999-07-27 00:00:00","1999-07-29 00:00:00",INDOOR,28.41,35.18,NULL,NULL
NJ004120,776,NJ104,1,"1999-07-27 00:00:00","1999-07-29 00:00:00",OUTDOOR,29.72,40.88,NULL,NULL
NJ005110,203,NJ105,1,"1999-08-10 00:00:00","1999-08-12 00:00:00",INDOOR,27.63,52.29,NULL,NULL
NJ005120,777,NJ105,1,"1999-08-10 00:00:00","1999-08-12 00:00:00",OUTDOOR,25.65,62.49,NULL,NULL
NJ006110,204,NJ106,1,"1999-08-23 00:00:00","1999-08-25 00:00:00",INDOOR,27.8002,44.5468,NULL,NULL
NJ006120,778,NJ106,1,"1999-08-23 00:00:00","1999-08-25 00:00:00",OUTDOOR,26.5542,54.1937,NULL,NULL
NJ007110,205,NJ107,1,"1999-09-07 00:00:00","1999-09-09 00:00:00",INDOOR,28.229,49.6247,NULL,NULL
NJ007120,779,NJ107,1,"1999-09-07 00:00:00","1999-09-09 00:00:00",OUTDOOR,26.2778,78.1661,NULL,NULL
NJ008110,206,NJ108,1,"1999-09-28 00:00:00","1999-09-30 00:00:00",INDOOR,25.6472,56.9045,NULL,NULL
NJ008120,780,NJ108,1,"1999-09-28 00:00:00","1999-09-30 00:00:00",OUTDOOR,21.7042,73.6762,,""
NJ009110,207,NJ109,1,"1999-09-30 00:00:00","1999-10-02 00:00:00",INDOOR,16.7602,53.2686,,""
NJ009120,781,NJ109,1,"1999-09-30 00:00:00","1999-10-02 00:00:00",OUTDOOR,16.7602,53.2686,,""
