measurement,element,type,Nsamples,Minimum,Maximum,Average,Median
Carbonyls,acFormaldehyde,Outdoor,483,0.155,54.61,6.16888,6.13
Carbonyls,acFormaldehyde,Indoor,496,0.365,76.04,21.7178,20.45
Carbonyls,acFormaldehyde,"Personal adult",493,0.875,143.87,22.3596,20.58
Carbonyls,acFormaldehyde,"Personal child",184,3.16,62.4276,21.1094,20.065
Carbonyls,acFormaldehyde,In-Vehicle,115,2.325,1095.6,39.6635,20.027
Carbonyls,acAcetaldehyde,Outdoor,483,0.37,39.2,6.40204,4.88
Carbonyls,acAcetaldehyde,Indoor,496,0.37,182.39,20.8504,17.4
Carbonyls,acAcetaldehyde,"Personal adult",493,0.685,105.42,21.9278,18.46
Carbonyls,acAcetaldehyde,"Personal child",184,1.47,118.62,24.4125,19.84
Carbonyls,acAcetaldehyde,In-Vehicle,115,1.815,1031.2,17.5815,5.83402
Carbonyls,acAcetone,Outdoor,483,0.2,1375.36,8.27992,3.65
Carbonyls,acAcetone,Indoor,496,0.2,215.62,11.7107,6.4845
Carbonyls,acAcetone,"Personal adult",493,2.52,1355.39,22.6336,7.589
Carbonyls,acAcetone,"Personal child",184,2.52,1116.22,28.0952,10.946
Carbonyls,acAcetone,In-Vehicle,115,6.69,1162.52,20.6499,6.69
Carbonyls,acAcrolein,Outdoor,394,0.07,2017.64,6.24675,0.473
Carbonyls,acAcrolein,Indoor,396,0.07,146.63,1.66335,0.62
Carbonyls,acAcrolein,"Personal adult",406,0.52,1862.09,13.0485,0.52
Carbonyls,acAcrolein,"Personal child",173,0.52,1419.07,11.1191,0.52
Carbonyls,acPropionaldehyde,Outdoor,483,0.025,8.2,1.4981,1.3
Carbonyls,acPropionaldehyde,Indoor,496,0.025,30.943,2.07609,1.7885
Carbonyls,acPropionaldehyde,"Personal adult",493,0.475,23.7935,2.19399,1.99
Carbonyls,acPropionaldehyde,"Personal child",184,0.475,446,5.116,2.3645
Carbonyls,acPropionaldehyde,In-Vehicle,115,1.265,13.8,2.07727,1.265
Carbonyls,acCrotonaldehyde,Outdoor,394,0.065,104.61,0.764909,0.2445
Carbonyls,acCrotonaldehyde,Indoor,396,0.065,6.291,0.705422,0.45
Carbonyls,acCrotonaldehyde,"Personal adult",406,0.465,85.88,1.35638,0.465
Carbonyls,acCrotonaldehyde,"Personal child",173,0.465,68.78,1.57588,0.465
Carbonyls,acBenzaldehyde,Outdoor,483,0.12,9.51,2.19963,1.9
Carbonyls,acBenzaldehyde,Indoor,496,0.12,10.37,2.80623,2.68
Carbonyls,acBenzaldehyde,"Personal adult",493,0.94,23.33,3.07016,2.86
Carbonyls,acBenzaldehyde,"Personal child",184,0.94,12.99,3.12994,2.915
Carbonyls,acBenzaldehyde,In-Vehicle,115,2.495,99.12,3.61396,2.495
Carbonyls,acGlyoxal,Outdoor,483,0.055,6.93,1.56414,1.568
Carbonyls,acGlyoxal,Indoor,496,0.055,6.123,2.23689,2.309
Carbonyls,acGlyoxal,"Personal adult",492,0.48,18.28,2.32645,2.2675
Carbonyls,acGlyoxal,"Personal child",184,0.48,21.24,2.81825,2.72
Carbonyls,acGlyoxal,In-Vehicle,115,1.28,74.1,2.27893,1.28
Carbonyls,acMethylglyoxal,Outdoor,480,0.11,141.07,2.80253,1.811
Carbonyls,acMethylglyoxal,Indoor,493,0.11,110.78,3.11722,2.602
Carbonyls,acMethylglyoxal,"Personal adult",484,0.545,110.04,2.83627,2.522
Carbonyls,acMethylglyoxal,"Personal child",184,0.545,15.0647,3.10647,2.9
Carbonyls,acMethylglyoxal,In-Vehicle,114,1.44,11.6224,1.90079,1.44
Carbonyls,acHexaldehyde,Outdoor,394,0.1,60.42,2.33038,2.074
Carbonyls,acHexaldehyde,Indoor,396,0.1,24.74,4.49489,3.7655
Carbonyls,acHexaldehyde,"Personal adult",406,0.825,101.58,5.24324,4.168
Carbonyls,acHexaldehyde,"Personal child",173,0.825,141.38,6.43808,4.69
"PAH/chlordanes (g)",DBT,Outdoor,143,0.0598925,14.0873,1.7641,1.17401
"PAH/chlordanes (g)",DBT,Indoor,153,0.0122354,27.3505,3.47634,2.67007
"PAH/chlordanes (g)",PHE,Outdoor,143,0.917909,141.629,20.9617,14.752
"PAH/chlordanes (g)",PHE,Indoor,153,0.112152,326.899,27.2773,17.8443
"PAH/chlordanes (g)",ANT,Outdoor,143,0.0251006,9.82161,1.12932,0.689679
"PAH/chlordanes (g)",ANT,Indoor,153,0.00581539,14.3957,1.22282,0.718738
"PAH/chlordanes (g)",2MA,Outdoor,137,0.0094542,6.24106,0.45807,0.226914
"PAH/chlordanes (g)",2MA,Indoor,135,0.0349465,6.82083,0.745944,0.446621
"PAH/chlordanes (g)",1MA,Outdoor,142,0.0475478,12.1143,1.64602,1.14085
"PAH/chlordanes (g)",1MA,Indoor,153,0.0768538,13.8357,3.44989,2.90722
"PAH/chlordanes (g)",1MP,Outdoor,143,0.0318321,5.89073,1.1907,0.858546
"PAH/chlordanes (g)",1MP,Indoor,153,0.0384906,6.95626,2.10162,1.75406
