LinkID,HomeID,studytime,home,school_work,other_indoor,neighbor,out_far,car_open,car_clos
CA001130,NULL,3675,1770,765,15,375,0,0,0
CA002130,NULL,3675,2100,480,60,60,60,30,90
CA003130,NULL,3675,2115,510,90,30,0,60,150
CA004130,NULL,3675,1485,1005,270,0,0,45,165
CA005130,NULL,3675,1335,840,0,0,555,60,150
CA006130,NULL,3675,2760,0,0,120,0,0,0
CA007130,NULL,3675,2775,0,135,15,0,105,0
CA008130,NULL,3675,1305,495,480,225,60,300,0
CA009130,NULL,3675,1410,585,165,82.5,487.5,90,45
CA010130,NULL,3675,2490,0,180,0,210,0,45
CA011130,NULL,3675,1455,870,150,90,60,0,225
CA012130,NULL,3675,1590,900,150,60,120,0,120
CA013130,NULL,3675,2415,0,150,120,0,0,135
CA014130,NULL,3675,2085,495,135,0,0,165,30
CA015130,NULL,3675,2775,0,60,0,0,0,90
CA016130,NULL,3675,1560,975,0,60,0,90,30
CA017130,NULL,3675,2490,0,225,30,0,45,30
CA018130,NULL,3675,1545,1020,135,0,30,75,105
CA019130,NULL,3675,2070,450,90,75,30,60,0
CA020130,NULL,3675,2220,570,0,0,0,0,150
CA021130,NULL,3675,2565,150,0,0,0,0,135
CA022130,NULL,3675,2565,15,0,0,210,0,90
CA023130,NULL,3675,1770,180,240,30,0,660,0
CA024130,NULL,3675,1860,900,30,0,0,0,90
CA025130,NULL,3675,2670,0,105,0,0,0,165
CA026130,NULL,3675,1485,1245,75,0,0,15,60
CA027130,NULL,3675,2400,0,270,0,210,0,0
CA028130,NULL,3675,2610,0,0,30,90,90,60
CA029130,NULL,3675,2325,0,345,0,135,0,75
CA030130,NULL,3675,2835,0,30,45,0,0,30
CA031130,NULL,3675,1575,675,285,0,135,180,60
CA032130,NULL,3675,2355,90,135,135,45,0,150
CA033130,NULL,3675,1590,1215,0,0,0,75,60
CA034130,NULL,3675,2445,330,15,0,0,0,120
CA035130,NULL,3675,1320,1065,375,0,0,75,75
CA036130,NULL,3675,1905,315,240,30,90,135,165
CA037130,NULL,3675,2280,0,375,0,0,0,225
CA038130,NULL,3675,2400,30,0,240,255,0,0
CA039130,NULL,3675,1530,945,285,30,0,15,90
CA040130,NULL,3675,1515,1170,0,0,0,0,225
CA041130,NULL,3675,2085,15,45,465,150,135,15
CA042130,NULL,3675,2910,0,0,0,0,0,0
CA043130,NULL,3675,2880,0,0,0,0,0,0
CA044130,NULL,3675,1230,1395,0,0,120,0,195
