,aqi_co
17834,safe
143060,safe
556287,safe
512937,safe
566543,safe
563267,safe
260297,safe
188544,safe
329037,safe
194122,safe
71374,safe
319612,safe
441620,safe
474312,safe
132199,safe
218605,safe
425515,safe
117650,safe
83615,safe
218724,safe
495437,safe
110975,safe
255335,safe
28978,safe
469512,safe
575129,safe
265717,safe
567308,safe
193017,safe
146974,safe
366656,safe
549537,safe
40235,safe
524137,safe
452937,safe
135949,safe
451062,safe
258539,safe
545787,safe
103230,safe
412255,safe
289550,safe
297026,safe
429850,safe
219191,safe
576362,safe
54511,safe
496462,safe
537862,safe
50517,safe
279709,safe
563249,safe
315993,safe
408005,safe
403598,safe
571205,safe
491512,safe
78370,safe
117733,safe
196194,safe
280005,safe
248016,safe
259882,safe
83258,safe
67662,safe
459212,safe
577112,safe
271748,safe
553412,safe
65581,safe
401983,safe
327458,safe
44737,safe
515337,safe
8159,safe
510887,safe
51340,safe
313505,safe
48318,safe
316892,safe
207926,safe
219463,safe
566930,safe
240958,safe
187293,safe
7530,safe
19808,safe
572996,safe
571106,safe
228770,safe
235365,safe
281507,safe
467862,safe
139718,safe
127581,safe
193933,safe
264774,safe
406475,safe
327507,safe
310288,safe
385601,safe
297317,safe
216389,safe
171118,safe
463012,safe
210564,safe
300916,safe
358025,safe
219225,safe
77952,safe
137743,safe
513737,safe
40794,safe
106766,safe
569495,safe
569144,safe
140560,safe
461262,safe
468562,safe
567686,safe
82093,safe
41636,safe
159980,safe
5305,safe
48498,safe
30994,safe
392365,safe
552737,safe
146568,safe
61073,safe
316042,safe
62730,safe
227782,safe
68174,safe
403209,safe
378546,safe
241885,safe
295362,safe
100199,safe
422151,safe
549662,safe
535137,safe
514862,safe
81177,safe
442812,safe
539987,safe
356920,safe
36988,safe
217442,safe
489912,safe
33347,safe
485362,safe
176080,safe
76253,safe
441756,safe
508012,safe
106708,safe
101766,safe
262082,safe
108552,safe
98395,safe
163100,safe
143026,safe
349061,safe
523337,safe
533437,safe
338969,safe
109538,safe
545062,safe
569675,safe
567785,safe
213013,safe
247430,safe
68461,safe
128582,safe
217714,safe
363099,safe
479512,safe
410349,safe
139990,safe
369644,safe
75658,safe
422236,safe
567542,safe
404958,safe
558437,safe
102577,safe
134759,safe
501762,safe
174331,safe
140823,safe
556737,safe
390835,safe
164121,safe
564446,safe
565247,safe
420876,safe
37083,safe
289941,safe
301596,safe
289440,safe
308637,safe
128524,safe
468587,safe
543787,safe
42891,safe
522687,safe
227995,safe
305613,safe
113355,safe
30457,safe
477312,safe
498462,safe
130560,safe
363985,safe
247134,safe
17349,safe
568109,safe
308941,safe
246552,safe
267264,safe
508387,safe
441347,safe
451887,safe
222374,safe
121345,safe
121891,safe
138540,safe
370494,safe
559962,safe
558962,safe
346593,safe
423766,safe
324277,safe
567641,safe
186649,safe
296467,safe
232027,safe
443637,safe
569666,safe
332316,safe
180047,safe
55261,safe
153827,safe
302217,safe
232299,safe
441659,safe
1933,safe
273804,safe
402153,safe
385091,safe
512762,safe
162363,safe
332777,safe
503512,safe
368454,safe
68818,safe
425551,safe
114248,safe
287954,safe
156299,safe
355413,safe
9066,safe
156725,safe
366316,safe
556687,safe
296091,safe
193374,safe
190531,safe
451987,safe
534187,safe
489687,safe
170617,safe
285681,safe
487912,safe
566552,safe
498587,safe
529912,safe
503737,safe
506037,safe
550287,safe
574157,safe
550437,safe
572276,safe
109264,safe
268545,safe
284601,safe
197573,safe
48959,safe
458687,safe
374695,safe
233370,safe
552287,safe
428830,safe
370069,safe
438569,safe
236234,safe
463987,safe
487862,safe
375071,safe
78691,safe
152140,safe
274790,safe
192956,safe
461012,safe
506912,safe
7777,safe
567956,safe
34687,safe
269030,safe
564185,safe
483237,safe
508237,safe
540112,safe
441769,safe
304070,safe
435630,safe
231917,safe
220736,safe
214748,safe
312279,safe
281516,safe
564023,safe
418921,safe
2277,safe
85402,safe
391721,safe
200606,safe
252717,safe
577235,safe
28842,safe
124615,safe
83761,safe
170651,safe
527987,safe
187174,safe
175842,safe
366741,safe
398024,safe
58546,safe
341604,safe
506762,safe
480262,safe
487962,safe
442312,safe
156146,safe
441340,safe
551537,safe
436480,safe
52743,safe
130322,safe
565310,safe
562115,safe
167557,safe
271281,safe
204356,safe
234715,safe
473737,safe
7896,safe
439965,safe
336370,safe
440138,safe
242956,safe
558687,safe
206770,safe
54617,safe
152293,safe
575147,safe
575246,safe
229875,safe
432825,safe
565085,safe
341640,safe
23879,safe
466437,safe
260084,safe
289977,safe
237150,safe
567524,safe
540387,safe
324228,safe
171926,safe
137718,safe
439589,safe
341689,safe
147331,safe
53205,safe
398753,safe
267963,safe
562358,safe
431841,safe
449562,safe
216975,safe
281873,safe
44023,safe
479337,safe
269469,safe
535187,safe
42018,safe
16671,safe
538312,safe
126986,safe
244222,safe
276248,safe
259940,safe
111179,safe
439030,safe
10951,safe
419261,safe
227544,safe
115676,safe
188901,safe
566534,safe
319697,safe
528062,safe
257419,safe
116460,safe
423305,safe
467312,safe
152506,safe
573527,safe
104685,safe
60478,safe
560737,safe
89830,safe
471012,safe
150367,safe
221508,safe
299053,safe
57787,safe
558812,safe
573653,safe
560662,safe
169070,safe
326657,safe
267691,safe
272980,safe
502137,safe
493812,safe
204008,safe
442962,safe
151911,safe
220675,safe
495787,safe
458162,safe
53349,safe
489662,safe
574805,safe
514487,safe
143474,safe
575570,safe
128106,safe
109181,safe
103077,safe
392790,safe
95099,safe
60835,safe
132938,safe
353167,safe
383185,safe
311769,safe
577061,safe
59345,safe
104530,safe
572870,safe
486762,safe
66795,safe
374185,safe
520962,safe
203105,safe
497287,safe
86116,safe
319576,safe
434780,safe
262201,safe
147832,safe
27449,safe
34110,safe
202739,safe
15055,safe
491687,safe
363645,safe
238901,safe
162105,safe
435849,safe
534562,safe
535837,safe
357479,safe
450912,safe
19015,safe
480137,safe
269259,safe
533412,safe
542387,safe
100055,safe
561237,safe
272266,safe
421337,safe
414501,safe
225631,safe
130713,safe
568172,safe
502637,safe
86318,safe
573230,safe
199050,safe
562457,safe
359529,safe
147560,safe
354138,safe
177593,safe
393045,safe
253083,safe
535337,safe
63536,safe
441672,safe
296686,safe
260477,safe
564419,safe
144390,safe
270933,safe
347796,safe
161486,safe
540287,safe
244316,safe
283539,safe
