,aqi_no2
561705,safe
506896,safe
113872,safe
77270,safe
25443,safe
1003052,safe
644809,safe
283194,safe
807105,safe
95694,safe
201682,safe
628083,safe
158326,safe
838205,safe
759755,safe
1028502,safe
905287,safe
647424,safe
873277,safe
784600,safe
929376,safe
820038,safe
915979,safe
421558,safe
668361,safe
236953,safe
1041653,safe
582215,safe
798409,safe
340963,safe
215879,safe
49425,safe
24768,safe
161162,safe
428145,safe
362488,safe
487671,safe
891567,safe
186867,safe
559174,safe
925085,safe
18702,safe
73183,safe
942674,safe
33894,safe
657740,safe
792938,safe
717265,safe
1045390,safe
965320,safe
744983,safe
652843,safe
161342,safe
166372,safe
800124,safe
474781,safe
449060,safe
989387,safe
428957,safe
587253,safe
660325,safe
1029107,safe
27351,safe
854237,safe
577579,safe
500420,safe
414611,safe
567599,safe
104926,safe
519503,safe
94885,safe
68397,safe
879786,safe
323283,safe
406997,safe
994524,safe
965871,safe
51607,safe
552880,safe
370349,safe
877300,safe
803732,safe
933273,safe
946746,safe
213364,safe
190270,safe
608069,safe
1001828,safe
724490,safe
463069,safe
480367,safe
522514,safe
631562,safe
694140,safe
845501,safe
81579,safe
552932,safe
474428,safe
419845,safe
376574,safe
51472,safe
488634,safe
862084,safe
689811,safe
929858,safe
799127,safe
438734,safe
724432,safe
301134,safe
908996,safe
19647,safe
913797,safe
559830,safe
662795,safe
468649,safe
853632,safe
791599,safe
5715,safe
5265,safe
783754,safe
499790,safe
541138,safe
439050,safe
333930,safe
983999,safe
381641,safe
606494,safe
736008,safe
496729,safe
28980,safe
22338,safe
804954,safe
515014,safe
653342,safe
906291,safe
180223,safe
363365,safe
960226,safe
652990,safe
978127,safe
641383,safe
405403,unhealthy for sensitive groups
718660,safe
589592,safe
908483,safe
802619,safe
759540,safe
880504,safe
748994,safe
588769,safe
1827,safe
337695,safe
575770,safe
711994,safe
375879,safe
837764,safe
90481,safe
290356,safe
595235,safe
692992,safe
105944,safe
341401,safe
759939,safe
415270,safe
54039,safe
565896,safe
744496,safe
618473,safe
848201,safe
223039,safe
942775,safe
187613,safe
452913,safe
502936,safe
342797,safe
309005,safe
206637,safe
236484,safe
870920,safe
128527,safe
638660,safe
653175,safe
414974,safe
413705,safe
760449,safe
845979,safe
683195,safe
480738,safe
567823,safe
960073,safe
354265,safe
832490,safe
309483,safe
929338,safe
539181,safe
416829,safe
136705,safe
169756,safe
1020196,safe
36843,safe
655042,safe
34398,safe
639069,safe
173482,safe
638479,safe
46957,safe
467570,safe
69826,safe
805559,safe
149539,safe
747717,safe
585233,safe
113554,safe
686015,safe
124764,safe
298664,safe
525659,unhealthy for sensitive groups
833264,safe
661283,safe
81628,safe
1011798,safe
360914,safe
633491,safe
763737,safe
1018871,safe
831718,safe
862966,safe
200877,safe
812208,safe
110880,safe
752438,safe
255100,safe
366634,safe
759250,safe
509754,safe
582904,safe
635710,safe
291342,safe
640166,safe
317294,safe
1026337,safe
549701,safe
787603,safe
303430,safe
850916,safe
794389,safe
684871,safe
346351,safe
80928,safe
88768,safe
688996,safe
779590,safe
635052,safe
1041275,safe
979514,safe
33219,safe
640375,safe
359551,safe
929516,safe
899100,safe
895280,safe
478977,safe
759322,safe
998290,safe
85852,safe
589596,safe
487472,safe
182738,safe
843222,safe
70123,safe
663066,safe
567,safe
915133,safe
352730,safe
862840,safe
18864,safe
763599,safe
43372,safe
269248,safe
14427,safe
660329,safe
763913,safe
401682,safe
938133,safe
44650,safe
764267,safe
4599,safe
257301,safe
280470,safe
278906,safe
4545,safe
498449,safe
330051,safe
696156,safe
177589,safe
311190,safe
592834,safe
47380,safe
394549,safe
1503,safe
410952,safe
1026541,safe
342991,safe
811838,safe
129701,safe
260354,safe
805748,safe
917042,safe
147843,safe
917946,safe
604094,safe
3456,safe
9117,safe
347209,safe
950882,safe
172203,safe
328161,safe
262689,safe
761165,safe
517449,safe
184075,safe
136524,safe
330592,safe
954194,safe
157009,safe
999425,safe
845875,safe
306524,safe
26973,safe
368643,safe
525505,safe
517763,safe
98734,safe
206663,safe
997295,safe
1005136,safe
671998,safe
429134,safe
892731,safe
869060,safe
992518,safe
75898,safe
14535,safe
972813,safe
904308,safe
486177,safe
215409,safe
22059,safe
250645,safe
767591,safe
332542,safe
290227,safe
119862,safe
178426,safe
562729,safe
444316,safe
862122,safe
248428,safe
523910,safe
217615,safe
470461,safe
337871,safe
435421,safe
485316,safe
625465,safe
23580,safe
473454,safe
989203,safe
1009474,safe
139529,safe
265166,safe
24615,safe
522748,safe
503953,safe
475453,safe
144604,safe
16767,safe
791662,safe
531925,safe
95375,safe
297371,safe
285990,safe
760984,safe
1030106,safe
1003475,safe
5211,safe
1002989,safe
230896,safe
520715,safe
316098,safe
540529,safe
60604,safe
1020408,safe
955131,safe
761699,safe
1044650,safe
374308,safe
19314,safe
1029001,safe
1040051,safe
684564,safe
544599,safe
57292,safe
1045683,safe
768734,safe
210257,safe
1045560,safe
1022741,safe
752169,safe
866045,safe
292191,safe
136520,safe
15984,safe
609476,safe
207337,safe
407516,safe
421787,safe
867422,safe
1007253,safe
356196,safe
531875,safe
409598,safe
946483,safe
974040,safe
654333,safe
756203,safe
1032296,safe
84667,safe
503617,safe
1042528,safe
29709,safe
301284,safe
799506,safe
778581,safe
777985,safe
1046066,safe
534373,safe
261109,safe
888677,safe
472621,safe
747003,safe
6507,safe
386669,safe
602873,safe
682367,safe
645684,safe
741730,safe
122977,safe
282850,safe
421520,safe
616711,safe
98153,safe
193107,safe
95821,safe
28269,safe
872726,safe
62869,safe
868804,safe
314089,safe
554975,safe
127163,safe
111274,safe
69612,safe
1036127,safe
833201,safe
697491,safe
1018104,safe
469222,safe
796931,safe
1028756,safe
249253,safe
435876,safe
464320,safe
981479,safe
934648,safe
942305,safe
319736,safe
119767,safe
126736,safe
503100,safe
147511,safe
28674,safe
624242,safe
789670,safe
94709,safe
783565,safe
924455,safe
28134,safe
612094,safe
28494,safe
1043640,safe
90778,safe
903552,safe
874663,safe
268732,safe
1010250,safe
586283,safe
441151,safe
871264,safe
133078,safe
801044,safe
29133,safe
987538,safe
684853,safe
440124,safe
1020023,safe
151416,safe
349617,safe
670344,safe
156845,safe
381339,safe
893084,safe
155727,safe
666857,safe
581942,safe
893491,safe
263107,safe
316107,safe
976797,safe
195986,safe
595757,safe
454283,safe
360256,safe
52048,safe
760235,safe
279645,safe
799064,safe
51983,safe
128015,safe
286694,safe
198623,safe
638258,safe
109644,safe
255877,safe
89919,safe
512415,safe
566931,safe
61641,safe
218148,safe
1009724,safe
852939,safe
216554,safe
485656,safe
441510,safe
897882,safe
967840,safe
58152,safe
191956,safe
744500,safe
580572,safe
255386,safe
704984,safe
762817,safe
1044516,safe
448142,safe
958973,safe
774863,safe
200826,safe
565430,safe
580499,safe
884808,safe
415982,safe
720620,safe
281581,safe
896297,safe
55397,unhealthy for sensitive groups
321543,safe
512855,safe
916382,safe
560075,safe
344799,safe
818198,safe
805496,safe
977749,safe
43939,safe
276360,safe
652502,safe
534037,safe
373756,safe
751849,safe
603455,safe
201024,safe
514043,safe
342487,safe
188921,safe
121397,safe
21591,safe
497116,safe
663570,safe
525005,safe
449613,safe
790490,safe
465318,safe
681747,safe
670041,safe
665887,safe
474634,safe
10080,safe
9234,safe
180964,safe
72491,safe
300232,safe
926310,safe
696340,safe
7371,safe
257125,safe
244402,safe
749784,safe
33381,safe
627816,safe
175113,safe
746537,safe
320834,safe
499637,safe
306302,safe
815825,safe
592814,safe
562897,safe
894873,safe
597917,safe
792690,safe
82132,safe
908139,safe
406335,safe
397847,safe
373772,safe
824573,safe
157345,safe
1034258,safe
17532,safe
272034,safe
186017,safe
556466,safe
957799,safe
17370,safe
806340,safe
492147,safe
473163,safe
547649,safe
137208,safe
603553,safe
972050,safe
932020,safe
165164,safe
12915,safe
126,safe
950936,safe
776678,safe
894146,safe
343559,safe
820445,safe
185304,safe
75103,safe
14850,safe
361106,safe
571554,safe
125468,safe
539689,safe
993346,safe
159558,safe
246199,safe
760397,safe
610065,safe
108893,safe
689471,safe
6093,safe
627521,safe
380480,safe
426584,safe
948976,safe
84930,safe
161389,safe
684526,safe
635476,safe
790931,safe
213987,safe
889131,safe
354734,safe
889610,safe
542269,safe
598430,safe
559105,safe
1005552,safe
415792,safe
668160,safe
494379,safe
796897,safe
158526,safe
1019832,safe
674845,safe
932074,safe
908269,safe
580748,safe
843285,safe
114735,safe
241141,unhealthy for sensitive groups
733071,safe
587845,safe
71360,safe
79878,safe
280873,safe
438527,safe
388179,safe
512330,safe
861357,safe
1046781,safe
290014,safe
856593,safe
117698,safe
783947,safe
143306,safe
761960,safe
82145,safe
64555,safe
384648,safe
853724,safe
978343,safe
62341,safe
1044642,safe
201522,safe
1034402,safe
551826,safe
597724,safe
954495,safe
909689,safe
942017,safe
273200,safe
858638,safe
408405,safe
492979,safe
754467,safe
118492,safe
626866,safe
277245,safe
350677,safe
163798,safe
21537,safe
220795,safe
25398,safe
360423,safe
239716,safe
1007698,safe
784915,safe
664350,safe
211667,safe
879937,safe
674782,safe
209598,safe
495775,safe
36711,safe
117145,safe
1042193,safe
521790,safe
853733,safe
246320,safe
862340,safe
102961,unhealthy for sensitive groups
978084,safe
491597,safe
1035292,safe
590638,safe
204356,safe
279255,safe
851459,safe
38309,safe
698072,safe
752700,safe
337398,safe
290247,safe
651733,safe
243058,safe
460454,safe
944224,safe
638254,safe
368915,safe
393944,safe
655398,safe
962494,safe
474798,safe
19062,safe
229568,safe
81013,safe
247212,safe
344469,safe
652654,safe
4158,safe
659076,safe
647773,safe
764492,safe
160106,safe
764015,safe
740257,safe
101774,safe
630016,safe
669831,safe
837386,safe
482483,safe
14688,safe
506002,safe
832819,safe
1026422,safe
90950,safe
185522,safe
130347,safe
154364,safe
721704,safe
687540,safe
384332,safe
568769,safe
547922,safe
397825,safe
406645,safe
339313,safe
588182,safe
656727,safe
1002035,safe
14553,safe
441489,safe
892672,safe
1005174,safe
304791,safe
764013,safe
379506,safe
7335,safe
408965,safe
1010581,safe
198293,safe
946458,safe
357477,safe
54787,safe
1046354,safe
993926,safe
261135,safe
723670,safe
36822,safe
794086,safe
34668,safe
806378,safe
341221,safe
363509,safe
521891,safe
1026795,safe
851720,safe
321059,safe
208049,safe
811645,safe
835269,safe
326099,safe
651671,safe
695005,safe
96590,safe
242835,safe
1003547,safe
126912,safe
128426,safe
450283,safe
926402,safe
958418,safe
647760,safe
911789,safe
1032674,safe
786213,safe
574935,safe
126224,safe
362701,safe
376084,safe
990163,safe
57992,safe
189373,safe
13914,safe
257481,safe
236262,safe
955857,safe
37723,safe
322612,safe
621262,safe
373029,safe
869274,safe
278578,safe
634712,safe
990545,safe
759743,safe
456232,safe
491471,safe
753148,safe
754933,safe
31518,safe
761400,safe
858924,safe
585918,safe
429307,safe
844862,safe
178602,safe
760564,safe
845771,safe
897066,safe
779742,safe
759845,safe
584254,safe
456626,safe
53863,safe
630281,safe
763609,safe
749750,safe
26181,safe
1004085,safe
760416,safe
852057,safe
761968,safe
934691,safe
1001252,safe
96305,safe
762281,safe
732834,safe
551490,safe
639316,safe
906820,safe
316586,safe
711835,safe
405027,safe
897356,safe
5571,safe
214708,safe
945988,safe
20439,safe
763291,safe
793418,safe
243724,safe
82467,safe
832557,safe
660207,safe
993245,safe
1015431,safe
887765,safe
304297,safe
422228,safe
103157,safe
762302,safe
274378,safe
169035,safe
759501,safe
780801,safe
297045,safe
457302,safe
764055,safe
299876,safe
361295,safe
265783,safe
940225,safe
878954,safe
942386,safe
318542,safe
350699,safe
11997,safe
747482,safe
321921,safe
4959,safe
673471,safe
484021,safe
596571,safe
124377,safe
5697,safe
162055,safe
256803,safe
407173,safe
774106,safe
80196,safe
691291,safe
185119,safe
559778,safe
215892,safe
363823,safe
891513,safe
981713,safe
664547,safe
387569,safe
351567,safe
259937,safe
