,aqi_ozone
15936,safe
593,safe
30935,safe
19952,safe
2244,unhealthy for sensitive groups
6095,safe
11217,unhealthy for sensitive groups
13983,unhealthy for sensitive groups
3306,safe
1000,safe
6339,safe
22541,safe
28989,safe
3652,safe
30971,safe
13395,safe
32291,safe
5700,safe
30730,safe
16534,safe
14848,safe
20410,safe
5234,safe
26746,safe
34161,safe
20764,safe
873,unhealthy for sensitive groups
25835,safe
23706,safe
22625,unhealthy for sensitive groups
12950,safe
17162,safe
24519,safe
919,safe
22269,safe
31212,safe
32038,safe
19193,safe
2436,safe
16925,safe
11924,safe
28616,safe
3718,safe
25037,safe
17407,unhealthy for sensitive groups
19608,safe
9183,safe
12516,safe
25083,safe
13200,unhealthy for sensitive groups
5144,safe
1114,safe
9186,unhealthy for sensitive groups
9935,unhealthy for sensitive groups
24087,safe
15506,safe
16604,safe
27718,safe
25016,safe
2502,safe
483,safe
23985,safe
16271,safe
16475,safe
29790,safe
3790,safe
20379,safe
21675,safe
22795,safe
22579,safe
30712,safe
11621,safe
27182,safe
4626,safe
11223,unhealthy for sensitive groups
11715,safe
33534,safe
8734,safe
21578,unhealthy for sensitive groups
23895,safe
23168,safe
24516,safe
30894,safe
22739,safe
18323,safe
4114,safe
9603,safe
17980,unhealthy for sensitive groups
20245,safe
20696,safe
18083,safe
29140,safe
9455,safe
34024,unhealthy
18131,safe
25068,safe
4551,safe
16533,safe
34004,safe
16251,safe
6890,safe
11725,safe
1939,safe
13484,safe
2012,safe
20492,safe
12097,unhealthy for sensitive groups
26370,safe
14327,safe
17758,safe
17539,safe
27903,safe
9661,safe
27768,unhealthy for sensitive groups
21932,safe
13521,safe
20166,unhealthy
18198,safe
24634,safe
23898,safe
7947,safe
4311,safe
3207,safe
33977,safe
2508,safe
15566,safe
3568,safe
23887,safe
15625,safe
2474,safe
18890,safe
4567,safe
3046,safe
21425,safe
8418,safe
1658,safe
978,safe
34489,safe
17742,safe
23819,safe
14505,safe
3663,safe
28329,safe
5366,safe
34502,safe
13010,safe
5165,safe
17652,unhealthy for sensitive groups
18340,safe
22738,safe
25595,safe
14837,safe
16551,safe
27059,safe
32461,safe
29799,safe
12232,safe
7181,unhealthy for sensitive groups
26571,safe
1193,safe
1716,safe
5810,very unhealthy
16427,safe
4657,safe
17812,safe
26647,safe
21692,unhealthy for sensitive groups
11921,safe
17080,safe
8714,safe
11848,unhealthy for sensitive groups
10182,safe
10877,safe
8569,safe
10775,safe
23031,safe
15747,safe
24524,safe
27273,safe
26783,safe
29670,safe
1690,safe
7095,unhealthy for sensitive groups
19696,safe
17929,safe
9394,safe
30774,unhealthy for sensitive groups
27781,safe
33682,safe
6149,safe
31812,safe
2589,safe
18056,safe
21248,safe
21746,safe
15035,safe
23354,safe
13430,unhealthy
5966,unhealthy for sensitive groups
18955,safe
3284,safe
18913,safe
4424,safe
6394,safe
26221,safe
9117,safe
20225,very unhealthy
20463,unhealthy for sensitive groups
29311,safe
2182,safe
23729,safe
29991,safe
14653,safe
12550,safe
3473,unhealthy for sensitive groups
33782,unhealthy for sensitive groups
21938,safe
23765,safe
21997,safe
13525,safe
26884,safe
6858,unhealthy for sensitive groups
7076,safe
3443,safe
6961,safe
18401,safe
19130,safe
10570,safe
8812,safe
14435,safe
12457,safe
8499,safe
31950,safe
16594,safe
12236,safe
3562,safe
5643,safe
16258,safe
2668,safe
25160,safe
19720,safe
9923,unhealthy for sensitive groups
34218,safe
1437,safe
18910,safe
33963,unhealthy for sensitive groups
20683,safe
10001,safe
4303,safe
24344,safe
21553,safe
32091,safe
31822,safe
6024,safe
14731,safe
21018,safe
1290,safe
14798,safe
30149,safe
25493,safe
29446,safe
20183,safe
15461,safe
28883,safe
17835,safe
7038,safe
19531,safe
5149,unhealthy for sensitive groups
31415,safe
18965,safe
2462,unhealthy
15264,safe
7862,safe
7806,safe
3100,safe
14873,safe
10210,safe
28889,safe
6106,safe
10794,safe
15306,safe
19612,safe
2437,safe
24304,safe
27882,safe
2655,safe
10027,unhealthy
10200,safe
592,safe
24786,safe
26397,unhealthy for sensitive groups
21763,unhealthy for sensitive groups
29957,safe
5367,safe
28987,safe
3397,safe
11144,safe
2900,safe
13494,safe
15532,safe
8478,safe
22168,safe
24356,safe
14383,safe
29836,safe
8786,safe
208,safe
31589,safe
1371,safe
34246,safe
16285,safe
28479,safe
24266,safe
31284,unhealthy for sensitive groups
11020,safe
12156,safe
18607,safe
31470,unhealthy for sensitive groups
5829,safe
5593,safe
25628,safe
14192,safe
19628,unhealthy
29047,safe
34519,safe
20730,safe
34665,unhealthy for sensitive groups
33244,safe
8849,safe
24611,safe
3789,safe
14099,safe
20252,unhealthy for sensitive groups
2070,safe
10706,safe
22150,safe
25163,safe
11269,safe
1746,safe
10145,safe
2574,safe
1111,safe
25489,unhealthy for sensitive groups
20623,safe
7691,unhealthy for sensitive groups
14202,safe
16384,safe
32276,safe
5284,unhealthy for sensitive groups
20978,safe
22379,safe
29326,safe
5356,safe
32193,unhealthy
14822,safe
7979,safe
20748,safe
6134,safe
11045,safe
26729,safe
6395,safe
22366,safe
9606,unhealthy for sensitive groups
15548,safe
5775,safe
3418,safe
14552,safe
29475,safe
15853,safe
2605,safe
16281,unhealthy for sensitive groups
26302,safe
32523,unhealthy for sensitive groups
25459,safe
11781,safe
2227,unhealthy for sensitive groups
21971,unhealthy for sensitive groups
26124,safe
31678,safe
20129,safe
2253,unhealthy for sensitive groups
34492,safe
17319,safe
8088,safe
12309,safe
17005,safe
19768,safe
3897,safe
11644,safe
8051,safe
475,safe
5885,safe
32994,safe
19318,safe
4152,safe
6917,unhealthy for sensitive groups
11736,safe
21815,safe
23820,safe
20559,safe
27085,safe
42,safe
32582,safe
24539,safe
