,aqi_ozone
462781,safe
1109207,safe
112477,safe
376711,safe
771057,safe
1063984,safe
799167,unhealthy for sensitive groups
1152887,safe
296796,safe
441688,unhealthy for sensitive groups
61202,safe
1098092,safe
370669,safe
420336,safe
1135440,safe
292754,safe
773322,safe
1101200,safe
905771,safe
528903,safe
911293,safe
460156,safe
474347,safe
590564,safe
382088,unhealthy for sensitive groups
1129308,safe
793051,safe
779809,safe
828112,safe
801657,unhealthy for sensitive groups
630749,safe
548758,safe
532940,safe
497342,safe
372500,safe
545191,safe
907667,safe
457283,safe
1017963,safe
801445,safe
1035424,safe
28188,safe
151502,safe
179139,safe
949916,very unhealthy
1160165,safe
57177,safe
1199669,safe
23463,safe
1206787,safe
484930,safe
74413,safe
420474,safe
962532,safe
1203092,safe
69726,safe
1051498,safe
1155370,safe
683332,safe
27405,safe
31050,safe
358249,unhealthy
551047,safe
403910,safe
127566,safe
315607,safe
800677,safe
776395,safe
1148087,safe
615696,safe
303480,safe
620781,safe
82312,safe
995671,safe
557423,safe
843295,safe
76043,safe
1134364,safe
914477,safe
586125,safe
92441,unhealthy for sensitive groups
63070,unhealthy for sensitive groups
1160274,safe
270739,safe
108,safe
36144,safe
956775,safe
908940,safe
391163,safe
222942,safe
890292,safe
695246,safe
185646,safe
446090,safe
143954,safe
830139,safe
523228,safe
958962,safe
625572,safe
1144222,safe
430056,safe
1206544,safe
714531,safe
478413,safe
1084653,safe
548499,safe
643017,safe
1146198,safe
403734,safe
1125828,safe
323111,safe
909624,safe
498257,safe
521765,unhealthy for sensitive groups
969234,safe
1148455,safe
88345,safe
173591,safe
151293,safe
652938,safe
815743,safe
942771,safe
1133568,safe
31194,unhealthy for sensitive groups
513437,safe
897717,safe
598322,safe
609351,safe
710226,safe
952394,safe
281333,safe
1203158,safe
748726,safe
630798,safe
667516,safe
699300,safe
863322,safe
764758,safe
75957,safe
870598,safe
875824,safe
1043411,unhealthy
254298,safe
325265,safe
352002,safe
387883,safe
899991,safe
1031818,safe
470574,safe
588527,safe
303639,safe
914464,safe
911116,safe
909471,safe
911953,safe
101996,safe
211788,unhealthy for sensitive groups
614492,safe
1116564,safe
235403,safe
53200,safe
571656,safe
723086,safe
413589,safe
1149389,safe
1178459,safe
418041,safe
31833,safe
425070,safe
1011680,safe
911235,safe
1062476,safe
155321,safe
1040618,safe
1097858,unhealthy for sensitive groups
213848,safe
621573,safe
907479,safe
961866,safe
1067778,safe
938415,safe
830454,safe
835266,safe
137811,safe
131006,safe
38234,safe
263779,safe
568723,safe
891075,safe
57492,safe
972459,safe
1137832,safe
1172516,safe
437154,safe
604634,unhealthy for sensitive groups
958207,safe
1130954,safe
724562,safe
859383,safe
136727,safe
992706,safe
958546,safe
143034,unhealthy for sensitive groups
910451,safe
575349,safe
1192889,safe
1157686,safe
956880,safe
1044532,safe
906010,safe
396281,safe
377296,safe
587333,safe
873749,safe
106375,safe
1049999,safe
231131,safe
424050,unhealthy for sensitive groups
1106003,safe
28314,safe
841511,safe
383896,unhealthy for sensitive groups
62829,unhealthy for sensitive groups
644184,safe
166093,safe
30807,safe
160557,safe
142240,safe
913159,safe
928834,safe
1089956,safe
117841,safe
526640,safe
786025,safe
218689,safe
680809,safe
529510,safe
2709,safe
1054945,safe
78526,safe
962331,safe
966394,safe
1074472,unhealthy for sensitive groups
552210,safe
490195,safe
115272,safe
528025,safe
369919,safe
789877,safe
417472,safe
56808,safe
810355,safe
1154164,safe
583454,unhealthy for sensitive groups
99,safe
687424,safe
1005643,safe
1206748,safe
341933,safe
209222,safe
37652,safe
913079,safe
515017,safe
810547,safe
371068,safe
562779,safe
244622,safe
140167,safe
1139637,unhealthy for sensitive groups
1075184,safe
240901,safe
767721,safe
1104089,safe
707116,safe
424012,safe
70074,safe
1104985,safe
967169,safe
925609,safe
890467,safe
1140529,safe
665152,safe
281580,safe
42926,safe
32571,safe
448809,safe
127316,unhealthy for sensitive groups
1151805,safe
458149,safe
429865,unhealthy for sensitive groups
351470,safe
909995,unhealthy for sensitive groups
959172,safe
151920,safe
1077338,safe
466260,safe
980241,safe
913735,safe
384129,unhealthy for sensitive groups
68861,safe
349577,safe
357776,safe
586583,safe
405136,safe
753383,safe
761222,safe
852387,safe
702329,safe
443384,safe
1162686,safe
112314,safe
1039533,safe
676443,safe
125714,safe
1105974,safe
12105,safe
153940,safe
428674,safe
1146537,unhealthy for sensitive groups
589119,safe
910415,safe
878290,safe
812530,safe
71545,unhealthy for sensitive groups
471507,safe
621448,safe
986870,safe
465529,safe
978972,safe
631887,safe
633219,safe
1033074,safe
497358,safe
11250,safe
1028832,unhealthy for sensitive groups
1129375,safe
626405,safe
915454,safe
110185,safe
169895,safe
562738,safe
589784,safe
557341,safe
911260,safe
1070309,safe
914613,unhealthy
220970,safe
84757,safe
