,aqi_pm25
244058,unhealthy for sensitive groups
781825,unhealthy for sensitive groups
222141,safe
980351,safe
145942,safe
15813,safe
1118395,unhealthy for sensitive groups
732781,unhealthy for sensitive groups
31428,safe
484618,unhealthy for sensitive groups
64122,safe
215727,safe
157342,unhealthy for sensitive groups
788919,safe
208240,unhealthy for sensitive groups
421029,safe
908733,safe
390666,safe
1061079,safe
163535,unhealthy for sensitive groups
336860,unhealthy for sensitive groups
69543,unhealthy for sensitive groups
318164,safe
940775,safe
1083434,unhealthy for sensitive groups
1039958,unhealthy for sensitive groups
33660,safe
183346,safe
635145,safe
31905,safe
524248,unhealthy for sensitive groups
487990,safe
204512,safe
134783,safe
1141576,unhealthy for sensitive groups
756725,safe
1036046,unhealthy for sensitive groups
513718,safe
201320,safe
1075271,safe
934438,unhealthy for sensitive groups
330440,safe
953094,safe
869108,safe
1080145,safe
163673,unhealthy for sensitive groups
910999,safe
1067210,safe
311939,unhealthy for sensitive groups
359640,safe
922829,safe
1122897,safe
451905,safe
460540,unhealthy for sensitive groups
999029,safe
632280,safe
453863,safe
919809,safe
878432,safe
492527,safe
212630,safe
520309,safe
245898,unhealthy for sensitive groups
1066492,safe
998183,safe
955366,safe
1037527,unhealthy for sensitive groups
229898,unhealthy for sensitive groups
372073,unhealthy for sensitive groups
1155628,unhealthy for sensitive groups
1042459,safe
36558,safe
611483,unhealthy for sensitive groups
166834,safe
131091,unhealthy for sensitive groups
705080,safe
972465,safe
1057190,safe
754147,safe
834568,safe
430712,unhealthy for sensitive groups
1114143,unhealthy for sensitive groups
523201,safe
828361,safe
71878,unhealthy for sensitive groups
1165671,safe
93871,unhealthy for sensitive groups
9603,unhealthy for sensitive groups
681026,unhealthy for sensitive groups
136876,safe
1140427,safe
1077208,safe
1063071,unhealthy for sensitive groups
798197,safe
115181,safe
68710,unhealthy for sensitive groups
654135,safe
668125,unhealthy for sensitive groups
627895,safe
37593,safe
161844,unhealthy for sensitive groups
726956,safe
964520,safe
183022,safe
1154783,safe
693832,safe
106406,unhealthy for sensitive groups
707748,unhealthy for sensitive groups
610524,safe
432631,safe
1116112,safe
1116948,unhealthy for sensitive groups
752744,safe
109263,safe
434294,safe
396611,unhealthy for sensitive groups
1122995,unhealthy for sensitive groups
348177,safe
747465,safe
22896,safe
29934,safe
1008756,safe
1002389,unhealthy for sensitive groups
1103302,safe
415186,unhealthy for sensitive groups
160193,safe
1026011,unhealthy for sensitive groups
1064872,safe
1139124,safe
22419,safe
532883,safe
3915,safe
860033,unhealthy for sensitive groups
509165,safe
1117227,unhealthy for sensitive groups
935318,safe
1115871,safe
22860,safe
6813,safe
1031533,safe
904864,safe
1044,safe
1139763,unhealthy for sensitive groups
1072033,safe
1065387,safe
43744,safe
1100509,safe
378537,safe
361081,safe
417229,unhealthy for sensitive groups
678459,safe
37296,safe
623027,safe
582730,unhealthy for sensitive groups
581797,unhealthy for sensitive groups
233535,safe
1060399,unhealthy for sensitive groups
672625,safe
153556,unhealthy for sensitive groups
288023,unhealthy for sensitive groups
1085220,safe
1030173,unhealthy for sensitive groups
399214,safe
997387,safe
65950,safe
20862,safe
885926,unhealthy for sensitive groups
401353,unhealthy for sensitive groups
9306,safe
1061921,unhealthy for sensitive groups
76760,safe
722947,safe
263933,safe
279303,safe
813727,safe
1072773,unhealthy for sensitive groups
41400,safe
566346,safe
1045768,unhealthy for sensitive groups
830653,safe
833419,safe
461819,safe
994209,safe
417574,unhealthy for sensitive groups
73988,safe
435736,safe
278460,unhealthy for sensitive groups
298088,safe
852648,unhealthy for sensitive groups
1030129,safe
758692,safe
8235,safe
240033,safe
791007,unhealthy for sensitive groups
391971,unhealthy for sensitive groups
220375,safe
515101,unhealthy for sensitive groups
214840,safe
903439,safe
901423,safe
30438,safe
449480,safe
1119774,safe
41283,safe
1117132,unhealthy for sensitive groups
765810,safe
1047352,unhealthy for sensitive groups
771210,safe
537263,safe
518341,safe
116477,safe
873015,safe
341574,safe
824929,unhealthy for sensitive groups
1106099,unhealthy for sensitive groups
762355,safe
41853,unhealthy for sensitive groups
1014645,safe
1107686,safe
731933,safe
1002616,safe
1108227,safe
1009660,unhealthy for sensitive groups
447391,safe
1151783,safe
1160243,safe
417337,unhealthy for sensitive groups
132699,safe
772097,safe
729098,safe
451668,safe
1049715,unhealthy for sensitive groups
48094,safe
149051,safe
754032,unhealthy for sensitive groups
990456,safe
412730,safe
1065623,safe
446969,safe
419810,safe
1002120,unhealthy for sensitive groups
514086,safe
742601,safe
831881,safe
804327,safe
955431,safe
797823,safe
1124582,safe
10350,unhealthy for sensitive groups
304813,unhealthy for sensitive groups
908262,safe
1039557,unhealthy for sensitive groups
767884,safe
726124,safe
877435,safe
446432,safe
176234,safe
1076667,safe
560181,unhealthy for sensitive groups
293601,safe
1161331,unhealthy for sensitive groups
1143389,safe
1107189,safe
879666,unhealthy for sensitive groups
37350,safe
1132203,safe
611788,safe
41838,safe
727781,safe
955886,safe
1029623,unhealthy for sensitive groups
989218,unhealthy for sensitive groups
794001,safe
1032934,safe
600666,safe
1124625,safe
1048918,safe
317590,safe
742483,safe
384885,unhealthy for sensitive groups
49075,unhealthy for sensitive groups
424935,safe
296212,safe
1158888,safe
449521,safe
998330,safe
289424,unhealthy for sensitive groups
325939,safe
319771,safe
1132409,safe
1001234,unhealthy for sensitive groups
1132237,safe
124397,safe
965178,safe
424338,safe
94551,unhealthy for sensitive groups
