,aqi_so2
525173,safe
2356,safe
247347,safe
37667,safe
392520,safe
404404,safe
29806,safe
18277,safe
161831,safe
385925,safe
531877,safe
532157,safe
207012,safe
385089,safe
204948,safe
239188,safe
348355,safe
74852,safe
9654,safe
244669,safe
48676,safe
473496,safe
272,safe
477566,safe
72362,safe
2915,safe
108800,safe
489977,safe
58,safe
153663,safe
603,safe
71,safe
214400,safe
4123,safe
296485,safe
229522,safe
2780,safe
60681,safe
413712,safe
3816,safe
87393,safe
93781,safe
461007,safe
308357,safe
360009,safe
204048,safe
62503,safe
256530,safe
533517,safe
233780,safe
528553,safe
425911,safe
6753,safe
287995,safe
109168,safe
430086,safe
507278,safe
431020,safe
3827,safe
13829,safe
230054,safe
3732,safe
480859,safe
510653,safe
80166,safe
496327,safe
367406,safe
198741,safe
104866,safe
83180,safe
188492,safe
268360,safe
229392,safe
470132,safe
91159,safe
88644,safe
186103,safe
40678,safe
76423,safe
528565,safe
7913,safe
168810,safe
47687,safe
1755,safe
525865,safe
82388,safe
136429,safe
460657,safe
386948,safe
116318,safe
464396,safe
504561,safe
231445,safe
32317,safe
404900,safe
199775,safe
237794,safe
165819,safe
113584,safe
1101,safe
134199,safe
19857,safe
239468,safe
2804,safe
201433,safe
2954,safe
483652,safe
225798,safe
49,safe
452366,safe
288040,safe
528941,safe
106,safe
56466,safe
3805,safe
110573,safe
20766,safe
529569,safe
13441,safe
444546,safe
174470,safe
209858,safe
16455,safe
237535,safe
72742,safe
104458,safe
496209,safe
110896,safe
1958,safe
234181,safe
499966,safe
95490,safe
118784,safe
117733,safe
272263,safe
43768,safe
509471,safe
533313,safe
267292,safe
134617,safe
226830,safe
527205,safe
526553,safe
3166,safe
9529,safe
38629,unhealthy for sensitive groups
2425,safe
273,safe
196949,safe
251200,safe
69559,safe
507363,safe
2454,safe
209562,safe
293502,safe
328626,safe
39118,safe
180222,safe
526165,safe
42952,safe
306475,safe
75038,safe
1778,safe
320064,safe
95062,safe
342860,safe
533149,safe
32645,safe
442160,safe
509585,safe
222409,safe
803,safe
524,safe
32616,safe
275397,safe
400573,safe
71756,safe
521949,safe
89052,safe
208317,safe
461125,safe
349386,safe
173436,safe
4145,safe
529301,safe
315317,safe
302176,safe
166318,safe
92101,safe
210863,safe
285172,safe
51694,safe
2853,safe
365157,safe
164368,safe
73469,safe
126391,safe
232885,safe
373644,safe
330537,safe
286685,safe
272579,safe
138327,safe
372553,safe
205358,safe
530693,safe
712,safe
465131,safe
4208,safe
452561,safe
207283,safe
296834,safe
1562,safe
492864,safe
524641,safe
58701,safe
182347,safe
3773,safe
72536,safe
434679,safe
79993,safe
457553,safe
123245,safe
350685,safe
532505,safe
742,safe
26150,safe
518305,safe
501201,safe
444712,safe
398537,safe
529389,safe
519446,safe
51577,safe
240978,safe
199491,safe
3287,safe
152633,safe
131422,safe
326621,safe
28489,safe
411967,safe
1109,safe
66601,safe
1195,safe
249165,safe
115483,safe
76351,safe
391487,safe
532845,safe
162783,safe
49666,safe
372148,safe
4353,safe
338055,safe
183876,safe
216223,safe
310519,safe
131252,safe
299168,safe
4087,safe
76786,safe
204012,safe
160047,safe
191423,safe
3301,safe
352923,safe
38815,safe
511475,safe
438480,safe
157583,safe
107089,safe
256489,safe
526741,safe
76048,safe
295740,safe
191123,safe
172771,safe
4007,safe
316031,safe
523809,safe
130368,safe
110961,safe
321329,safe
389550,safe
278861,safe
