,co
17834,0.2
143060,0.2
556287,0.2
512937,1.4
566543,0.5
563267,0.7
260297,0.1
188544,0.1
329037,0.2
194122,0.2
71374,0.3
319612,0.2
441620,0.2
474312,0.4
132199,0.2
218605,0.2
425515,0.2
117650,0.2
83615,0.8
218724,0.3
495437,0.5
110975,0.4
255335,0.6
28978,0.8
469512,0.2
575129,0.9
265717,0.5
567308,0.7
193017,0.1
146974,0.3
366656,0.3
549537,0.3
40235,0.3
524137,0.1
452937,0.3
135949,0.2
451062,0.2
258539,0.5
545787,0.3
103230,0.2
412255,0.1
289550,0.8
297026,0.4
429850,0.3
219191,0.4
576362,1.2
54511,0.2
496462,0.2
537862,0.3
50517,0.4
279709,0.1
563249,0.8
315993,0.6
408005,0.4
403598,0.6
571205,0.7
491512,0.4
78370,0.2
117733,0.3
196194,0.5
280005,0.6
248016,0.4
259882,0.2
83258,1.1
67662,0.3
459212,0.3
577112,0.5
271748,0.2
553412,0.2
65581,0.2
401983,0.1
327458,0.3
44737,0.1
515337,0.2
8159,0.7
510887,0.2
51340,0.3
313505,0.1
48318,0.1
316892,0.7
207926,0.2
219463,0.4
566930,0.8
240958,0.4
187293,0.2
7530,0.4
19808,0.2
572996,1.0
571106,0.7
228770,0.2
235365,0.2
281507,0.7
467862,0.1
139718,0.3
127581,0.3
193933,0.3
264774,0.2
406475,0.2
327507,0.4
310288,0.2
385601,0.2
297317,0.3
216389,0.6
171118,0.6
463012,0.2
210564,0.3
300916,0.3
358025,0.1
219225,0.3
77952,0.3
137743,0.3
513737,1.2
40794,0.4
106766,0.3
569495,0.8
569144,0.7
140560,0.2
461262,0.2
468562,0.2
567686,0.8
82093,1.0
41636,1.9
159980,0.3
5305,0.3
48498,0.2
30994,0.3
392365,0.1
552737,0.6
146568,0.1
61073,0.1
316042,0.5
62730,0.5
227782,0.4
68174,0.2
403209,0.2
378546,0.6
241885,0.2
295362,0.2
100199,0.2
422151,0.3
549662,0.6
535137,0.1
514862,0.2
81177,0.3
442812,0.9
539987,0.4
356920,0.3
36988,0.1
217442,0.3
489912,0.4
33347,0.3
485362,0.4
176080,0.3
76253,0.5
441756,0.4
508012,0.3
106708,0.3
101766,0.2
262082,0.2
108552,0.4
98395,0.2
163100,0.3
143026,0.2
349061,0.1
523337,0.2
533437,0.4
338969,0.4
109538,0.2
545062,0.5
569675,0.8
567785,0.8
213013,0.4
247430,1.4
68461,0.4
128582,0.2
217714,0.2
363099,0.2
