,ozone
5666,36.00000000000001
3943,35.0
7548,23.0
3806,28.0
6209,32.0
5241,20.0
1607,40.0
1759,30.0
4441,26.0
1845,34.0
2553,57.99999999999999
8250,47.0
2011,24.0
6536,46.0
3290,35.0
1918,50.0
8373,65.0
7339,38.0
6805,45.0
5483,34.0
5458,30.0
8405,53.0
7696,44.00000000000001
6645,20.0
2216,40.99999999999999
5027,38.0
5338,19.0
1948,26.0
8425,39.0
2310,38.0
8356,68.0
2264,16.0
8271,22.0
2156,37.00000000000001
2485,76.0
8093,38.0
8316,35.0
3729,40.0
5524,27.0
3746,27.0
3884,39.0
6022,21.0
4547,42.0
5112,25.0
6651,22.0
5759,42.0
7586,22.0
3552,35.0
1807,37.00000000000001
8514,27.0
4628,43.0
6165,18.0
7262,67.0
2840,47.0
8178,22.0
2123,43.0
2015,23.0
6578,31.0
5679,35.0
4424,40.0
3319,45.0
2759,25.0
1889,18.0
2054,61.0
2018,33.0
3465,54.00000000000001
2968,35.0
5232,19.0
7502,25.0
2267,28.0
5151,30.0
5838,50.0
3145,18.0
7042,27.0
2030,42.0
5742,40.99999999999999
4760,31.0
2697,55.99999999999999
2590,63.0
5390,47.0
4221,27.0
2427,40.99999999999999
5065,55.0
6113,34.0
2058,77.0
3581,30.0
1528,25.0
7372,27.0
1893,20.0
1564,40.99999999999999
4100,39.0
6637,60.0
3120,24.0
4920,37.00000000000001
5586,23.0
6616,28.0
5609,23.0
6563,53.0
7176,40.99999999999999
2226,11.0
4300,30.0
1868,70.0
2428,40.99999999999999
8055,31.0
7633,19.0
3068,37.00000000000001
3338,45.0
5288,69.0
5766,40.0
8691,29.0
4349,18.0
6443,29.0
2516,57.99999999999999
3764,36.00000000000001
4314,30.0
3293,45.0
3443,19.0
1765,33.0
5257,27.0
4489,23.0
2758,25.0
5297,71.0
3743,40.0
1681,43.0
2280,33.0
2891,64.0
1925,60.0
4211,42.0
7497,26.0
1731,36.00000000000001
4886,24.0
4636,34.0
3390,51.0
7432,34.0
7331,50.0
6069,25.0
6241,39.0
5522,18.0
2898,49.0
3809,28.0
5738,49.0
4042,29.0
6704,28.0
3791,29.0
2331,21.0
8131,37.00000000000001
1545,20.0
8523,23.0
2174,36.00000000000001
8198,28.0
3770,33.0
1606,49.0
5076,48.0
4500,52.00000000000001
5134,19.0
6685,15.0
2067,51.0
3504,23.0
6428,26.0
6416,34.0
3238,37.00000000000001
3168,44.00000000000001
8300,46.0
5153,45.0
2059,70.0
6690,19.0
8566,13.0
3006,33.0
7501,25.0
1853,38.0
6394,36.00000000000001
8609,39.0
7354,29.0
4473,32.0
1563,40.99999999999999
6021,21.0
2006,21.0
4291,39.0
6484,25.0
4596,35.0
7575,19.0
4714,49.0
3970,38.0
6412,26.0
7070,35.0
6852,61.0
4353,34.0
8411,22.0
2936,33.0
6419,44.00000000000001
8577,31.0
3541,33.0
2629,35.0
5412,55.99999999999999
5433,30.0
3734,34.0
6181,57.0
3173,33.0
2423,20.0
1817,74.00000000000001
7275,45.0
4422,34.0
5811,23.0
5345,33.0
8525,34.0
7245,55.0
4586,28.0
4523,20.0
5080,57.0
5430,51.0
1593,43.0
3052,17.0
4284,37.00000000000001
1548,22.0
2651,23.0
5470,29.0
5377,64.0
6359,25.0
6541,36.00000000000001
6143,30.0
7060,34.0
2647,40.99999999999999
5915,51.0
1561,45.0
7175,40.99999999999999
5695,32.0
2976,45.0
8290,29.0
7579,42.0
6382,30.0
1747,27.0
3652,44.00000000000001
4611,48.0
5698,35.0
5987,57.0
3530,39.0
8532,37.00000000000001
8318,35.0
5574,25.0
5735,28.0
7270,34.0
5394,45.0
8557,20.0
2720,17.0
3521,71.0
7173,38.0
4290,39.0
1764,33.0
1949,26.0
8286,29.0
1742,70.0
2408,36.00000000000001
5179,36.00000000000001
8545,36.00000000000001
7355,29.0
2557,49.0
2364,27.0
1492,36.00000000000001
1834,31.0
2182,33.0
2549,43.0
2578,30.0
4824,11.0
8398,43.0
4546,34.0
3472,55.99999999999999
4584,28.0
6264,19.0
4146,42.0
7653,46.0
1541,16.0
8636,34.0
7242,55.0
4771,22.0
7120,27.0
2335,21.0
1885,22.0
6287,25.0
2785,29.0
7691,33.0
2677,23.0
5964,34.0
6368,33.0
6291,27.0
8217,36.00000000000001
4103,46.0
7199,49.0
2160,40.0
4852,14.0
7039,26.0
4580,40.0
3010,47.0
3104,21.0
8188,23.0
6239,46.0
1848,32.0
7658,33.0
5657,36.00000000000001
2752,21.0
6144,25.0
3716,57.0
2580,27.0
3003,31.0
4414,24.0
3544,29.0
1658,50.0
4070,25.0
6139,23.0
3626,20.0
7020,28.0
8199,25.0
3459,26.0
5612,30.0
1628,26.0
7547,23.0
3555,25.0
1822,53.0
8082,31.0
6804,40.99999999999999
3658,54.00000000000001
2737,39.0
1549,22.0
8140,60.0
3000,40.0
6027,35.0
3448,31.0
5042,15.0
3744,40.0
5336,34.0
5209,29.0
7303,28.0
4074,26.0
6713,48.0
2867,47.0
6631,31.0
3036,15.0
3453,42.0
2824,81.0
8057,32.0
3057,30.0
6338,24.0
5417,55.99999999999999
7202,39.0
8296,52.00000000000001
6500,43.0
5613,26.0
6588,49.0
3325,42.0
6252,34.0
4113,40.0
7416,36.00000000000001
3324,34.0
6049,15.0
5739,49.0
3080,30.0
1861,54.00000000000001
8322,42.0
6531,42.0
6413,26.0
7484,26.0
4012,18.0
4874,34.0
3816,4.0
7376,23.0
2815,26.0
3019,57.0
2980,37.00000000000001
5097,77.0
3714,47.0
5350,63.0
3278,54.00000000000001
2966,32.0
2051,62.0
4837,21.0
1744,70.0
3180,34.0
3361,26.0
2514,62.0
3411,62.0
8551,37.00000000000001
5796,44.00000000000001
7041,27.0
8289,29.0
5420,63.0
8677,45.0
5709,50.0
4188,45.0
5537,38.0
5645,43.0
8530,43.0
4733,29.0
2988,35.0
6352,18.0
2995,44.00000000000001
7388,24.0
7203,39.0
4449,70.0
3647,37.00000000000001
8614,31.0
3613,34.0
7277,57.0
3942,35.0
5446,23.0
3908,26.0
2568,30.0
6158,52.00000000000001
8625,22.0
4807,25.0
4064,29.0
3832,28.0
4185,32.0
7591,23.0
5077,48.0
4770,20.0
2555,63.0
3929,30.0
2620,54.00000000000001
5690,45.0
2333,22.0
5322,57.0
7630,23.0
8658,49.0
2809,27.0
5637,29.0
3471,55.99999999999999
5648,37.00000000000001
3026,40.0
4593,21.0
4699,36.00000000000001
7644,28.0
4050,44.00000000000001
5437,31.0
5626,32.0
4264,38.0
1496,35.0
2028,44.00000000000001
2628,35.0
4964,23.0
8148,74.00000000000001
4681,57.99999999999999
5492,26.0
4258,26.0
6824,46.0
3271,43.0
4857,12.0
8155,78.0
1996,29.0
7180,55.0
6596,21.0
6692,19.0
4996,40.99999999999999
3688,67.0
5919,37.00000000000001
8332,31.0
2055,75.0
5176,42.0
4484,35.0
2716,25.0
8534,22.0
8558,12.0
1877,45.0
7364,24.0
1968,22.0
2008,23.0
4004,9.000000000000002
7145,40.0
2151,51.0
6664,16.0
4437,40.99999999999999
2639,29.0
5598,34.0
3646,37.00000000000001
3344,30.0
4196,46.0
3913,40.0
8626,22.0
4334,54.00000000000001
4890,44.00000000000001
1966,22.0
7624,5.0
4806,25.0
6125,48.0
8189,30.0
6495,40.0
8370,33.0
8438,48.0
5935,64.0
6235,52.00000000000001
2014,24.0
6871,45.0
6516,31.0
7625,5.0
3215,35.0
7642,28.0
1574,34.0
4537,61.0
3464,54.00000000000001
7674,18.0
3855,11.0
7374,27.0
5634,34.0
6226,46.0
4436,40.99999999999999
2570,32.0
3839,37.00000000000001
1533,37.00000000000001
2644,91.0
6182,57.0
4362,20.0
1671,48.0
4848,17.0
8554,37.00000000000001
3097,37.00000000000001
3896,20.0
7566,88.00000000000001
6089,24.0
6725,18.0
3337,62.0
5912,40.99999999999999
3266,51.0
2685,55.0
2330,19.0
2169,32.0
2301,19.0
2200,32.0
6615,28.0
6242,48.0
7526,29.0
3268,53.0
3628,52.00000000000001
4241,61.0
6538,46.0
5797,44.00000000000001
8622,31.0
4858,12.0
3062,26.0
2909,40.99999999999999
