,no2
561705,3.0
506896,18.9
113872,10.0
77270,18.0
25443,14.5
1003052,24.7
644809,39.3
283194,31.6
807105,13.3
95694,11.4
201682,7.4
628083,22.5
158326,7.3
838205,27.0
759755,14.5
1028502,2.8
905287,10.1
647424,9.2
873277,41.6
784600,37.0
929376,14.5
820038,14.3
915979,13.4
421558,15.2
668361,16.3
236953,2.6
1041653,18.6
582215,14.2
798409,15.9
340963,24.5
215879,31.2
49425,1.0
24768,11.3
161162,20.7
428145,23.1
362488,2.8
487671,30.8
891567,2.5
186867,28.4
559174,22.9
925085,17.2
18702,0.8
73183,8.0
942674,27.6
33894,4.6
657740,31.9
792938,34.0
717265,6.9
1045390,21.3
965320,8.7
744983,11.4
652843,6.7
161342,43.5
166372,10.6
800124,15.1
474781,6.1
449060,33.7
989387,11.0
428957,38.9
587253,36.8
660325,25.7
1029107,1.4
27351,3.3
854237,31.8
577579,8.2
500420,2.3
414611,25.1
567599,13.0
104926,44.5
519503,14.0
94885,32.4
68397,38.0
879786,33.2
323283,5.6
406997,25.5
994524,18.8
965871,18.7
51607,29.0
552880,21.4
370349,6.8
877300,39.8
803732,25.8
933273,8.0
946746,45.7
213364,21.0
190270,12.3
608069,9.0
1001828,4.0
724490,17.8
463069,25.9
480367,24.7
522514,25.3
631562,34.7
694140,33.4
845501,11.6
81579,48.0
552932,9.6
474428,11.8
419845,24.8
376574,7.6
51472,6.0
488634,37.4
862084,11.7
689811,17.7
929858,17.6
799127,4.8
438734,4.3
724432,10.2
301134,29.9
908996,12.6
19647,7.8
913797,8.7
559830,2.9
662795,18.6
468649,15.0
853632,18.7
791599,11.5
5715,9.8
5265,28.4
783754,35.0
499790,17.0
541138,16.4
439050,5.0
333930,29.4
983999,16.0
381641,2.8
606494,16.3
736008,15.2
496729,16.9
28980,4.5
22338,1.0
804954,4.8
515014,10.6
653342,38.2
906291,14.0
180223,4.1
363365,10.9
960226,8.5
652990,13.4
978127,16.2
641383,15.8
405403,61.9
718660,27.6
589592,7.2
908483,10.0
802619,25.2
759540,13.2
880504,22.1
748994,23.7
588769,6.5
1827,1.0
337695,19.6
575770,19.2
711994,25.9
375879,11.1
837764,3.0
90481,46.0
290356,21.9
595235,18.8
692992,33.4
105944,42.7
341401,30.7
759939,23.6
415270,41.6
54039,19.0
565896,10.6
744496,18.6
618473,1.1
848201,9.6
223039,21.0
942775,40.2
187613,2.0
452913,29.7
502936,13.3
342797,18.4
309005,6.9
206637,11.0
236484,30.1
870920,15.0
128527,5.0
638660,41.2
653175,39.9
414974,18.5
413705,14.8
760449,33.8
845979,19.0
683195,18.6
480738,11.7
567823,20.1
960073,34.4
354265,30.9
832490,4.9
309483,7.0
929338,8.4
539181,8.8
416829,12.6
136705,4.5
169756,34.8
1020196,48.7
36843,4.9
655042,8.9
34398,1.5
639069,43.8
173482,53.9
638479,11.2
46957,15.0
467570,6.8
69826,12.0
805559,23.8
149539,37.2
747717,25.5
585233,8.3
113554,26.3
686015,16.4
124764,15.0
298664,5.9
525659,61.5
833264,14.8
661283,10.9
81628,40.0
1011798,19.0
360914,14.0
633491,45.8
763737,4.4
1018871,32.9
831718,26.9
862966,8.4
200877,17.4
812208,12.3
110880,38.7
752438,17.4
255100,17.9
366634,8.5
759250,17.3
509754,15.8
582904,15.2
635710,29.2
291342,9.2
640166,17.6
317294,26.3
1026337,18.2
549701,7.7
787603,22.0
303430,16.4
850916,3.5
794389,14.6
684871,12.4
346351,30.5
80928,15.0
88768,44.0
688996,12.4
779590,11.0
635052,10.3
1041275,37.9
979514,2.6
33219,20.5
640375,28.1
359551,30.3
929516,18.4
899100,23.2
895280,11.1
478977,31.7
759322,34.7
998290,5.7
85852,43.0
589596,7.6
487472,6.4
182738,30.1
843222,9.2
70123,9.0
663066,4.0
567,18.0
915133,12.8
352730,9.3
862840,6.8
18864,2.1
763599,14.0
43372,20.0
269248,9.9
14427,11.3
660329,11.2
763913,11.8
401682,18.0
938133,12.4
44650,38.0
764267,13.6
4599,14.7
257301,7.7
280470,4.6
278906,14.6
4545,4.6
498449,22.4
330051,9.2
696156,22.0
177589,11.0
311190,6.1
592834,29.7
47380,35.0
394549,34.4
1503,4.0
410952,16.9
1026541,3.3
342991,22.5
811838,29.1
129701,5.3
260354,11.3
805748,6.2
917042,9.0
147843,34.7
917946,22.1
604094,6.8
3456,14.6
9117,6.2
347209,10.4
950882,15.6
172203,32.3
328161,21.3
262689,17.2
761165,30.2
517449,21.8
184075,5.7
136524,21.0
330592,14.9
954194,4.5
157009,18.8
999425,16.4
845875,31.6
306524,38.4
26973,7.1
368643,21.6
525505,45.9
517763,9.1
98734,27.0
206663,52.3
997295,18.7
1005136,2.7
671998,28.8
429134,28.7
892731,7.0
869060,11.3
992518,10.2
75898,30.0
14535,16.3
972813,0.8
904308,6.0
486177,2.2
215409,11.6
22059,0.4
250645,15.1
767591,10.0
332542,24.6
290227,22.9
119862,17.2
178426,29.6
562729,21.2
444316,32.0
862122,17.4
248428,13.2
523910,20.0
217615,28.8
470461,16.6
337871,19.9
435421,18.4
485316,15.9
625465,11.3
23580,34.4
473454,43.3
989203,31.0
1009474,12.2
139529,16.4
265166,13.4
24615,5.6
522748,18.2
503953,8.3
475453,26.1
