,ozone
7631,73.0
2960,48.0
33161,18.0
24799,38.0
26036,25.0
4688,63.0
4892,59.00000000000001
24046,18.0
21259,34.0
19256,28.0
4327,36.00000000000001
30000,51.0
1003,36.00000000000001
4551,40.99999999999999
7541,34.0
12305,37.00000000000001
5273,68.0
18805,40.0
14662,35.0
33223,30.0
34948,39.0
33998,49.0
696,43.0
22151,19.0
2372,18.0
14804,39.0
10092,22.0
20748,35.0
15766,64.0
29170,39.0
6629,49.0
34139,43.0
29538,29.0
4705,35.0
30125,26.0
858,78.0
9084,22.0
25809,46.0
22485,47.0
19740,19.0
6669,28.0
2837,36.00000000000001
31391,38.0
14839,37.00000000000001
31411,29.0
23030,35.0
20238,59.00000000000001
22811,37.00000000000001
22993,20.0
4571,17.0
20771,35.0
34041,40.0
23369,36.00000000000001
16745,30.0
5924,51.0
8052,42.0
4513,52.00000000000001
31507,79.0
33524,34.0
28328,23.0
18471,31.0
7801,40.99999999999999
3963,40.0
27625,53.0
15882,55.99999999999999
12724,30.0
29096,25.0
1171,55.0
7546,47.0
10625,33.0
9307,40.99999999999999
21892,43.0
17860,51.0
22985,35.0
23159,26.0
490,17.0
13238,28.0
20504,48.0
33539,35.0
11488,22.0
10165,49.0
12541,40.0
20396,37.00000000000001
3282,55.0
11376,50.0
27333,22.0
2511,21.0
26744,27.0
6596,24.0
24709,25.0
25353,40.0
6119,39.0
5428,34.0
24853,42.0
23249,17.0
26722,17.0
34611,33.0
29924,28.0
18968,18.0
13733,13.0
20426,32.0
22626,61.0
8833,43.0
4905,34.0
17529,24.0
7254,28.0
28736,23.0
276,32.0
21398,42.0
8684,39.0
3076,69.0
24485,33.0
29557,42.0
58,46.0
17077,37.00000000000001
623,30.0
71,67.0
32118,28.0
4369,12.0
31809,46.0
23135,12.0
2941,39.0
7976,34.0
27879,36.00000000000001
3992,48.0
9591,32.0
9976,70.0
28157,23.0
20613,34.0
23760,31.0
15628,23.0
8090,25.0
18104,45.0
17435,36.00000000000001
15075,39.0
33774,22.0
15414,45.0
4730,50.0
19551,34.0
11037,72.00000000000001
26585,15.0
22451,33.0
28024,27.0
4003,46.0
5158,37.00000000000001
16892,39.0
3908,20.0
29068,35.0
31069,43.0
33404,40.0
9152,35.0
29929,51.0
23484,48.0
14254,17.0
22154,20.0
9333,13.0
11777,25.0
14932,38.0
11863,44.00000000000001
24699,22.0
9823,25.0
9665,28.0
14753,32.0
6777,32.0
8926,42.0
32997,36.00000000000001
4796,26.0
11281,49.0
7193,65.0
1895,52.00000000000001
10558,36.00000000000001
9286,35.0
12344,29.0
27100,42.0
34526,29.0
26216,37.00000000000001
13436,37.00000000000001
23508,42.0
18621,46.0
6276,19.0
13980,70.0
29353,17.0
33947,45.0
13793,77.0
19790,48.0
1164,77.0
15146,44.00000000000001
5523,27.0
22245,29.0
2965,51.0
14615,22.0
3115,29.0
29201,29.0
16691,14.0
49,46.0
15689,67.0
12581,37.00000000000001
31926,29.0
106,57.0
7719,54.00000000000001
3981,32.0
26173,20.0
5577,18.0
11825,29.0
5135,21.0
23127,26.0
23573,31.0
24462,44.00000000000001
5318,17.0
17176,40.99999999999999
8706,38.0
27661,47.0
29529,10.0
11135,37.00000000000001
2108,43.0
15783,29.0
25048,45.0
10076,35.0
21541,36.00000000000001
18625,33.0
18165,40.0
19152,45.0
6959,30.0
31018,28.0
20679,27.0
18563,42.0
31101,49.0
14829,47.0
12123,42.0
34899,43.0
3332,57.0
4896,60.0
6653,39.0
2580,50.0
277,29.0
15288,55.99999999999999
17862,40.99999999999999
8517,38.0
30915,73.0
2609,45.0
19718,32.0
19836,72.00000000000001
18105,47.0
6682,25.0
14471,22.0
24518,34.0
6911,55.99999999999999
30717,13.0
8844,32.0
1920,48.0
15768,60.0
29499,46.0
10049,38.0
22355,28.0
18969,16.0
6295,5.0
20281,19.0
31022,39.0
11087,66.0
833,25.0
537,40.0
6293,6.999999999999999
15521,18.0
34719,48.0
8648,38.0
32073,28.0
9690,20.0
33183,17.0
28164,44.00000000000001
22674,36.00000000000001
29212,13.0
4391,32.0
31021,34.0
26224,50.0
20304,50.0
13815,40.99999999999999
9880,36.00000000000001
12786,29.0
18597,14.0
7433,55.99999999999999
3014,30.0
22336,29.0
31219,34.0
8750,47.0
11882,69.0
17661,55.99999999999999
23776,40.99999999999999
21722,32.0
34502,40.0
18784,26.0
16544,20.0
31240,47.0
15691,57.99999999999999
34339,38.0
733,59.00000000000001
10998,37.00000000000001
4459,39.0
30159,43.0
15782,29.0
27330,34.0
27162,6.999999999999999
1675,45.0
26348,21.0
22208,24.0
7858,24.0
23864,57.0
3949,52.00000000000001
8693,27.0
13958,16.0
9142,27.0
25191,34.0
19902,16.0
22553,42.0
17948,28.0
766,19.0
5899,60.0
28683,33.0
26314,26.0
32156,20.0
19828,70.0
19911,25.0
28953,35.0
7426,51.0
17338,18.0
15408,57.0
3454,52.00000000000001
13160,46.0
19184,54.00000000000001
33474,32.0
6039,45.0
13703,32.0
1172,59.00000000000001
8339,36.00000000000001
1258,35.0
28673,17.0
11350,38.0
8922,35.0
33865,27.0
34787,55.0
19953,16.0
7314,21.0
14407,53.0
4586,34.0
17451,24.0
21674,51.0
16743,38.0
24778,31.0
26774,44.00000000000001
27769,49.0
4333,37.00000000000001
