,ozone
462781,23.0
1109207,32.0
112477,31.0
376711,22.0
771057,25.0
1063984,45.0
799167,57.99999999999999
1152887,32.0
296796,17.0
441688,65.0
61202,54.00000000000001
1098092,33.0
370669,26.0
420336,50.0
1135440,24.0
292754,43.0
773322,31.0
1101200,33.0
905771,24.0
528903,27.0
911293,48.0
460156,24.0
474347,8.0
590564,23.0
382088,61.0
1129308,15.0
793051,28.0
779809,29.0
828112,25.0
801657,59.00000000000001
630749,40.0
548758,39.0
532940,49.0
497342,23.0
372500,17.0
545191,26.0
907667,43.0
457283,25.0
1017963,54.00000000000001
801445,43.0
1035424,28.0
28188,40.0
151502,20.0
179139,8.0
949916,103.0
1160165,29.0
57177,34.0
1199669,18.0
23463,51.0
1206787,34.0
484930,35.0
74413,28.0
420474,42.0
962532,16.0
1203092,13.0
69726,24.0
1051498,43.0
1155370,29.0
683332,42.0
27405,38.0
31050,35.0
358249,74.00000000000001
551047,25.0
403910,15.0
127566,45.0
315607,44.00000000000001
800677,27.0
776395,36.00000000000001
1148087,46.0
615696,33.0
303480,44.00000000000001
620781,34.0
82312,28.0
995671,39.0
557423,23.0
843295,33.0
76043,25.0
1134364,47.0
914477,38.0
586125,18.0
92441,55.99999999999999
63070,61.0
1160274,43.0
270739,36.00000000000001
108,38.0
36144,47.0
956775,30.0
908940,8.0
391163,33.0
222942,25.0
890292,32.0
695246,36.00000000000001
185646,22.0
446090,16.0
143954,49.0
830139,31.0
523228,43.0
958962,34.0
625572,27.0
1144222,28.0
430056,43.0
1206544,29.0
714531,37.00000000000001
478413,18.0
1084653,45.0
548499,25.0
643017,29.0
1146198,40.99999999999999
403734,21.0
1125828,42.0
323111,32.0
909624,28.0
498257,18.0
521765,57.99999999999999
969234,53.0
1148455,39.0
88345,26.0
173591,50.0
151293,18.0
652938,34.0
815743,33.0
942771,38.0
1133568,34.0
31194,55.99999999999999
513437,30.0
897717,35.0
598322,20.0
609351,32.0
710226,33.0
952394,49.0
281333,32.0
1203158,34.0
748726,44.00000000000001
630798,43.0
667516,22.0
699300,40.0
863322,48.0
764758,29.0
75957,29.0
870598,42.0
875824,29.0
1043411,79.0
254298,21.0
325265,31.0
352002,50.0
387883,36.00000000000001
899991,20.0
1031818,39.0
470574,33.0
588527,19.0
303639,34.0
914464,28.0
911116,37.00000000000001
909471,44.00000000000001
911953,27.0
101996,20.0
211788,59.00000000000001
614492,33.0
1116564,21.0
235403,30.0
53200,52.00000000000001
571656,28.0
723086,27.0
413589,32.0
1149389,35.0
1178459,13.0
418041,53.0
31833,19.0
425070,18.0
1011680,27.0
911235,30.0
1062476,38.0
155321,39.0
1040618,46.0
1097858,55.99999999999999
213848,33.0
621573,24.0
907479,30.0
961866,11.0
1067778,45.0
938415,24.0
830454,9.000000000000002
835266,30.0
137811,26.0
131006,50.0
38234,35.0
263779,28.0
568723,36.00000000000001
891075,14.0
57492,48.0
972459,29.0
1137832,37.00000000000001
1172516,28.0
437154,21.0
604634,63.0
958207,9.000000000000002
1130954,20.0
724562,48.0
859383,33.0
136727,39.0
992706,34.0
958546,29.0
143034,61.0
910451,49.0
575349,42.0
1192889,39.0
1157686,28.0
956880,50.0
1044532,22.0
906010,46.0
396281,44.00000000000001
377296,21.0
587333,24.0
873749,17.0
106375,20.0
1049999,27.0
231131,34.0
424050,59.00000000000001
1106003,23.0
28314,40.0
841511,34.0
383896,63.0
62829,61.0
644184,36.00000000000001
166093,11.0
30807,43.0
160557,31.0
142240,19.0
913159,30.0
928834,36.00000000000001
1089956,25.0
117841,36.00000000000001
526640,25.0
786025,29.0
218689,11.0
680809,37.00000000000001
529510,38.0
2709,46.0
1054945,38.0
78526,27.0
962331,6.0
966394,32.0
1074472,63.0
552210,20.0
490195,23.0
115272,31.0
528025,43.0
369919,23.0
789877,34.0
417472,46.0
56808,48.0
810355,25.0
1154164,19.0
583454,59.00000000000001
99,43.0
687424,46.0
1005643,37.00000000000001
1206748,26.0
341933,18.0
209222,29.0
37652,28.0
913079,27.0
515017,20.0
810547,22.0
371068,21.0
562779,33.0
244622,43.0
140167,38.0
1139637,67.0
1075184,25.0
240901,40.0
767721,36.00000000000001
1104089,29.0
707116,26.0
424012,52.00000000000001
70074,27.0
1104985,8.0
967169,45.0
925609,32.0
890467,40.99999999999999
1140529,29.0
665152,19.0
281580,36.00000000000001
42926,35.0
32571,36.00000000000001
448809,25.0
127316,60.0
1151805,35.0
458149,20.0
429865,55.99999999999999
351470,40.99999999999999
909995,60.0
959172,22.0
151920,22.0
1077338,29.0
466260,37.00000000000001
980241,37.00000000000001
913735,34.0
384129,65.0
68861,21.0
349577,51.0
357776,39.0
586583,21.0
405136,34.0
753383,34.0
761222,12.0
852387,37.00000000000001
702329,26.0
443384,25.0
1162686,46.0
112314,29.0
1039533,45.0
676443,47.0
125714,31.0
1105974,30.0
12105,40.0
153940,29.0
428674,49.0
1146537,62.0
589119,19.0
910415,54.00000000000001
878290,25.0
812530,36.00000000000001
71545,55.0
471507,23.0
621448,17.0
986870,29.0
465529,45.0
978972,43.0
631887,43.0
633219,44.00000000000001
1033074,34.0
497358,22.0
11250,23.0
1028832,63.0
1129375,21.0
626405,27.0
915454,51.0
110185,39.0
169895,40.0
562738,52.00000000000001
589784,18.0
557341,28.0
911260,42.0
1070309,32.0
914613,76.0
220970,18.0
84757,21.0
1204330,34.0
366023,53.0
606023,44.00000000000001
431664,60.0
171583,37.00000000000001
147852,50.0
1066266,40.99999999999999
944342,19.0
848998,33.0
296972,20.0
693475,38.0
782609,55.0
505428,24.0
261191,38.0
580776,32.0
101946,28.0
232644,16.0
17370,43.0
822200,19.0
444288,66.0
676218,65.0
769063,10.0
621256,33.0
1096614,29.0
147991,47.0
445718,35.0
245651,24.0
941276,25.0
216731,35.0
906695,43.0
179849,27.0
533200,51.0
991181,57.99999999999999
512447,25.0
829479,14.0
798324,38.0
714106,35.0
1161547,50.0
1203692,34.0
545396,38.0
548253,21.0
994322,40.99999999999999
666127,17.0
668108,23.0
18963,52.00000000000001
386410,57.0
868006,33.0
264820,35.0
134049,29.0
749080,35.0
664965,25.0
1017238,37.00000000000001
383236,62.0
801020,23.0
602156,36.00000000000001
952126,57.99999999999999
216169,26.0
595807,46.0
288023,38.0
165170,19.0
1168893,45.0
906108,26.0
221826,38.0
527214,51.0
1099336,40.0
1124421,18.0
995126,42.0
1126398,51.0
3501,55.99999999999999
912645,33.0
429232,53.0
223489,35.0
462190,60.0
635232,37.00000000000001
847722,39.0
310222,40.99999999999999
726222,20.0
236283,59.00000000000001
741807,18.0
468351,28.0
748860,46.0
370277,29.0
669879,55.0
1145361,29.0
379903,27.0
68476,21.0
375057,32.0
36987,62.0
1186671,39.0
747775,28.0
271431,46.0
1064252,34.0
981305,40.99999999999999
385221,49.0
1001424,45.0
1071519,32.0
1149184,80.0
3978,46.0
1143887,40.99999999999999
163521,53.0
255417,34.0
1193907,21.0
602855,40.99999999999999
440745,26.0
30924,51.0
1035969,18.0
868868,18.0
129397,51.0
905233,20.0
747439,49.0
587992,18.0
319712,36.00000000000001
1149992,30.0
868472,28.0
911975,35.0
545035,33.0
1063251,40.0
908725,31.0
1172445,23.0
948551,29.0
23931,42.0
691948,36.00000000000001
37572,33.0
722268,36.00000000000001
36603,40.0
665283,30.0
1015525,51.0
1009867,34.0
1187973,26.0
273128,21.0
138175,68.0
545954,27.0
633861,31.0
691748,32.0
1028061,80.0
221065,22.0
121536,32.0
349530,51.0
751559,20.0
970625,27.0
36822,52.00000000000001
213167,43.0
7704,47.0
989266,27.0
1129987,10.0
209856,40.0
598669,77.0
456100,35.0
884508,33.0
7524,36.00000000000001
831479,30.0
962126,26.0
693107,12.0
403897,32.0
1197031,51.0
673964,26.0
561994,46.0
92917,32.0
978209,19.0
695155,35.0
16596,33.0
219938,18.0
3276,62.0
908907,43.0
787176,55.99999999999999
81730,17.0
469352,21.0
727026,25.0
325449,20.0
402456,35.0
685329,45.0
931397,26.0
930216,55.99999999999999
1030235,42.0
261355,28.0
432028,46.0
1201951,39.0
676777,42.0
947302,40.99999999999999
77276,43.0
378997,62.0
313744,40.99999999999999
910119,49.0
817563,42.0
582563,93.0
115419,37.00000000000001
705512,45.0
61031,54.00000000000001
132155,26.0
57919,53.0
1206041,29.0
250958,39.0
528418,20.0
732074,22.0
567785,45.0
70299,20.0
1110887,35.0
200610,59.00000000000001
62239,68.0
9162,38.0
992777,31.0
195430,33.0
913476,12.0
393780,43.0
605092,30.0
840624,35.0
257499,22.0
1153833,18.0
930953,30.0
282821,53.0
469067,30.0
846243,23.0
757952,38.0
518782,24.0
1192952,38.0
72730,22.0
716241,39.0
1111854,29.0
243795,32.0
1206289,20.0
635779,40.0
806803,19.0
34389,40.99999999999999
59759,22.0
965217,48.0
488075,38.0
364180,22.0
83967,45.0
310973,38.0
500476,45.0
801906,63.0
122656,10.0
1113760,30.0
988592,25.0
194030,38.0
266513,47.0
542012,13.0
689257,15.0
1171574,40.99999999999999
466816,40.99999999999999
816444,28.0
282654,51.0
1093335,55.99999999999999
955573,42.0
406692,39.0
53770,55.99999999999999
795895,23.0
711668,28.0
474811,22.0
792221,23.0
466829,43.0
23391,45.0
299522,29.0
1134938,49.0
864098,47.0
632169,35.0
907755,35.0
588176,17.0
908033,35.0
443046,26.0
791908,51.0
484704,37.00000000000001
718259,57.99999999999999
677597,29.0
708262,40.99999999999999
1205992,35.0
18441,31.0
1145193,25.0
348560,32.0
1063414,17.0
331014,29.0
143256,86.0
1127826,31.0
912833,23.0
104326,11.0
1072943,72.00000000000001
808587,35.0
430783,45.0
1197056,53.0
473707,6.0
504872,30.0
948584,27.0
213372,55.99999999999999
1096652,62.0
723142,18.0
675418,14.0
754339,35.0
906004,48.0
904101,37.00000000000001
1047448,30.0
749371,35.0
25704,22.0
209885,39.0
854541,46.0
111831,45.0
750272,21.0
231508,68.0
61993,32.0
1047456,38.0
1091086,40.99999999999999
1040488,43.0
1058812,28.0
331194,33.0
1060810,32.0
115885,35.0
904748,39.0
384799,62.0
742657,40.99999999999999
821196,37.00000000000001
7695,47.0
200606,57.0
278957,33.0
907972,26.0
601176,20.0
370081,37.00000000000001
1177626,38.0
767296,31.0
88030,55.0
395190,31.0
23949,28.0
414417,47.0
680425,22.0
320971,29.0
1203105,24.0
731874,27.0
243577,24.0
459984,28.0
12411,23.0
687714,28.0
3843,60.0
307283,77.0
1051766,40.0
926878,35.0
815628,29.0
905618,40.99999999999999
327481,35.0
153969,29.0
859733,30.0
29853,35.0
44167,26.0
364156,25.0
2268,27.0
166235,19.0
343220,50.0
280731,67.0
499620,29.0
899587,42.0
976111,46.0
39323,38.0
1154068,21.0
1097967,35.0
1142895,27.0
489860,18.0
100611,44.00000000000001
