,pm25
244058,19.5
781825,14.9
222141,6.9
980351,8.4
145942,8.8
15813,4.9
1118395,14.2
732781,13.4
31428,1.2
484618,17.2
64122,6.8
215727,11.2
157342,22.1
788919,7.1
208240,15.6
421029,8.8
908733,3.9
390666,9.2
1061079,10.2
163535,13.1
336860,12.7
69543,18.8
318164,7.4
940775,6.7
1083434,13.9
1039958,12.9
33660,5.9
183346,8.7
635145,4.7
31905,4.3
524248,16.0
487990,8.8
204512,6.9
134783,11.1
1141576,12.1
756725,3.9
1036046,28.5
513718,4.5
201320,10.4
1075271,7.4
934438,13.1
330440,9.3
953094,11.3
869108,9.4
1080145,4.6
163673,22.7
910999,7.8
1067210,9.1
311939,16.5
359640,3.7
922829,11.9
1122897,8.7
451905,10.1
460540,18.5
999029,8.7
632280,6.0
453863,9.8
919809,4.4
878432,6.7
492527,7.1
212630,11.7
520309,7.6
245898,15.8
1066492,6.5
998183,3.1
955366,7.3
1037527,19.8
229898,19.0
372073,17.6
1155628,17.5
1042459,9.0
36558,6.6
611483,15.2
166834,9.4
131091,13.0
705080,7.5
972465,6.6
1057190,7.9
754147,7.9
834568,9.5
430712,14.9
1114143,12.1
523201,7.0
828361,4.7
71878,13.6
1165671,10.1
93871,13.1
9603,22.7
681026,15.7
136876,11.8
1140427,8.6
1077208,5.1
1063071,15.0
798197,7.7
115181,7.6
68710,27.4
654135,9.5
668125,12.8
627895,8.4
37593,8.9
161844,12.6
726956,11.1
964520,4.4
183022,8.2
1154783,5.0
693832,3.3
106406,14.9
707748,13.5
610524,4.4
432631,10.2
1116112,7.0
1116948,13.3
752744,7.6
109263,11.9
434294,8.5
396611,14.9
1122995,12.3
348177,8.7
747465,4.8
22896,4.2
29934,3.2
1008756,8.6
1002389,14.8
1103302,10.1
415186,14.6
160193,6.6
1026011,12.2
1064872,9.9
1139124,6.9
22419,8.2
532883,4.1
3915,7.6
860033,14.4
509165,7.3
1117227,27.8
935318,10.4
1115871,10.5
22860,3.5
6813,6.1
1031533,11.5
904864,2.9
1044,7.1
1139763,12.3
1072033,7.5
1065387,9.5
43744,9.9
1100509,11.6
378537,6.9
361081,9.5
417229,19.2
678459,10.8
37296,7.1
623027,8.5
582730,12.3
581797,13.3
233535,5.1
1060399,13.5
672625,3.9
153556,22.6
288023,20.1
1085220,4.7
1030173,18.0
399214,11.0
997387,8.7
65950,10.4
20862,4.2
885926,16.4
401353,22.7
9306,10.5
1061921,29.1
76760,10.7
722947,7.4
263933,8.1
279303,9.0
813727,8.4
1072773,25.5
41400,6.2
566346,7.2
1045768,17.3
830653,6.1
833419,3.1
461819,7.6
994209,9.3
417574,13.8
73988,6.7
435736,10.5
278460,21.0
298088,11.0
852648,12.8
1030129,7.8
758692,5.0
8235,9.8
240033,10.8
791007,14.5
391971,14.8
220375,10.1
515101,12.2
214840,5.4
903439,3.4
901423,6.3
30438,3.6
449480,6.8
1119774,7.0
41283,7.2
1117132,13.7
765810,4.3
1047352,16.3
771210,9.5
537263,6.0
518341,8.8
116477,11.0
873015,9.8
341574,9.8
824929,12.5
1106099,14.3
762355,6.8
41853,16.1
1014645,9.9
1107686,6.7
731933,4.6
1002616,4.3
1108227,10.6
1009660,12.0
447391,7.1
1151783,6.7
1160243,5.6
417337,15.2
132699,6.7
772097,9.7
729098,10.6
451668,9.3
1049715,13.4
48094,8.5
149051,8.9
754032,13.4
990456,5.7
412730,10.4
1065623,8.7
446969,9.5
419810,9.9
1002120,17.5
514086,10.9
742601,5.5
831881,11.8
804327,11.8
955431,4.1
797823,11.5
1124582,10.2
10350,15.5
304813,13.5
908262,3.7
1039557,14.5
767884,10.4
726124,10.2
877435,8.1
446432,6.7
176234,11.9
1076667,3.4
560181,19.9
293601,11.9
1161331,12.3
1143389,8.7
1107189,8.6
879666,13.6
37350,9.8
1132203,6.7
611788,10.3
41838,9.7
727781,7.9
955886,4.5
1029623,15.5
989218,17.2
794001,3.8
1032934,2.5
600666,8.8
1124625,11.3
1048918,10.8
317590,9.8
742483,5.5
384885,14.7
49075,12.0
424935,6.4
296212,4.7
1158888,7.6
449521,5.2
998330,8.2
289424,15.5
325939,8.9
319771,10.4
1132409,2.8
1001234,14.5
1132237,6.4
124397,6.8
965178,4.2
424338,6.5
94551,20.5
1111522,4.1
484169,12.3
639389,5.4
16029,6.2
365126,11.2
238642,10.9
507041,8.2
1097422,3.2
1001273,27.8
465568,9.5
637395,8.4
377801,15.9
457842,11.8
314978,8.5
997972,5.0
1153668,10.7
1139856,11.7
618776,6.6
668898,12.5
184233,9.6
1077182,6.5
1007093,7.9
1031098,11.4
161698,15.3
417001,13.5
28602,3.0
486505,12.9
78575,12.7
1100098,16.1
995238,8.6
80860,12.1
707918,6.0
261083,8.2
289389,15.6
9243,13.0
953363,7.2
1089702,15.1
454641,8.2
27450,8.8
733373,2.3
87698,18.0
23166,9.2
216655,16.2
1096213,7.6
18513,4.7
727208,14.5
298611,21.3
212183,13.5
750004,14.2
552341,10.5
259015,13.2
731900,3.7
139362,18.9
1000554,6.7
34848,7.7
892908,8.2
1125536,7.9
471526,11.2
1072138,12.4
840025,12.2
498245,17.4
404384,14.1
1030119,15.6
651772,10.9
1136623,5.3
22626,4.0
986619,10.2
494605,7.6
406344,18.5
1072068,13.6
304898,8.3
656251,22.7
1025279,9.1
691921,9.6
1001567,10.4
1142258,11.4
583714,12.3
1165735,2.6
35190,6.2
633105,14.3
502134,11.4
1156717,6.6
970064,8.8
624249,6.4
133622,10.1
1045288,12.6
27594,5.6
1166541,12.4
792611,7.1
223669,12.8
318911,10.4
151575,9.2
675190,5.8
677899,7.2
774998,7.1
1131301,6.8
155834,19.2
135707,13.6
449781,11.4
746264,10.8
379603,8.3
450014,9.9
456886,8.0
755332,10.9
102594,20.7
22221,7.2
733407,7.0
302319,18.1
786409,3.9
822056,4.7
333270,6.1
1165086,8.4
572645,19.2
1000532,10.1
1096762,7.3
249590,7.3
646035,6.9
611333,12.1
1161798,10.0
87137,13.7
32049,8.9
501556,13.9
115696,12.5
977565,5.8
136912,13.0
879568,13.3
1053481,6.0
142747,14.6
773840,5.2
1049073,15.1
424239,7.2
1015234,3.4
1040765,8.8
253385,10.0
95504,9.7
74976,7.2
542911,11.2
575673,15.7
1881,8.3
855064,7.0
829416,8.4
755230,11.8
173054,10.0
790868,13.5
1006892,16.5
1039372,5.5
999867,10.2
295394,4.7
112667,7.8
206682,10.4
1123456,7.5
1154860,4.6
1006275,13.8
157180,13.0
329856,8.6
606495,4.5
915194,6.9
14751,7.1
1002358,10.3
725226,7.9
1084644,11.5
1031168,5.0
223506,7.0
583852,16.7
767973,10.5
3897,13.2
445528,9.8
1101214,4.4
563464,12.9
908465,3.7
1133720,6.7
541364,8.7
924165,11.0
360499,10.7
488104,8.2
1160055,10.2
1102524,8.5
174550,4.5
106329,10.0
859846,19.1
1067959,10.3
243734,15.6
73801,10.5
1046168,8.0
419436,13.3
778724,5.5
536087,6.6
1043129,17.4
1010870,11.2
674815,6.9
44117,8.3
184819,8.1
199628,10.1
1060479,10.7
536971,4.7
1086717,2.6
1073242,8.2
974623,4.6
998765,6.9
1085761,9.8
453677,11.3
16353,6.5
755043,9.3
904117,5.3
342518,2.5
719366,9.5
29286,19.3
688783,8.1
1006170,9.6
1073007,13.6
194250,17.4
314259,7.2
1093617,4.8
88655,7.3
501677,12.8
656405,35.5
1137613,5.1
301079,23.0
1075836,6.6
939643,10.2
1009215,8.5
960892,17.0
27792,6.1
159001,12.4
18891,9.3
1052328,6.2
1056105,10.9
757910,11.2
1034341,7.9
461534,7.3
993950,15.6
704304,11.1
325170,18.5
187667,21.9
537084,4.0
1100683,8.2
1018739,11.8
826027,18.2
934218,6.6
878314,12.1
67643,15.2
37620,8.8
849453,9.8
576445,20.6
1062477,7.1
17712,3.6
33417,7.7
724706,4.4
308240,12.2
1027734,12.0
74389,10.9
536319,4.4
667148,12.8
479510,9.6
206885,9.4
802926,8.1
78762,14.2
613459,5.0
878265,12.9
517385,13.4
654285,7.0
959655,15.0
641985,12.3
980201,7.1
911169,7.1
103765,13.5
949922,17.1
1031568,4.5
34767,3.7
35631,3.4
55631,4.5
600047,5.3
153063,18.1
1000726,15.3
271893,10.0
225165,17.8
404881,10.2
496811,12.7
195517,12.3
460841,5.2
1001801,5.0
1129352,8.1
492544,13.9
892655,7.2
299256,10.7
98905,17.0
429266,11.0
688899,9.3
860521,8.8
501905,17.0
1016668,11.3
853902,7.2
40527,8.7
191369,14.5
1042904,14.4
158538,7.7
752406,5.2
1026948,5.4
589719,6.5
230767,7.6
446602,7.6
911782,9.3
759626,5.8
999916,11.4
1153632,11.3
1122940,12.4
1011025,20.5
40023,9.7
1136195,15.6
1056027,3.8
1060470,7.6
965852,7.6
26658,3.7
144940,12.5
1120777,15.4
668695,12.1
4932,10.8
1135284,9.2
350971,3.7
492034,8.6
690041,8.2
57843,4.7
1074487,7.0
1064542,9.3
1093117,8.9
953464,6.8
251958,11.1
1123475,5.2
77217,11.7
40824,8.1
809113,19.8
1087231,7.2
1011340,8.3
783370,7.9
1054054,16.8
125372,8.5
436054,7.0
1037727,7.5
453578,9.1
1040403,15.1
1129438,5.7
460406,19.8
1081189,5.8
998380,6.4
1025586,11.7
707568,4.8
710183,10.1
451382,8.8
903626,3.5
25992,3.4
1089607,13.8
1104384,8.3
678578,12.2
171402,6.7
618812,5.0
1022468,12.2
549944,12.7
179686,13.7
29223,5.9
979772,14.3
876135,8.2
715356,6.0
422830,8.3
38592,3.9
823950,4.0
1104682,9.7
320655,17.7
894462,4.2
122831,12.4
884726,30.6
13230,8.7
29727,3.4
2880,8.8
250164,10.6
676241,18.1
767599,8.4
1043269,6.0
531738,11.2
314218,5.3
952639,14.6
662252,7.1
645176,14.6
887818,19.9
827274,18.0
745988,9.9
507873,6.8
1117504,9.1
523520,12.9
1118142,10.8
107560,4.1
570041,4.6
1142351,11.7
1080990,14.8
1000224,10.1
520652,10.4
32967,9.6
991484,10.6
1121030,8.7
326387,18.1
721292,10.6
897998,4.5
735406,12.6
99438,9.8
374198,12.5
37458,3.2
1083549,5.8
524803,16.1
580872,15.3
519805,8.2
923137,4.0
581023,14.3
770480,10.5
672576,4.7
15084,10.4
467767,11.1
194547,13.3
546747,12.4
1123934,4.8
580368,13.2
1121789,9.8
29961,2.8
122659,12.6
296278,8.0
394454,10.7
833488,6.8
261420,7.7
1028142,9.2
631789,5.1
444699,12.2
9702,13.2
840752,6.6
383377,7.5
859440,12.7
1002072,8.2
132715,8.0
432533,13.5
670874,9.8
1095802,3.8
1000110,6.8
1100743,8.9
908530,5.0
861202,8.4
1130943,6.6
752998,6.0
477187,10.0
361787,6.9
473306,10.2
12681,5.9
402297,17.7
1150047,8.3
268409,14.4
419302,15.9
564383,3.8
844638,8.0
99153,19.6
443914,19.6
1099810,13.5
929687,3.5
1557,7.6
213408,14.7
999550,15.3
1057469,7.8
29583,8.9
1108307,15.2
1108123,8.2
52304,9.9
998772,6.7
1080224,6.7
1044862,8.7
862973,6.4
1125697,8.2
517114,5.9
352976,4.7
21465,7.7
1090903,5.9
1157764,9.8
8028,7.0
406205,11.2
1088702,17.6
873607,3.5
629230,9.3
68075,11.7
1022363,9.0
240155,10.5
1083339,5.5
975991,15.1
859326,9.5
157949,11.8
34506,3.9
15471,10.2
30888,2.9
492357,9.9
98243,7.9
1157041,14.7
1021708,9.1
456641,9.8
452075,7.0
258335,7.6
143087,7.2
129595,15.4
931213,3.0
1017008,16.0
494435,6.8
120440,7.8
1021473,9.5
975435,5.8
135183,7.4
918879,0.4
182239,8.4
1006422,10.6
2601,6.2
421884,10.6
178919,10.7
261343,4.3
33489,4.2
1010085,13.9
167542,4.6
953749,10.4
1163484,10.5
292885,7.7
849996,6.2
496060,8.5
394961,20.8
430789,14.3
1163518,17.3
3672,6.9
1083584,10.8
11682,7.5
636448,10.0
421264,9.9
1146373,7.0
725112,6.9
647050,9.2
363590,10.0
1051268,10.0
664100,14.4
1139704,16.4
505174,5.3
882760,6.6
26415,2.2
938274,8.1
1110009,8.6
280753,12.4
795484,4.9
596833,16.6
1090607,19.5
1026253,13.6
1024574,11.5
1161560,13.0
994314,4.6
571295,9.8
488625,9.9
1062347,6.9
476812,9.8
102635,23.3
1037927,5.0
22572,5.1
1111905,8.2
449505,5.8
1052380,8.6
215459,7.4
684810,4.2
838100,10.4
1090242,10.9
1161152,7.4
1070026,10.2
770444,11.7
469111,9.2
141193,11.6
50021,14.4
823122,10.4
1143797,11.0
58129,10.9
307971,17.2
228987,12.4
1120062,7.5
531342,15.4
266038,11.8
1057225,11.7
208638,12.8
237106,12.2
1076027,29.6
492543,13.3
136997,7.9
784957,4.8
38682,1.4
928712,5.1
741250,6.8
986668,10.7
858681,10.4
866067,4.8
683441,0.5
214465,10.8
1033883,8.2
643160,9.1
867518,6.6
1055510,13.6
438279,8.2
997050,10.8
1016258,11.3
605652,9.5
644281,7.2
1040037,7.7
26730,3.8
41175,8.1
793266,7.8
830378,6.1
623670,11.6
36477,2.3
38952,1.3
293552,9.4
1093412,5.8
1128577,9.6
36081,5.3
936333,12.7
428617,7.8
905267,5.9
14301,7.2
803812,4.6
41382,2.8
832964,8.7
435296,10.3
1091522,10.8
900379,8.0
395160,17.1
1134196,5.3
973228,10.1
1045933,10.0
66337,20.2
868113,8.4
1043748,5.6
719330,8.6
779330,5.1
890819,29.9
167395,15.5
1037491,22.4
664502,9.4
39132,3.8
663860,12.6
78523,9.7
974741,6.5
1056104,7.7
1013941,15.8
120131,11.4
3951,10.9
165801,8.2
1074417,12.1
645257,18.4
409137,12.9
28512,5.6
621659,12.9
174713,7.4
681178,15.0
756961,3.2
452771,8.6
327472,7.4
1061184,14.6
45129,22.2
647528,4.8
1057034,6.1
188404,13.9
1017928,11.4
685295,5.3
310267,14.3
449980,8.1
75943,8.6
12195,8.7
266307,11.2
16596,12.7
1076677,6.7
735707,10.4
696392,9.0
341319,7.3
724860,4.1
230244,11.8
1158240,8.3
1098557,5.9
1012872,11.3
1157696,6.9
694209,3.3
750279,14.0
1159280,10.0
404368,15.5
3006,11.4
425869,11.8
354478,8.1
66983,19.1
589621,10.7
86214,19.8
1091312,13.5
1161245,6.8
423208,14.3
1359,5.0
4104,9.6
122919,9.6
83081,15.7
695120,10.4
81990,8.7
991674,9.4
22743,6.4
595967,13.9
1039653,8.6
32760,3.4
472547,7.6
507566,12.0
118334,4.3
17109,9.1
27531,7.8
36468,1.9
65986,10.1
22824,9.6
787351,9.1
432122,15.0
1166255,10.6
1012707,17.7
723670,13.3
1007242,18.5
955229,7.2
1139679,15.5
1090198,8.1
1164958,39.4
578312,11.7
766916,10.8
974044,11.3
877810,5.4
961331,13.6
636904,7.0
916485,2.3
374519,13.1
998258,5.2
1001563,8.3
497430,5.8
1159339,10.6
1132569,7.8
1087752,11.7
243184,10.2
553976,8.0
161885,15.1
908734,4.1
1034152,10.5
1061583,15.4
1045106,10.5
1104716,8.4
1151740,4.5
773669,7.6
621812,3.0
998373,5.8
120489,7.5
311800,7.6
1007721,12.8
776787,6.7
1110759,4.6
978991,8.0
107905,3.4
745422,14.2
300737,9.5
52101,9.0
262676,10.9
1000470,17.1
643636,6.8
1023913,24.9
910577,8.2
1030209,13.1
1165158,11.4
717266,7.8
1153727,10.8
84508,29.0
767461,15.5
1000919,14.5
34317,7.4
1131496,7.8
502639,8.7
1088423,6.3
1021318,9.3
25308,5.8
231610,11.6
318335,7.5
13275,5.7
1014773,9.0
1131403,8.9
1125706,7.2
101959,10.7
27585,6.1
1113777,6.6
851211,4.5
483654,13.8
590765,9.6
816373,8.8
881663,32.9
1065352,9.9
1121065,11.0
109499,6.3
1112802,6.7
5202,4.5
1111275,7.2
286557,13.5
1052979,9.8
52661,11.2
24786,7.3
999757,5.1
54900,6.1
848117,10.3
24732,11.4
1069811,5.2
1121859,9.6
701057,5.7
228751,11.2
173106,9.7
640958,12.9
30141,3.8
781333,8.3
341689,17.0
82283,17.3
950442,2.0
844769,11.3
41919,6.7
684404,21.0
1120261,11.6
1098956,3.6
46621,12.1
1128237,5.2
1001977,9.6
478142,7.5
8280,8.7
1148513,5.4
1079322,7.1
1020604,7.4
548575,4.6
857175,6.0
1146729,7.5
595185,4.8
340219,4.7
160229,5.7
956178,6.7
201085,11.0
1081469,22.6
702,6.0
195492,10.1
1091907,14.3
33624,1.9
1141585,10.5
682123,10.5
77592,20.5
193177,9.0
741233,3.7
956921,14.9
153369,14.4
1028677,4.8
663405,11.4
821509,9.9
1072469,10.7
503426,4.9
653021,9.6
40626,4.3
999863,9.0
1036091,18.5
1113776,6.8
36153,3.4
919858,1.6
1118857,7.5
366629,12.4
1008227,9.4
656860,18.7
188948,8.5
1139115,2.9
999656,6.7
32589,5.1
416810,12.1
249814,6.5
355799,7.7
1149195,6.3
1032568,5.3
814525,9.6
1151595,6.9
11835,7.9
1069318,12.8
593944,9.3
76573,5.7
942207,12.1
212728,11.9
422022,11.8
32679,5.2
486514,12.1
1142190,6.8
551773,9.4
234145,13.2
1100133,11.2
482873,16.3
590261,4.1
186983,8.5
1044557,6.8
288138,20.9
822040,5.6
523494,12.0
705027,5.4
1036552,10.3
326353,19.1
1038702,10.6
922340,5.4
857597,14.0
286659,14.3
633255,10.4
21888,5.6
556460,4.4
1002661,7.0
768732,3.5
23958,4.5
300964,18.9
1113175,4.0
285517,5.6
368279,10.9
776396,9.2
491956,7.9
889374,4.7
784406,3.8
1020483,13.2
487650,7.9
531,7.8
433520,10.5
1080494,19.8
914641,4.1
853355,7.5
295435,4.4
991265,8.4
443191,5.0
111904,7.5
822365,4.7
271929,7.1
1121527,8.2
41691,6.9
10998,3.6
1089632,13.3
63960,8.4
207743,9.5
509011,9.9
646340,10.4
526389,11.0
1136777,2.2
608065,3.7
363388,7.5
473032,7.2
907568,5.8
161633,13.5
26451,3.3
631026,14.5
162294,15.7
22338,5.5
946029,5.5
594810,6.0
1028667,4.7
180730,9.5
375401,9.5
953530,8.2
255624,8.5
1071728,7.1
1062241,6.3
1005515,12.6
910020,11.7
1048493,32.7
1131965,8.2
1065683,11.4
1001494,16.3
689170,5.4
761405,7.4
845923,7.5
1165577,4.1
1064612,10.2
809048,31.6
519882,7.1
342282,4.8
1059273,11.6
35676,4.7
40329,10.4
292067,18.7
729421,4.9
543350,5.8
316376,5.1
302483,15.2
15804,8.3
1007232,17.6
856858,6.1
1040368,15.0
874308,4.8
415023,10.9
1000682,8.9
585841,11.5
76963,15.1
958555,6.2
1056789,9.9
1155397,6.7
1073156,9.7
16731,3.8
237656,12.7
899734,5.7
15534,18.4
19953,14.8
715287,5.3
70858,8.0
960820,21.9
264998,8.7
854560,8.5
972848,12.2
911510,8.4
6291,7.0
717895,7.3
1133754,7.0
328778,9.3
563516,13.1
1110008,10.9
401067,23.3
1059543,9.5
1063713,12.0
1011200,8.3
889849,3.5
1039057,16.5
506832,4.7
221861,12.8
537329,5.2
1051604,27.1
1002380,9.3
624819,8.6
778740,5.6
866172,9.7
1001790,4.2
684047,6.1
888309,7.9
888391,11.3
240840,7.4
764645,9.4
267091,15.0
165765,8.0
298475,12.5
133500,8.3
41640,5.9
318351,11.4
13014,4.2
939374,9.9
13248,10.8
301063,24.0
411264,10.8
1123270,9.2
520351,11.9
329322,12.9
65177,19.6
183968,19.8
1066553,8.9
841479,6.6
1119328,7.0
29502,3.9
606114,13.4
1094612,2.2
1148037,5.0
87283,8.5
918545,3.6
985635,5.2
400365,6.6
1120464,7.2
452385,5.7
560217,20.6
786543,5.0
452426,6.9
37989,2.7
1001647,22.7
822414,1.6
31374,2.5
1110941,14.1
778179,5.7
106116,7.3
726781,11.5
819306,9.4
383899,12.9
1007686,26.1
1137681,6.2
1002652,2.8
20934,3.3
651569,10.7
537952,6.9
458462,5.8
1048883,10.6
771161,7.6
437679,8.4
649661,20.0
842779,6.9
551232,13.4
13392,4.2
1111459,4.0
41811,8.5
978170,5.3
591355,6.9
1024913,6.2
826904,3.2
795314,6.9
1091112,8.6
1078688,5.7
734141,14.4
3339,6.5
1020474,9.0
270835,5.7
755417,14.5
888070,15.6
463858,7.1
266384,13.6
583132,18.8
842778,5.8
147587,9.8
188083,11.6
10152,4.3
640724,11.2
625314,7.9
1035090,10.0
687361,7.6
