,ambient_temp_c_in,airexrate_in,ambient_rh_in,pm25_pt_ou,rh_ou,dust_sand,rain_prcp,smoke_haze,temp_max,thunder,wind_avgspeed,wind_fastest_2min,fog_all,snow_all,rain_all,wind_dmg,wind_all,landuse_main_Residential,landuse_near_Park,landuse_near_Residential
156,24.4254,0.34146,58.3109,-1.4423507820233294,86.24306666666666,0,0.0,0,75.0,0,9.62,25.1,0,0,0,0,1,1,1,0
316,26.7,0.519149,49.895695,1.0587416474646951,65.39583333333333,0,0.0,0,100.0,0,3.8,12.1,0,0,0,0,1,1,1,0
60,22.8939,0.689389,45.9869,1.399007160971696,59.53473333333333,0,0.0,0,77.0,0,3.8,15.0,1,1,1,1,1,1,0,1
140,21.0381,0.281717,57.854,-0.8253954256300836,82.5151,0,0.0,0,73.0,0,8.05,17.0,0,0,0,0,1,1,1,0
350,28.1,0.169999,51.6337775,-0.5596056773548868,79.15903333333334,0,0.0,0,86.0,0,4.92,15.0,1,1,1,1,1,1,1,0
76,23.0962,1.18258,43.0145,0.00792657012808151,75.2517,0,0.0,0,58.0,0,6.93,17.0,0,0,0,0,1,1,0,1
318,26.7,0.519149,49.895695,1.220159438719324,65.44443333333334,0,0.0,0,100.0,0,3.8,12.1,0,0,0,0,1,1,1,0
352,28.1,0.169999,51.6337775,-1.3199370541088624,79.42556666666667,0,0.0,0,86.0,0,4.92,15.0,1,1,1,1,1,1,1,0
28,23.9,0.48438000000000003,45.7131052631579,-0.954575720908975,86.1986,0,0.09,0,89.0,1,7.16,28.0,1,1,1,1,1,1,0,1
190,24.6585,0.7427050000000001,54.2515,-0.05017558273372187,62.19006666666667,0,0.0,0,87.0,0,12.75,29.1,0,0,0,0,1,1,1,0
364,25.3,0.30522699999999997,53.37186,0.3526528053678009,53.85060000000001,0,0.0,0,104.0,0,4.7,12.1,0,0,0,0,1,1,0,1
62,22.55,0.980056,66.33,-1.089713427896705,84.63663333333334,0,0.0,0,73.0,0,6.93,17.0,1,1,1,1,1,1,0,1
54,22.8939,13.3432,45.9869,1.6619860910457402,59.98613333333333,0,0.0,0,77.0,0,3.8,15.0,1,1,1,1,1,1,0,1
108,23.495,0.181107,57.0915,-1.034905337636049,85.69843333333334,0,0.0,0,79.0,0,7.38,16.1,1,1,1,1,1,1,1,0
90,22.1981,0.200699,37.3222,0.9034320252813308,68.68726666666667,0,0.0,0,58.0,0,8.28,15.0,0,0,0,0,1,1,0,1
242,25.0646,0.38508000000000003,47.72000714285714,0.5844764218894448,75.44446666666666,0,0.0,0,95.0,1,4.25,19.9,0,0,0,0,1,1,0,1
216,28.64,4.30264,70.5701,0.12095862596744987,79.26950000000002,0,0.0,0,87.0,0,8.28,19.9,1,1,1,1,1,1,1,0
206,26.4258,0.463663,55.0619,-0.14951588907672045,81.8385,0,0.0,0,88.0,0,10.07,19.9,1,1,1,1,1,1,1,0
254,24.8747,0.364092,39.4672,-0.12938927200626102,73.3488,0,0.0,0,95.0,0,4.03,14.1,1,1,1,1,1,1,0,1
112,22.8406,0.685132,61.6345,-0.6535342200034143,82.3229,0,0.0,0,75.0,0,8.05,17.9,1,1,1,1,1,1,0,1
110,23.495,0.181107,57.0915,-0.8253954256300836,83.57816666666666,0,0.0,0,79.0,0,7.38,16.1,1,1,1,1,1,1,1,0
168,26.4412,0.310734,56.2051,2.5572238364304325,73.32636666666667,0,0.0,0,88.0,0,6.49,15.0,1,1,1,1,1,1,0,1
402,22.553657407407414,1.7137900000000001,56.720342592592594,-1.9931240920050544,90.75186666666669,0,0.0,0,60.0,0,5.37,13.0,0,0,0,0,1,1,1,0
126,26.0687,0.478149,62.1223,-0.14951588907672045,83.28986666666667,0,0.89,0,77.0,1,10.74,40.0,1,1,1,1,1,1,0,1
296,28.1,0.232073,48.1576125,0.43740716797102425,68.02126666666668,0,0.0,0,96.0,0,4.7,15.0,1,1,1,1,1,1,1,0
78,26.6618,0.587917,61.7229,-0.954575720908975,86.38516666666666,0,0.0,1,79.0,0,4.92,13.0,1,1,1,1,1,1,0,1
56,22.8939,13.3432,45.9869,1.399007160971696,59.53473333333333,0,0.0,0,77.0,0,3.8,15.0,1,1,1,1,1,1,0,1
384,21.1,0.17683800000000002,49.3269,0.694349742359301,76.26386666666666,0,0.36,0,85.0,1,3.8,13.0,1,1,1,1,1,1,1,0
404,24.8261,1.7137900000000001,62.2058,-0.4240070619333462,90.75186666666669,0,0.0,0,73.0,0,9.62,21.0,1,1,1,1,1,1,0,1
132,22.2767,2.28783,48.8558,-0.4910425931648721,66.4606,0,0.03,1,86.0,1,7.16,17.9,1,1,1,1,1,1,0,1
212,24.7305,0.322916,52.7599,0.12095862596744987,79.26950000000002,0,0.0,0,87.0,0,8.28,19.9,1,1,1,1,1,1,1,0
18,30.46,1.26667,48.39,0.3354252245787829,66.63250000000001,0,0.0,0,98.0,1,4.7,28.0,0,0,0,0,1,1,0,1
184,23.1874,0.303397,47.4841,-1.1739133584424342,76.2585,0,0.0,0,76.0,0,6.49,16.1,0,0,0,0,1,1,0,1
58,22.8939,0.689389,45.9869,1.6619860910457402,59.98613333333333,0,0.0,0,77.0,0,3.8,15.0,1,1,1,1,1,1,0,1
204,26.3992,5.14979,54.8187,-0.6774854471282621,82.2182,0,0.0,0,88.0,0,10.07,19.9,1,1,1,1,1,1,0,1
238,25.1701,0.34738600000000003,52.3049,0.15774048353569786,72.12243333333333,0,0.0,0,92.0,0,6.71,14.1,0,0,0,0,1,1,0,1
320,23.9,0.15301099999999998,51.1371825,1.399007160971696,77.17303333333331,0,0.0,0,99.0,0,5.14,19.9,1,1,1,1,1,1,1,0
6,26.41,0.269475,40.01,-0.12938927200626102,69.06523333333332,0,0.0,0,98.0,0,2.46,13.0,1,1,1,1,1,1,0,1
86,19.1203,0.317498,55.5876,0.9034320252813308,68.68726666666667,0,0.0,0,58.0,0,8.28,15.0,0,0,0,0,1,1,0,1
166,27.1119,1.36628,58.8187,0.6477224019313664,82.85186666666667,0,0.0,0,85.0,0,5.82,17.0,1,1,1,1,1,1,0,1
290,25.6,1.14465,46.41953,0.08373681470672545,77.3972,0,1.17,0,97.0,1,3.8,21.9,1,1,1,1,1,1,0,1
304,27.1,0.0819875,49.3991,-0.6297738543368996,70.48226666666666,0,0.0,0,96.0,0,8.28,21.0,1,1,1,1,1,1,1,0
182,23.1874,0.303397,47.4841,-0.9022208308066514,76.59026666666666,0,0.0,0,76.0,0,6.49,16.1,0,0,0,0,1,1,0,1
8,26.41,0.269475,40.01,-0.27313675764105705,69.21526666666666,0,0.0,0,98.0,0,2.46,13.0,1,1,1,1,1,1,0,1
124,26.0687,0.478149,62.1223,-0.3154827110295114,83.28986666666667,0,0.89,0,77.0,1,10.74,40.0,1,1,1,1,1,1,0,1
120,22.378,1.34243,62.233000000000004,-0.6535342200034143,67.0638,0,0.0,0,75.0,0,8.05,17.9,1,1,1,1,1,1,0,1
