,so2
525173,0.7
2356,0.3
247347,1.3
37667,5.0
392520,5.2
404404,1.8
29806,4.0
18277,1.0
161831,9.4
385925,0.1
531877,0.2
532157,0.3
207012,0.5
385089,0.6
204948,3.2
239188,0.1
348355,2.1
74852,10.1
9654,4.0
244669,1.8
48676,1.7
473496,0.5
272,2.0
477566,0.8
72362,14.2
2915,2.4
108800,1.8
489977,0.1
58,1.0
153663,4.6
603,0.4
71,4.0
214400,1.9
4123,0.2
296485,0.3
229522,2.2
2780,4.9
60681,3.5
413712,0.3
3816,2.3
87393,2.8
93781,7.2
461007,0.3
308357,4.0
360009,4.4
204048,1.4
62503,19.7
256530,1.2
533517,0.4
233780,2.7
528553,1.5
425911,0.2
6753,8.0
287995,1.3
109168,3.5
430086,0.3
507278,2.3
431020,0.2
3827,1.2
13829,5.0
230054,1.3
3732,0.6
480859,0.3
510653,0.7
80166,32.1
496327,0.1
367406,0.7
198741,2.7
104866,2.2
83180,1.5
188492,1.0
268360,0.9
229392,5.1
470132,1.3
91159,0.4
88644,3.8
186103,4.4
40678,21.0
76423,3.4
528565,10.2
7913,3.0
168810,1.6
47687,8.0
1755,3.1
525865,2.6
82388,17.9
136429,2.1
460657,3.3
386948,0.6
116318,1.7
464396,12.7
504561,0.4
231445,1.8
32317,3.0
404900,0.8
199775,1.4
237794,0.5
165819,3.6
113584,1.4
1101,3.4
134199,3.2
19857,1.0
239468,1.0
2804,1.8
201433,10.6
2954,0.5
483652,0.8
225798,7.6
49,11.0
452366,1.0
288040,1.5
528941,3.7
106,23.0
56466,4.9
3805,1.2
110573,1.0
20766,7.0
529569,0.5
13441,2.0
444546,0.6
174470,1.9
209858,1.0
16455,2.0
237535,0.4
72742,4.3
104458,17.7
496209,0.3
110896,22.1
1958,1.3
234181,1.3
499966,2.6
95490,7.0
118784,0.6
117733,13.1
272263,1.5
43768,1.0
509471,0.1
533313,0.3
267292,6.1
134617,0.9
226830,1.7
527205,0.7
526553,0.4
3166,1.2
9529,3.0
38629,37.9
2425,5.2
273,5.0
196949,1.8
251200,0.9
69559,7.2
507363,0.6
2454,2.2
209562,1.2
293502,2.8
328626,1.3
39118,10.0
180222,9.6
526165,0.2
42952,2.0
306475,1.0
75038,9.7
1778,2.9
320064,0.1
95062,0.6
342860,1.0
533149,0.3
32645,26.0
442160,2.5
509585,0.1
222409,3.6
803,8.2
524,15.7
32616,17.0
275397,0.5
400573,0.7
71756,14.9
521949,0.8
89052,3.6
208317,1.1
461125,0.1
349386,1.5
173436,0.7
4145,1.1
529301,1.4
315317,5.6
302176,7.4
166318,7.8
92101,1.3
210863,0.6
285172,0.5
51694,2.2
2853,0.7
365157,2.7
164368,1.5
73469,14.9
126391,34.6
232885,1.7
373644,0.3
330537,0.6
286685,1.4
272579,0.7
138327,2.2
372553,3.8
205358,0.6
530693,1.0
712,1.3
465131,0.4
4208,0.2
452561,3.6
207283,24.1
296834,1.5
1562,9.7
492864,4.5
524641,1.0
58701,13.6
182347,1.1
3773,0.4
72536,1.6
434679,0.5
79993,13.0
457553,0.2
123245,0.2
350685,0.7
532505,0.4
742,21.9
26150,1.0
518305,0.2
501201,0.2
444712,0.8
398537,0.1
529389,0.6
519446,6.9
51577,1.0
240978,0.9
199491,13.7
3287,1.3
152633,8.1
131422,0.8
326621,0.3
28489,3.0
411967,7.6
1109,1.9
66601,6.6
1195,2.0
249165,0.3
115483,1.4
76351,16.5
391487,0.5
532845,0.3
162783,3.3
49666,8.0
372148,0.2
4353,1.0
338055,0.7
183876,2.2
216223,0.6
310519,0.9
131252,0.6
299168,1.4
4087,3.9
76786,5.5
204012,1.4
160047,1.1
191423,1.2
3301,2.9
352923,1.6
38815,3.0
511475,3.1
438480,0.1
157583,0.7
107089,4.4
256489,1.2
526741,3.0
76048,8.8
295740,1.6
191123,1.5
172771,2.5
4007,0.5
316031,2.9
523809,1.0
130368,1.7
110961,0.1
321329,0.8
389550,3.7
278861,0.6
271801,1.0
32443,1.0
219247,0.1
646,19.4
348769,15.1
207762,0.3
108259,2.9
65490,3.5
304686,0.1
2623,1.8
524977,5.5
3921,2.8
372484,0.7
16859,2.0
18859,1.0
336452,0.7
96214,6.1
42370,5.0
112830,11.2
1904,1.3
20786,1.0
1069,2.0
134438,0.6
3511,0.6
205463,1.3
460722,2.7
529385,1.3
381248,0.1
397311,0.2
200517,0.2
432997,0.2
389765,0.3
153164,1.6
195296,2.3
66855,0.5
532569,3.8
485095,0.9
293148,0.6
4077,1.6
432166,0.1
389070,0.8
94460,2.1
409619,0.3
189351,0.6
418347,0.1
406,12.0
88431,0.5
497198,1.0
44576,2.0
509418,0.2
521841,3.5
239347,0.3
4023,0.5
225214,0.5
188946,1.5
334605,0.4
42027,7.2
292721,0.3
293397,1.8
7626,2.0
89582,4.0
404140,7.1
483427,0.5
1702,4.5
533849,4.2
80752,0.9
355953,2.0
286665,0.7
471438,0.1
195741,0.1
301172,7.4
460771,0.9
374938,0.8
483570,1.0
342714,1.3
218402,0.3
89941,15.0
352972,0.8
103476,15.0
140436,0.9
531805,0.3
515301,0.2
127518,0.6
438135,1.2
394245,1.7
