"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","480391004","1","0.032","ppm","30","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"01/02/2020","AQS","480391004","1","0.016","ppm","15","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"01/03/2020","AQS","480391004","1","0.028","ppm","26","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"01/04/2020","AQS","480391004","1","0.035","ppm","32","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"01/05/2020","AQS","480391004","1","0.043","ppm","40","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"01/06/2020","AQS","480391004","1","0.04","ppm","37","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"01/07/2020","AQS","480391004","1","0.036","ppm","33","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"01/08/2020","AQS","480391004","1","0.044","ppm","41","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"01/09/2020","AQS","480391004","1","0.039","ppm","36","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"01/10/2020","AQS","480391004","1","0.031","ppm","29","Manvel Croix Park","14","82.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"01/11/2020","AQS","480391004","1","0.023","ppm","21","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"01/12/2020","AQS","480391004","1","0.025","ppm","23","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"01/13/2020","AQS","480391004","1","0.017","ppm","16","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"01/14/2020","AQS","480391004","1","0.017","ppm","16","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"01/15/2020","AQS","480391004","1","0.021","ppm","19","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
