"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/03/2019","AQS","481670004","1","5","ug/m3 SC","5","Texas City Fire Station","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.384444","-94.930833"
"01/09/2019","AQS","481670004","1","9","ug/m3 SC","8","Texas City Fire Station","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.384444","-94.930833"
"01/15/2019","AQS","481670004","1","13","ug/m3 SC","12","Texas City Fire Station","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.384444","-94.930833"
"01/21/2019","AQS","481670004","1","14","ug/m3 SC","13","Texas City Fire Station","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.384444","-94.930833"
"01/27/2019","AQS","481670004","1","12","ug/m3 SC","11","Texas City Fire Station","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.384444","-94.930833"
"02/02/2019","AQS","481670004","1","11","ug/m3 SC","10","Texas City Fire Station","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.384444","-94.930833"
"02/08/2019","AQS","481670004","1","2","ug/m3 SC","2","Texas City Fire Station","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.384444","-94.930833"
"02/14/2019","AQS","481670004","1","28","ug/m3 SC","26","Texas City Fire Station","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.384444","-94.930833"
"02/20/2019","AQS","481670004","1","8","ug/m3 SC","7","Texas City Fire Station","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.384444","-94.930833"
"02/26/2019","AQS","481670004","1","17","ug/m3 SC","16","Texas City Fire Station","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","167","Galveston","29.384444","-94.930833"
