Report: TAMIS002 - Raw Data Report (JMP) for 01/01/2008 - 09/01/2020
User: dr.anne.warren@gmail.com, Run Date: 09/11/2020 12:20:47

"?" represents a missing value.
"SOC" stands for Sampler Occurrence Code.  It distinguishes between different samplers of the same type at a site at the same time. This is a user defined code that once assigned should not be changed.
"AQS Code" is a unique code for the site.  It is a combination of the state FIPS code, county FIPS code and the site EPA code.

For more information about terminology and column definitions visit https://www17.tceq.texas.gov/tamis/index.cfm?fuseaction=report.terms&rt=1802
For questions about AMCVs visit http://www.tceq.texas.gov/toxicology/AirToxics.html/#list

State	Region	County	City	AQS Code	Site Name	Latitude	Longitude	Year	Month	Day	Date	Start Hour	Start Minute	Start Time	Duration	Sampler Type	SOC	Aluminum Pm10 Stp (ug/m3 (25 C)) <82101>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Antimony Pm10 Stp (ug/m3 (25 C)) <82102>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Arsenic Pm10 Stp (ug/m3 (25 C)) <82103>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Barium Pm10 Stp (ug/m3 (25 C)) <82107>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Beryllium Pm10 Stp (ug/m3 (25 C)) <82105>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Cadmium Pm10 Stp (ug/m3 (25 C)) <82110>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Calcium Pm10 Stp (ug/m3 (25 C)) <82111>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Chromium Pm10 Stp (ug/m3 (25 C)) <82112>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Cobalt Pm10 Stp (ug/m3 (25 C)) <82113>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Copper Pm10 Stp (ug/m3 (25 C)) <82114>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Iron Pm10 Stp (ug/m3 (25 C)) <82126>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Lead Pm10 Stp (ug/m3 (25 C)) <82128>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Magnesium Pm10 Stp (ug/m3 (25 C)) <82140>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Manganese Pm10 Stp (ug/m3 (25 C)) <82132>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Molybdenum Pm10 Stp (ug/m3 (25 C)) <82134>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Nickel Pm10 Stp (ug/m3 (25 C)) <82136>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Pm10 - Lc (ug/m3 (LC)) <85101>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Pm10 Total 0-10um Stp (ug/m3 (25 C)) <81102>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Potassium Pm10 Stp (ug/m3 (25 C)) <82180>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Selenium Pm10 Stp (ug/m3 (25 C)) <82154>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Silver Pm10 Stp (ug/m3 (25 C)) <82166>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Sodium Pm10 Stp (ug/m3 (25 C)) <82184>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Thallium Pm10 Stp (ug/m3 (25 C)) <82173>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Tin Pm10 Stp (ug/m3 (25 C)) <82160>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Vanadium Pm10 Stp (ug/m3 (25 C)) <82164>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals	Zinc Pm10 Stp (ug/m3 (25 C)) <82167>	TCEQ MRL	TCEQ MDL	AQS MDL	Quals
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	01	01	20080101	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					9			4		?					?					?					?					?					?					?					?				
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	01	01	20080101	00	00	00:00	24 HOURS	"PM10 (Speciation)"	0001	.052			.014		.0025			.017		.008			.022		.052			.02		.0005			.0006		.0005			.001		.52			.276		.005			.002		.001			.004		.018			.001		.426			.01		.003			.01		.052			.028		.006			.001		.001			.002		.002			.004		?					?					.296			.205		.005			.017		.001			.01		1.035			1.769		.004			.028		.012			.011		.001			.001		.016			.0133	
TEXAS	HOUSTON	HARRIS	Houston	482010066	Houston Westhollow	29.723333	-95.635833	2008	01	01	20080101	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					7			4		?					?					?					?					?					?					?					?				
TEXAS	HOUSTON	HARRIS	Houston	482010047	Lang	29.834167	-95.489167	2008	01	01	20080101	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					9			4		?					?					?					?					?					?					?					?				
TEXAS	HOUSTON	HARRIS	Houston	482010024	Houston Aldine	29.9010364	-95.3261373	2008	01	01	20080101	00	00	00:00	24 HOURS	"PM10 (FRM)"	0002	?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					19			4		?					?					?					?					?					?					?					?				
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	01	04	20080104	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					50			4		?					?					?					?					?					?					?					?				
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	01	04	20080104	00	00	00:00	24 HOURS	"PM10 (Speciation)"	0001	.256			.014		.0025			.017		.008			.022		.196			.02		.0005			.0006		.0005			.001		6.16			.276		.005			.002		.001			.004		.03			.001		.982			.01		.005			.01		.393			.028		.06			.001		.001			.002		.007			.004		?					?					.21			.205		.005			.017		.0005			.01		2.14			1.769		.004			.028		.0025			.011		.019			.001		.038			.0133	
TEXAS	HOUSTON	HARRIS	Houston	482010062	Houston Monroe	29.625556	-95.267222	2008	01	04	20080104	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					22			4		?					?					?					?					?					?					?					?				
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	01	07	20080107	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					77			4		?					?					?					?					?					?					?					?				
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	01	07	20080107	00	00	00:00	24 HOURS	"PM10 (Speciation)"	0001	.375			.014		.0025			.017		.008			.022		.0535			.02		.0005			.0006		.0005			.001		12.7			.276		.0055			.002		.001			.004		.053			.001		1.45			.01		.007			.01		.725			.028		.038			.001		.001			.002		.002			.004		?					?					.229			.205		.0055			.017		.0005			.01		3.92			1.769		.004			.028		.0025			.011		.004			.001		.045			.0133	
TEXAS	HOUSTON	HARRIS	Houston	482010066	Houston Westhollow	29.723333	-95.635833	2008	01	07	20080107	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					?					22			4		?					?					?					?					?					?					?					?				
