"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT10","WT10_ATTRIBUTES"
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2008-01-01","21.03",",,W"," 0311",",,W","0.00",",,W,2400","0.0",",,Z","0.0",",,Z","54","H,,S","57",",,W","46",",,W","   10",",,W","   10",",,W","32.0",",,W","40.9",",,W",,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2008-01-02","18.34",",,W"," 0319",",,W","0.00",",,W,2400","0.0",",,Z","0.0",",,Z","45","H,,S","50",",,W","40",",,W","   10",",,W","  360",",,W","29.1",",,W","36.9",",,W",,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2008-01-03","10.74",",,W"," 1239",",,W","0.00",",,W,2400","0.0",",,Z","0.0",",,Z","43","H,,S","51",",,W","38",",,W","   90",",,W","   90",",,W","16.1",",,W","23.0",",,W",,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2008-01-04","14.54",",,W"," 0804",",,W","0.00",",,W,2400","0.0",",,Z","0.0",",,Z","55","H,,S","65",",,W","51",",,W","  130",",,W","   90",",,W","23.0",",,W","30.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2008-01-05","10.51",",,W"," 1303",",,W","0.00","T,,W,2400","0.0",",,Z","0.0",",,Z","63","H,,S","71",",,W","59",",,W","  220",",,W","  220",",,W","21.0",",,W","25.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2008-01-06","13.20",",,W"," 1919",",,W","0.00",",,W,2400","0.0",",,Z","0.0",",,Z","65","H,,S","73",",,W","61",",,W","  160",",,W","  140",",,W","18.1",",,W","23.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2008-01-07","14.54",",,W"," 1445",",,W","0.00",",,W,2400","0.0",",,Z","0.0",",,Z","67","H,,S","72",",,W","64",",,W","  150",",,W","  150",",,W","19.9",",,W","25.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2008-01-08","10.96",",,W"," 1659",",,W","0.67",",,W,2400","0.0",",,Z","0.0",",,Z","67","H,,S","72",",,W","59",",,W","  330",",,W","  360",",,W","23.0",",,W","25.9",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W",,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2008-01-09","10.51",",,W"," 0056",",,W","0.00","T,,W,2400","0.0",",,Z","0.0",",,Z","58","H,,S","63",",,W","53",",,W","   10",",,W","   10",",,W","23.0",",,W","29.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2008-01-10","11.41",",,W"," 2204",",,W","0.04",",,W,2400","0.0",",,Z","0.0",",,Z","65","H,,S","72",",,W","57",",,W","  350",",,W","  350",",,W","23.9",",,W","30.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2008-01-11","7.83",",,W"," 2355",",,W","0.00",",,W,2400","0.0",",,Z","0.0",",,Z","57","H,,S","60",",,W","50",",,W","   10",",,W","  360",",,W","18.1",",,W","23.0",",,W",,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2008-01-12","8.50",",,W"," 2204",",,W","0.00","T,,W,2400","0.0",",,Z","0.0",",,Z","58","H,,S","67",",,W","52",",,W","  360",",,W","  350",",,W","23.0",",,W","29.1",",,W",,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2008-01-13","14.09",",,W"," 0436",",,W","0.00",",,W,2400","0.0",",,Z","0.0",",,Z","56","H,,S","63",",,W","49",",,W","  360",",,W","  350",",,W","25.9",",,W","32.0",",,W",,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2008-01-14","6.71",",,W"," 1006",",,W","0.00",",,W,2400","0.0",",,Z","0.0",",,Z","53","H,,S","61",",,W","46",",,W","   50",",,W","   50",",,W","19.9",",,W","23.9",",,W",,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2008-01-15","7.61",",,W"," 2353",",,W","0.68",",,W,2400","0.0",",,Z","0.0",",,Z","55","H,,S","60",",,W","50",",,W","   80",",,W","   80",",,W","23.0",",,W","30.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2008-01-16","12.08",",,W"," 0333",",,W","2.12",",,W,2400","0.0",",,Z","0.0",",,Z","53","H,,S","59",",,W","49",",,W","   30",",,W","   30",",,W","25.9",",,W","32.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2008-01-17","10.74",",,W"," 1208",",,W","0.00",",,W,2400","0.0",",,Z","0.0",",,Z","53","H,,S","54",",,W","50",",,W","   20",",,W","   20",",,W","18.1",",,W","23.0",",,W",,,,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2008-01-18","18.57",",,W"," 2353",",,W","0.49",",,W,2400","0.0",",,Z","0.0",",,Z","49","H,,S","50",",,W","43",",,W","   10",",,W","   30",",,W","31.1",",,W","38.9",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2008-01-19","19.01",",,W"," 0153",",,W","1.27",",,W,2400","0.0",",,Z","0.0",",,Z","46","H,,S","52",",,W","42",",,W","   40",",,W","   40",",,W","35.1",",,W","40.9",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2008-01-20","13.87",",,W"," 2345",",,W","0.00",",,W,2400","0.0",",,Z","0.0",",,Z","47","H,,S","53",",,W","40",",,W","  110",",,W","  120",",,W","23.9",",,W","30.0",",,W",,,,,,,,,,,,,,,,
