"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-01","17.90",",,W",,,"4.01",",,W,2400","0.0",",,Z","0.0",",,W","60","H,,S","69",",,W","48",",,W","  350",",,W","  180",",,W","28.0",",,W","33.1",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-02","16.55",",,W",,,"0.24",",,W,2400","0.0",",,Z","0.0",",,W","46","H,,S","48",",,W","42",",,W","  350",",,W","  350",",,W","23.9",",,W","30.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-03","16.11",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","44","H,,S","51",",,W","41",",,W","   20",",,W","   20",",,W","23.0",",,W","28.0",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-04","14.32",",,W",,,"0.04",",,W,2400","0.0",",,Z","0.0",",,W","47","H,,S","48",",,W","45",",,W","   20",",,W","   20",",,W","19.9",",,W","23.9",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-05","14.32",",,W",,,"0.51",",,W,2400","0.0",",,Z","0.0",",,W","46","H,,S","47",",,W","45",",,W","  350",",,W","  360",",,W","23.0",",,W","25.9",",,W","    1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-06","14.32",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","47","H,,S","54",",,W","43",",,W","  360",",,W","   10",",,W","23.0",",,W","28.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-07","9.62",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","49","H,,S","54",",,W","43",",,W","   70",",,W","   60",",,W","15.0",",,W","19.9",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-08","13.42",",,W",,,"0.34",",,W,2400","0.0",",,W","0.0",",,W","58","H,,S","66",",,W","54",",,W","   70",",,W","  100",",,W","23.9",",,W","29.1",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-09","15.66",",,W",,,"1.58",",,W,2400","0.0",",,W","0.0",",,W","63","H,,S","66",",,W","61",",,W","  110",",,W","  110",",,W","32.0",",,W","40.9",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-10","6.04",",,W",,,"0.08",",,W,2400","0.0",",,W","0.0",",,W","62","H,,S","65",",,W","57",",,W","  160",",,W","  160",",,W","13.0",",,W","15.0",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-11","7.83",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","60","H,,S","68",",,W","51",",,W","  100",",,W","  100",",,W","16.1",",,W","21.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-12","12.75",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","67","H,,S","73",",,W","66",",,W","  140",",,W","  140",",,W","23.0",",,W","29.1",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-13","19.69",",,W",,,"0.14",",,W,2400","0.0",",,Z","0.0",",,W","59","H,,S","73",",,W","48",",,W","  330",",,W","  340",",,W","30.0",",,W","36.9",",,W","    1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-14","18.12",",,W",,,"0.03",",,W,2400","0.0",",,Z","0.0",",,W","48","H,,S","49",",,W","45",",,W","   10",",,W","   10",",,W","28.0",",,W","33.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-15","16.33",",,W",,,"0.07",",,W,2400","0.0",",,Z","0.0",",,W","44","H,,S","46",",,W","40",",,W","  340",",,W","  340",",,W","25.1",",,W","31.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-16","14.09",",,W",,,"0.00",",,W,2400","0.0",",,Z","0.0",",,W","44","H,,S","55",",,W","40",",,W","  340",",,W","  340",",,W","28.0",",,W","33.1",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-17","4.03",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","47","H,,S","62",",,W","36",",,W","   10",",,W","  360",",,W","13.0",",,W","15.0",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-18","6.71",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","51","H,,S","57",",,W","43",",,W","   80",",,W","   70",",,W","13.0",",,W","16.1",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-19","7.38",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","54","H,,S","62",",,W","48",",,W","  130",",,W","  140",",,W","14.1",",,W","17.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-20","6.26",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","58","H,,S","66",",,W","53",",,W","  120",",,W","  120",",,W","13.0",",,W","16.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-21","3.36",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","58","H,,S","69",",,W","51",",,W","  110",",,W","  110",",,W","8.9",",,W","10.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-22","6.04",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","57","H,,S","63",",,W","52",",,W","  100",",,W","  100",",,W","12.1",",,W","13.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-23","9.62",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","62","H,,S","71",",,W","58",",,W","  170",",,W","  180",",,W","15.0",",,W","17.0",",,W",,,,,,,,,,,,,,
"USW00012923","GALVESTON SCHOLES FIELD, TX US","29.2733","-94.8592","1.5","2013-01-24","10.29",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","66","H,,S","73",",,W","61",",,W","  180",",,W","  180",",,W","17.0",",,W","19.9",",,W","    1",",,W",,,,,,,,,,,,
