"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-01","15.21",",,W"," 1457",",,X"," 1757",",,W","0.00",",,0,2400",,,,,,,"58",",,0","44",",,0","  350",",,X","  360",",,X","25.1",",,X","31.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-02","12.08",",,W"," 0922",",,X"," 0953",",,W","0.00",",,0,2400",,,,,,,"50",",,0","34",",,0","   10",",,X","   10",",,X","23.9",",,X","28.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-03","7.38",",,W"," 1542",",,X"," 1513",",,W","0.00",",,0,2400",,,,,,,"47",",,0","32",",,0","  120",",,X","  110",",,X","15.0",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-04","9.17",",,W"," 1132",",,X"," 1242",",,W","0.00","T,,0,2400",,,,,,,"66",",,0","38",",,0","  110",",,X","  130",",,X","17.9",",,X","23.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-05","6.93",",,W"," 1315",",,X"," 1314",",,W","0.06",",,0,2400",,,,,,,"76",",,0","57",",,0","  210",",,X","  210",",,X","21.0",",,X","25.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-06","10.29",",,W"," 1510",",,X"," 1330",",,W","0.00",",,0,2400",,,,,,,"79",",,0","63",",,0","  160",",,X","  180",",,X","19.9",",,X","30.0",",,X","    1",",,0","    1",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-07","12.97",",,W"," 1307",",,X"," 1306",",,W","0.00","T,,0,2400",,,,,,,"79",",,0","69",",,0","  170",",,X","  170",",,X","25.1",",,X","33.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-08","11.63",",,W"," 1514",",,X"," 1514",",,W","0.05",",,0,2400",,,,,,,"77",",,0","58",",,0","  340",",,X","  330",",,X","25.9",",,X","31.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-09","7.16",",,W"," 0022",",,X"," 0021",",,W","0.00",",,0,2400",,,,,,,"68",",,0","49",",,0","   10",",,X","  360",",,X","21.0",",,X","25.1",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2008-01-10","9.17",",,W"," 1631",",,X"," 1500",",,W","0.01",",,0,2400",,,,,,,"73",",,0","52",",,0","  310",",,X","  330",",,X","19.9",",,X","25.1",",,X","    1",",,0","    1",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,
