"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-01","12.75",",,W"," 1332",",,X"," 1537",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"57",",,0","39",",,0","  350",",,X","   10",",,X","0.0",",,0","23.9",",,X","30.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-02","9.40",",,W"," 1425",",,X"," 1105",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"50",",,0","31",",,0","   10",",,X","  350",",,X","0.0",",,0","21.0",",,X","25.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-03","8.05",",,W"," 1636",",,X"," 1605",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"48",",,0","27",",,0","  150",",,X","  140",",,X","0.0",",,0","16.1",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-04","12.30",",,W"," 1417",",,X"," 1416",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"64",",,0","33",",,0","  140",",,X","  140",",,X","0.0",",,0","23.9",",,X","28.0",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-05","7.61",",,W"," 1343",",,X"," 1530",",,W","0.03",",,0,2400","0.0",",,0","0.0",",,0",,,"75",",,0","55",",,0","  210",",,X","  200",",,X","0.0",",,0","17.0",",,X","23.0",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-06","11.41",",,W"," 1455",",,X"," 1455",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"79",",,0","65",",,0","  160",",,X","  170",",,X","0.0",",,0","21.9",",,X","25.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-07","15.21",",,W"," 1405",",,X"," 1358",",,W","0.00","T,,0,2400","0.0",",,0","0.0",",,0",,,"79",",,0","69",",,0","  150",",,X","  160",",,X","0.0",",,0","25.9",",,X","33.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-08","11.63",",,W"," 1432",",,X"," 1426",",,W","0.00","T,,0,2400","0.0",",,0","0.0",",,0",,,"77",",,0","54",",,0","  320",",,X","  330",",,X","0.0",",,0","25.9",",,X","32.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-09","6.93",",,W"," 0302",",,X"," 0300",",,W","0.00","T,,0,2400","0.0",",,0","0.0",",,0",,,"68",",,0","43",",,0","  360",",,X","  360",",,X","0.0",",,0","17.0",",,X","21.0",",,X","    1",",,0","    1",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2008-01-10","8.50",",,W"," 1457",",,X"," 1423",",,W","0.01",",,0,2400","0.0",",,0","0.0",",,0",,,"72",",,0","46",",,0","  300",",,X","  320",",,X","0.0",",,0","21.0",",,X","25.9",",,X","    1",",,0","    1",",,X",,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,
