LinkID,RecID,q1c_relation,q1d_date,State,q2d_date,q2e_houseID,q2e_visitNo,q2e_tblRecord,q1_pumpGas,q2_spill,q3_sit,q4_open,q5_garage,q6_make,q6_model,q6_year,q7_clean,q8_start,q9_grill,q10_tobacco,q11_perfume,q12_airfreshner,q13_travel,q13_totalmins,q14_indoors,q14_totalmins,q15_vehicle,q15_totalmins,q16_swimming,q16_totalmins,q17_cleaning,q17_totalmins,q18_workshop,q18_totalmins,q19_windows,q19_totalmins,q20_bath,q20_totalmins,q21_shower,q21_totalmins,q22_shower,q22_totalmins,q23_markers,q23_totalmins,q24_incense,q24_totalmins,q25_centralair,q25_temperature,q25_type,q25_totalmins,q26_windowAC,q26_type,q26_totalmins,q26_rooms,q27_atticfan,q27_totalmins,q28_evapcooler,q28_totalmins,q29_fan,q29_totalmins,q30_windowfan,q30_totalmins,q31_exhaustfan,q31_totalmins,q32_woodstove,q32_totalmins,q32b_fumes,q32b_totalmins,q33_oilfurnace,q33_totalmins,q33b_fumes,q33b_totalmins,q34_keroseneheater,q34_totalmins,q34b_fumes,q34b_totalmins,q35_unventedgas,q35_totalmins,q35b_fumes,q35b_totalmins,q36_fireplace,q36_totalmins,q36b_fumes,q36b_totalmins,q37_oven,q37_totalmins,q38_centralheat,q38_totalmins,q39_elecprecip,q39_totalmins,q40_humidifier,q40_totalmins,q41_otherair,q41a_HEPA,q41a_totalmins,q41b_odorreducer,q41b_totalmins,q41c_other,q41c_desc,q41c_totalmins,q42_dishwasher,q42_totalmins,q43_clotheswasher,q43_totalmins,q44_clothesdryer,q44_totalmins,q45_drycleaning,q45_totalmins,q46_wax,q46_totalmins,q47_polishremover,q47_totalmins,q48_paints,q48b_you,q48b_totalmins,q48c_other,q48c_totalmins,q49_glue,q49b_you,q49b_totalmins,q49c_other,q49c_totalmins,q50_gasmower,q50b_you,q50b_totalmins,q50c_other,q50c_totalmins,q51_chainsaw,q51b_you,q51b_totalmins,q51c_other,q51c_totalmins,q52_sander,q52b_you,q52b_totalmins,q52c_other,q52c_totalmins,q53_pesticide,q53b_you,q53b_totalmins,q53c_other,q53c_totalmins,q54_vacuuming,q54b_you,q54b_totalmins,q54c_other,q54c_totalmins,q55_sweeping,q55b_you,q55b_totalmins,q55c_other,q55c_totalmins,q56_dusting,q56b_you,q56b_totalmins,q56c_other,q56c_totalmins,q57_cleaning,q57_list,q57b_you,q57b_totalmins,q57c_other,q57c_totalmins,q58_gardening,q58b_you,q58b_totalmins,q58c_other,q58c_totalmins,q59_woodworking,q59b_you,q59b_totalmins,q59c_other,q59c_totalmins,q60_welding,q60b_you,q60b_totalmins,q60c_other,q60c_totalmins,q61_cookinginside,q61b_you,q61b_totalmins,q61c_other,q61c_totalmins,q61d_exhaustfan,q61d_totalmins,q62_cookingoutside,q62b_you,q62b_totalmins,q62c_other,q62c_totalmins,q62_distance,q63_parkvehicle,q63_totalmins,q63b_detached,q63b_totalmins,q63c_carport,q63c_totalmins,q64_startvehicle,q64_totalmins,q64b_detached,q64b_totalmins,q64c_carport,q64c_totalmins,q65_dieselparked,q66_neardiesel
CA032130,51,NA,0000-00-00,CA,0000-00-00,CA042,1,51,N,N,N,N,N,NA,NA,0,N,N,N,N,N,N,Y,75,N,0,N,0,N,0,N,0,Y,120,Y,2880,N,0,Y,15,N,20,N,0,N,0,Y,62,C,960,N,N,0,NA,Y,360,N,0,N,0,N,0,Y,90,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,45,Y,240,N,0,Y,Y,2880,N,0,N,NA,0,Y,40,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,NA,N,0,N,0,Y,Y,15,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,20,N,0,Y,20,N,N,0,N,0,0,Y,0,N,0,N,0,Y,0,N,0,N,0,N,N
CA033130,53,NA,0000-00-00,CA,0000-00-00,CA043,1,53,N,N,N,N,N,GMC,"SONOMA TRUCK",2000,N,N,N,N,Y,N,Y,124,N,0,N,0,N,0,N,0,N,0,Y,300,N,0,Y,20,Y,45,Y,5,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,Y,30,Y,30,N,0,N,0,N,0,N,0,Y,Y,5,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,NA,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,Y
CA034130,54,NA,0000-00-00,CA,0000-00-00,CA044,1,54,N,N,N,N,N,CHEVROLET,"ASTRO VAN",1997,N,N,N,N,Y,Y,N,0,N,0,N,0,N,0,Y,40,N,0,Y,90,Y,30,Y,15,Y,60,N,0,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,15,N,0,Y,Y,5,N,0,Y,Y,2,N,0,N,NA,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,45,N,0,Y,10,N,N,0,N,0,0,N,0,N,0,Y,10,N,0,N,0,Y,10,N,N
CA035130,55,NA,0000-00-00,CA,0000-00-00,CA045,1,55,N,N,N,N,N,HONDA,CIVIC,1997,N,N,N,N,Y,N,Y,85,N,0,N,0,N,0,Y,10,N,0,Y,120,N,0,Y,20,Y,105,Y,30,Y,5,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,120,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,Y,90,Y,90,N,0,N,0,N,0,Y,Y,1,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,Y,10,N,NA,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,20,N,0,N,0,N,N,0,N,0,0,N,0,N,0,Y,4,N,0,N,0,Y,0,N,N
CA036130,56,NA,0000-00-00,CA,0000-00-00,CA046,1,56,N,N,N,N,N,NA,NA,0,N,N,Y,N,Y,N,Y,0,N,0,N,0,N,0,Y,5,N,0,Y,45,N,0,Y,60,Y,30,N,0,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,20,N,0,N,N,0,N,0,N,N,0,N,0,Y,WINDEX,Y,5,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,0,Y,N,0,Y,120,5,N,0,N,0,N,0,N,0,Y,0,N,0,N,Y
CA037130,57,BROTHER,0000-00-00,CA,0000-00-00,CA047,1,57,N,N,Y,N,N,NA,NA,0,N,N,N,N,Y,Y,Y,216,Y,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,20,Y,60,Y,0,N,0,Y,66,D,2880,N,N,0,NA,N,0,N,0,Y,2880,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,Y,60,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,15,N,N,0,N,0,N,N,0,N,0,Y,LYSOL,N,0,Y,1,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,0,N,0,N,0,Y,2880,N,0,N,0,Y,0,N,N
CA038130,59,NA,0000-00-00,CA,0000-00-00,CA048,1,59,N,N,N,N,N,NA,NA,0,N,N,Y,N,Y,N,Y,130,N,0,N,0,N,0,N,0,N,0,Y,600,Y,40,N,0,Y,120,N,0,N,0,Y,76,C,720,N,N,0,NA,N,0,N,0,Y,1200,N,0,Y,150,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,120,N,0,N,0,N,N,0,N,0,N,NA,0,Y,80,Y,80,Y,240,N,0,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,120,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,45,N,0,N,N,0,N,0,N,N,0,N,0,N,NA,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,0,Y,Y,120,N,0,4,Y,2100,N,0,N,0,Y,0,N,0,N,0,N,N
CA039130,58,NA,0000-00-00,CA,0000-00-00,CA049,1,58,N,N,N,N,N,NA,NA,0,N,N,N,N,N,N,Y,71,N,0,N,0,N,0,N,0,N,0,Y,2880,N,0,Y,20,N,0,Y,10,N,0,Y,0,C,180,N,N,0,NA,N,0,N,0,Y,180,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,180,N,0,N,N,0,N,0,N,NA,0,N,0,Y,60,Y,90,N,0,Y,90,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,"DRY MOP SOLUTION",N,0,Y,1200,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N
CA040130,60,NA,0000-00-00,CA,0000-00-00,CA050,1,60,Y,N,N,N,N,NA,NA,0,N,N,N,N,Y,N,Y,226,N,0,N,0,N,0,N,0,N,0,Y,720,N,0,Y,30,Y,150,Y,2,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,N,0,Y,300,Y,60,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,Y,45,N,0,N,0,N,0,N,0,Y,20,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,N,0,Y,30,N,NA,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,N,0,N,N,0,N,0,0,Y,24,N,0,N,0,Y,0,N,0,N,0,N,N
CA041130,61,NA,0000-00-00,CA,0000-00-00,CA051,1,61,Y,N,Y,Y,N,HONDA,"CIVIC WAGON",1988,N,N,N,N,N,N,Y,117,N,0,N,0,Y,30,Y,120,N,0,Y,48,N,0,Y,20,Y,80,Y,120,N,0,N,0,N,0,N,N,0,NA,N,0,N,0,Y,1800,N,0,Y,35,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N,0,N,0,N,NA,0,Y,90,N,0,N,0,N,0,Y,30,Y,10,Y,Y,2,N,0,N,N,0,N,0,Y,N,0,Y,60,N,N,0,N,0,N,N,0,N,0,N,N,0,N,0,Y,Y,30,Y,30,Y,Y,5,Y,10,Y,N,0,Y,10,Y,409,Y,20,Y,100,Y,Y,30,Y,30,N,N,0,N,0,N,N,0,N,0,Y,Y,30,Y,30,Y,35,N,N,0,N,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,N
