LinkID,HomeID,State,Visit,Type,Sample_Type_Code,SampleID,SampleID_Code,Start_Date,Temp,acFormaldehyde,acAcetaldehyde,acAcetone,acAcrolein,acPropionaldehyde,acCrotonaldehyde,acBenzaldehyde,acGlyoxal,acMethylglyoxal,acHexaldehyde,mdFormaldehyde,mdAcetaldehyde,mdAcetone,mdAcrolein,mdPropionaldehyde,mdCrotonaldehyde,mdBenzaldehyde,mdGlyoxal,mdMethylglyoxal,mdHexaldehyde,ccFormaldehyde,ccAcetaldehyde,ccAcetone,ccAcrolein,ccPropionaldehyde,ccCrotonaldehyde,ccBenzaldehyde,ccGlyoxal,ccMethylglyoxal,ccHexaldehyde,acButyraldehyde,acIsopentanal,acPentanal,aco_Toluladehyde,acm_p_Toluladehyde,acm_Toluladehyde,acp_Toluladehyde,acDimethylglyoxal,mdButyraldehyde,mdIsopentanal,mdPentanal,mdo_Toluladehyde,mdm_p_Toluladehyde,mdm_Toluladehyde,mdp_Toluladehyde,mdDimethylglyoxal,ccButyraldehyde,ccIsopentanal,ccPentanal,cco_Toluladehyde,ccm_p_Toluladehyde,ccm_Toluladehyde,ccp_Toluladehyde,ccDimethylglyoxal,acFormaldehyde_flag,acAcetaldehyde_flag,acAcetone_flag,acAcrolein_flag,acPropionaldehyde_flag,acCrotonaldehyde_flag,acBenzaldehyde_flag,acGlyoxal_flag,acMethylglyoxal_flag,acHexaldehyde_flag
CA001110,CA011,CA,1,INDOOR,1,50465,1,"1999-07-20 00:00:00",26.63,37.176,19.5597,1.2782,NULL,1.7578,NULL,1.917,0.7952,NULL,NULL,0.603224,0.504622,1.28766,NULL,0.429333,NULL,0.738635,0.354288,0.516466,NULL,37.176,19.5597,0.643829,NULL,1.7578,NULL,1.917,0.7952,0.258233,NULL,1.32753,0.808687,2.10106,-0.0740017,-0.0543365,NULL,NULL,NULL,0.510204,0.588827,0.46394,0.457965,0.452017,NULL,NULL,0.370767,1.32753,0.808687,2.10106,0.228983,0.226009,NULL,NULL,0.185384,,,,NA,,NA,,,NA,NA
CA001120,CA011,CA,1,OUTDOOR,2,50460,1,"1999-07-20 00:00:00",24.22,13.1878,6.1104,1.2591,NULL,1.0194,NULL,-0.443,0.3797,NULL,NULL,0.581754,0.486662,1.24183,NULL,0.414052,NULL,0.712345,0.341678,0.498084,NULL,13.1878,6.1104,1.2591,NULL,1.0194,NULL,0.356173,0.3797,0.249042,NULL,0.822716,-0.0826731,0.319796,-0.0713678,-0.0524026,NULL,NULL,NULL,0.474692,0.547842,0.431648,0.426089,0.420555,NULL,NULL,0.34496,0.822716,0.273921,0.215824,0.213045,0.210278,NULL,NULL,0.17248,,,,NA,,NA,ND,,NA,NA
CA001130,CA011,CA,1,"PERSONAL ADULT",3,50461,1,"1999-07-20 00:00:00",NULL,-0.4032,0.1899,-0.0185,NULL,-0.1518,NULL,-1.226,-0.7013,NULL,NULL,1.60983,1.34669,3.43638,NULL,1.14576,NULL,1.9712,0.945491,1.3783,NULL,0.804913,0.673344,1.71819,NULL,0.572881,NULL,0.985599,0.472745,0.689148,NULL,-0.202884,-0.228773,-0.791362,-0.197489,-0.145008,NULL,NULL,NULL,0.486619,0.561607,0.442493,0.436795,0.431122,NULL,NULL,0.353628,0.24331,0.280803,0.221247,0.218398,0.215561,NULL,NULL,0.176814,ND,<DL,ND,NA,ND,NA,ND,ND,NA,NA
CA001210,CA211,CA,2,INDOOR,1,50740,1,"1999-12-07 00:00:00",25.86,30.9098,2.0988,1.3612,NULL,0.3168,NULL,1.1593,0.9203,2.2063,NULL,0.660125,0.552223,1.40912,NULL,0.469831,NULL,0.808309,0.387708,0.565184,NULL,30.9098,2.0988,0.70456,NULL,0.234915,NULL,1.1593,0.9203,2.2063,NULL,0.926063,0.873798,1.16002,0.390355,0.35345,NULL,NULL,-0.0578405,0.1283,0.1536,0.1597,0.261,0.1353,NULL,NULL,0.2296,0.926063,0.873798,1.16002,0.390355,0.35345,NULL,NULL,0.1148,,,,NA,,NA,,,,NA
CA001230,CA211,CA,2,"PERSONAL ADULT",3,50729,1,"1999-12-07 00:00:00",NULL,18.6626,3.4684,0.7678,NULL,0.7073,NULL,0.9572,1.1091,1.8885,NULL,1.16967,0.978477,2.49681,NULL,0.832488,NULL,1.43223,0.686975,1.00144,NULL,18.6626,3.4684,1.2484,NULL,0.416244,NULL,0.716117,1.1091,1.8885,NULL,1.42769,1.11393,1.08654,0.729498,0.0594084,NULL,NULL,-0.102487,1.09001,1.25798,0.991174,0.97841,0.965702,NULL,NULL,0.792117,1.42769,0.628992,1.08654,0.489205,0.482851,NULL,NULL,0.396058,,,<DL,NA,<DL,NA,<DL,,,NA
CA002120,CA012,CA,1,OUTDOOR,2,50464,1,"1999-07-30 00:00:00",20.52,14.8039,7.9186,2.4841,NULL,1.3716,NULL,-0.4985,0.5164,NULL,NULL,0.654533,0.547545,1.39718,NULL,0.465851,NULL,0.801462,0.384423,0.560396,NULL,14.8039,7.9186,2.4841,NULL,1.3716,NULL,0.400731,0.5164,0.280198,NULL,0.76001,-0.0930158,0.472438,-0.0802962,-0.0589583,NULL,NULL,NULL,0.493347,0.569371,0.448611,0.442834,0.437082,NULL,NULL,0.358517,0.76001,0.284686,0.472438,0.221417,0.218541,NULL,NULL,0.179258,,,,NA,,NA,ND,,NA,NA
CA002130,CA012,CA,1,"PERSONAL ADULT",3,50463,1,"1999-07-30 00:00:00",NULL,43.0338,23.1586,15.0118,NULL,3.2888,NULL,0.5612,0.2136,NULL,NULL,2.14964,1.79826,4.58867,NULL,1.52996,NULL,2.63218,1.26253,1.84047,NULL,43.0338,23.1586,15.0118,NULL,3.2888,NULL,1.31609,0.631267,0.920235,NULL,1.8588,0.65435,2.9451,-0.263711,3.82316,NULL,NULL,NULL,0.492143,0.567982,0.447516,0.441753,0.436016,NULL,NULL,0.357642,1.8588,0.65435,2.9451,0.220877,3.82316,NULL,NULL,0.178821,,,,NA,,NA,<DL,<DL,NA,NA
CA002210,CA212,CA,2,INDOOR,1,50750,1,"1999-11-23 00:00:00",23.42,24.6211,13.0388,0.5771,NULL,2.6174,NULL,2.3902,0.9459,2.4673,NULL,0.598699,0.500837,1.278,NULL,0.426112,NULL,0.733094,0.351631,0.512593,NULL,24.6211,13.0388,0.639,NULL,2.6174,NULL,2.3902,0.9459,2.4673,NULL,1.81888,1.62366,2.11958,0.477739,0.312928,NULL,NULL,-0.0524584,1.22696,1.41603,1.1157,1.10133,1.08703,NULL,NULL,0.891635,1.81888,1.62366,2.11958,0.550666,0.543514,NULL,NULL,0.445818,,,,NA,,NA,,,,NA
CA002220,CA212,CA,2,OUTDOOR,2,50748,1,"1999-11-23 00:00:00",17.19,3.6307,3.1466,4.235,NULL,0.5871,NULL,1.0876,0.6273,0.9937,NULL,1.85297,1.55009,3.9554,NULL,1.31881,NULL,2.26892,1.08829,1.58647,NULL,3.6307,3.1466,4.235,NULL,0.659407,NULL,1.13446,0.544147,0.793235,NULL,1.57372,1.44171,1.1545,0.95868,0.0941138,NULL,NULL,-0.162358,0.1333,0.1596,0.166,0.2712,0.1406,NULL,NULL,0.2385,1.57372,1.44171,1.1545,0.95868,0.0703,NULL,NULL,0.11925,,,,NA,,NA,,,,NA
CA002230,CA212,CA,2,"PERSONAL ADULT",3,50715,1,"1999-11-23 00:00:00",NULL,22.8685,19.4076,1.0968,NULL,2.2919,NULL,1.7958,0.9287,1.9892,NULL,1.2174,1.0184,2.59869,NULL,0.866458,NULL,1.49068,0.715007,1.04231,NULL,22.8685,19.4076,1.29934,NULL,2.2919,NULL,1.7958,0.9287,1.9892,NULL,2.23984,1.59713,2.25409,0.402812,0.226992,NULL,NULL,-0.106669,0.929714,1.07298,0.845409,0.834522,0.823683,NULL,NULL,0.675626,2.23984,1.59713,2.25409,0.417261,0.411842,NULL,NULL,0.337813,,,<DL,NA,,NA,<DL,<DL,,NA
