LinkID,Start_Date,Temp,acFormaldehyde,acAcetaldehyde,acAcetone,acAcrolein,acPropionaldehyde,acCrotonaldehyde,acBenzaldehyde,acGlyoxal,acMethylglyoxal,acHexaldehyde,acFormaldehyde_flag,acAcetaldehyde_flag,acAcetone_flag,acAcrolein_flag,acPropionaldehyde_flag,acCrotonaldehyde_flag,acBenzaldehyde_flag,acGlyoxal_flag,acMethylglyoxal_flag,acHexaldehyde_flag
CA001110,"1999-07-20 00:00:00",26.63,37.176,19.5597,1.2782,NULL,1.7578,NULL,1.917,0.7952,NULL,NULL,,,,NA,,NA,,,NA,NA
CA001120,"1999-07-20 00:00:00",24.22,13.1878,6.1104,1.2591,NULL,1.0194,NULL,0.12,0.3797,NULL,NULL,,,,NA,,NA,ND,,NA,NA
CA001130,"1999-07-20 00:00:00",NULL,0.875,0.685,2.52,NULL,0.475,NULL,0.94,0.48,NULL,NULL,ND,<DL,ND,NA,ND,NA,ND,ND,NA,NA
CA001210,"1999-12-07 00:00:00",25.86,30.9098,2.0988,1.3612,NULL,0.3168,NULL,1.1593,0.9203,2.2063,NULL,,,,NA,,NA,,,,NA
CA001230,"1999-12-07 00:00:00",NULL,18.6626,3.4684,2.52,NULL,0.475,NULL,0.94,1.1091,1.8885,NULL,,,<DL,NA,<DL,NA,<DL,,,NA
CA002120,"1999-07-30 00:00:00",20.52,14.8039,7.9186,2.4841,NULL,1.3716,NULL,0.12,0.5164,NULL,NULL,,,,NA,,NA,ND,,NA,NA
CA002130,"1999-07-30 00:00:00",NULL,43.0338,23.1586,15.0118,NULL,3.2888,NULL,0.94,0.48,NULL,NULL,,,,NA,,NA,<DL,<DL,NA,NA
CA002210,"1999-11-23 00:00:00",23.42,24.6211,13.0388,0.5771,NULL,2.6174,NULL,2.3902,0.9459,2.4673,NULL,,,,NA,,NA,,,,NA
CA002220,"1999-11-23 00:00:00",17.19,3.6307,3.1466,4.235,NULL,0.5871,NULL,1.0876,0.6273,0.9937,NULL,,,,NA,,NA,,,,NA
CA002230,"1999-11-23 00:00:00",NULL,22.8685,19.4076,2.52,NULL,2.2919,NULL,0.94,0.48,1.9892,NULL,,,<DL,NA,,NA,<DL,<DL,,NA
CA003110,"1999-08-19 00:00:00",23.5,25.9905,5.5603,0.2,NULL,1.0046,NULL,2.3148,0.8932,NULL,NULL,,,<DL,NA,,NA,,,NA,NA
CA003130,"1999-08-19 00:00:00",NULL,31.6445,11.4631,11.733,NULL,1.5276,NULL,0.94,0.48,NULL,NULL,,,,NA,,NA,<DL,<DL,NA,NA
CA003200,"1999-12-03 00:00:00",NULL,13.4508,8.0866,6.69,NULL,1.265,NULL,2.495,1.28,1.44,NULL,,,<DL,NA,<DL,NA,<DL,<DL,<DL,NA
CA003210,"1999-12-03 00:00:00",21.47,18.8524,8.3505,1.2152,NULL,1.7294,NULL,1.4557,0.6287,1.5383,NULL,,,,NA,,NA,,,,NA
CA003230,"1999-12-03 00:00:00",NULL,20.7379,9.8705,2.52,NULL,1.7191,NULL,0.94,0.48,1.553,NULL,,,<DL,NA,,NA,<DL,<DL,,NA
CA004110,"1999-08-28 00:00:00",24.92,36.1186,11.8895,0.8702,NULL,4.5889,NULL,1.6324,0.055,0.11,NULL,,,,NA,,NA,,ND,ND,NA
CA004130,"1999-08-28 00:00:00",NULL,11.8429,6.1284,2.52,NULL,1.2928,NULL,0.94,NULL,NULL,NULL,,,<DL,NA,,NA,<DL,NA,NA,NA
CA004210,"2000-01-13 00:00:00",19.38,33.4701,13.3109,0.9225,NULL,2.3486,NULL,1.8489,0.8561,1.0848,NULL,,,,NA,,NA,,,,NA
CA004230,"2000-01-13 00:00:00",NULL,26.4569,15.1882,2.52,NULL,2.8654,NULL,0.94,1.3651,1.1672,NULL,,,<DL,NA,,NA,<DL,,,NA
CA005110,"1999-09-08 00:00:00",23.56,29.2848,44.5386,6.5694,NULL,3.6864,NULL,3.7661,0.8372,NULL,NULL,,,,NA,,NA,,,NA,NA
CA005120,"1999-09-08 00:00:00",19.84,4.2703,3.9286,2.705,NULL,0.6257,NULL,0.4177,0.399,NULL,NULL,,,,NA,,NA,,,NA,NA
CA005130,"1999-09-08 00:00:00",NULL,14.5994,23.4851,12.9439,NULL,2.1961,NULL,0.94,0.48,NULL,NULL,,,,NA,,NA,<DL,<DL,NA,NA
CA005200,"1999-12-21 00:00:00",NULL,16.1013,5.3579,6.69,NULL,1.265,NULL,2.495,1.28,1.44,NULL,,,<DL,NA,<DL,NA,<DL,<DL,<DL,NA
CA005210,"1999-12-21 00:00:00",23.79,0.9268,0.37,0.2,NULL,0.025,NULL,0.4177,0.174,0.276,NULL,,<DL,<DL,NA,<DL,NA,,,,NA
CA005230,"1999-12-21 00:00:00",NULL,19.0757,13.7507,2.52,NULL,2.0338,NULL,0.94,0.48,2.3271,NULL,,,<DL,NA,,NA,<DL,<DL,,NA
CA006110,"1999-09-16 00:00:00",26.4,31.4086,10.6279,0.9076,NULL,1.6958,NULL,1.5765,1.1011,2.6492,NULL,,,,NA,,NA,,,,NA
CA006120,"1999-09-16 00:00:00",18.98,8.7345,4.4236,1.4265,NULL,0.6708,NULL,0.12,0.7258,0.11,NULL,,,,NA,,NA,<DL,,<DL,NA
CA006130,"1999-09-16 00:00:00",NULL,30.2247,11.2632,2.52,NULL,1.3377,NULL,0.94,1.9499,3.1363,NULL,,,<DL,NA,,NA,<DL,,,NA
CA006210,"2000-01-19 00:00:00",20.81,24.0018,5.628,1.1058,NULL,1.6478,NULL,1.1718,0.7472,1.4351,NULL,,,,NA,,NA,,,,NA
CA006230,"2000-01-19 00:00:00",NULL,27.2797,10.7339,2.52,NULL,2.0443,NULL,0.94,0.48,1.2804,NULL,,,<DL,NA,,NA,<DL,<DL,,NA
CA007100,"1999-09-21 00:00:00",NULL,75.5365,1.815,13.5708,NULL,1.265,NULL,2.495,3.2747,3.0518,NULL,,<DL,,NA,<DL,NA,<DL,,,NA
CA007120,"1999-09-21 00:00:00",18.7,6.8775,3.6011,2.6564,NULL,0.6865,NULL,5.3428,0.7069,0.6612,NULL,,,,NA,,NA,,,,NA
CA007130,"1999-09-21 00:00:00",NULL,13.9771,8.2013,5.3183,NULL,1.1155,NULL,2.2148,0.48,2.7457,NULL,,,,NA,,NA,,<DL,,NA
CA007210,"2000-03-07 00:00:00",19.24,19.2858,7.4493,0.5836,NULL,0.8853,NULL,1.2136,0.4447,1.0268,NULL,,,,NA,,NA,,,,NA
CA007211,"2000-03-07 00:00:00",19.24,17.0501,5.9111,0.5348,NULL,0.9711,NULL,1.1081,0.5063,0.6452,NULL,,,,NA,,NA,,,,NA
CA007220,"2000-03-07 00:00:00",11.44,4.4373,2.8342,2.6845,NULL,0.7163,NULL,2.5921,0.1117,0.2541,NULL,,,,NA,,NA,,,,NA
CA007230,"2000-03-07 00:00:00",NULL,16.7877,10.0235,2.52,NULL,1.1306,NULL,0.94,0.48,0.545,NULL,,,<DL,NA,,NA,<DL,<DL,<DL,NA
CA008120,"1999-09-24 00:00:00",21.18,7.6758,3.992,0.8149,NULL,1.0412,NULL,1.215,2.3725,0.8677,NULL,,,,NA,,NA,,,,NA
CA008130,"1999-09-24 00:00:00",NULL,29.6778,15.5299,12.6174,NULL,2.2616,NULL,1.95,1.4979,1.5517,NULL,,,,NA,,NA,,,,NA
CA009110,"1999-09-30 00:00:00",23.53,30.7166,13.0466,3.2384,NULL,2.2528,NULL,2.137,0.501,0.11,NULL,,,,NA,,NA,,,<DL,NA
CA009120,"1999-09-30 00:00:00",19.23,5.7499,4.7933,3.621,NULL,1.1079,NULL,4.7074,0.6236,0.6353,NULL,,,,NA,,NA,,,,NA
CA010110,"1999-10-07 00:00:00",23.69,23.8208,10.7274,2.1116,NULL,2.2401,NULL,1.3033,1.6066,2.3195,NULL,,,,NA,,NA,,,,NA
CA010120,"1999-10-07 00:00:00",17.18,4.961,4.8489,1.6942,NULL,0.975,NULL,0.12,0.4731,0.649,NULL,,,,NA,,NA,<DL,,,NA
CA010130,"1999-10-07 00:00:00",NULL,25.2332,11.5048,5.1007,NULL,2.1181,NULL,0.94,1.1743,2.1566,NULL,,,,NA,,NA,<DL,,,NA
CA010200,"2000-04-04 00:00:00",NULL,22.4165,1.815,6.69,NULL,1.265,NULL,2.495,1.28,1.44,NULL,,<DL,<DL,NA,<DL,NA,<DL,<DL,<DL,NA
CA010210,"2000-04-04 00:00:00",23.86,15.2968,4.6114,0.4327,NULL,0.9582,NULL,1.0737,1.1759,1.4925,NULL,,,,NA,,NA,,,,NA
CA010220,"2000-04-04 00:00:00",14.27,6.7017,4.5722,2.9301,NULL,1.0986,NULL,5.3984,0.543,0.4271,NULL,,,,NA,,NA,,,,NA
CA010230,"2000-04-04 00:00:00",NULL,16.3436,6.1457,2.52,NULL,1.1749,NULL,0.94,1.5181,1.4214,NULL,,,<DL,NA,,NA,<DL,,,NA
CA011100,"1999-10-09 00:00:00",NULL,28.8064,7.659,6.69,NULL,1.265,NULL,2.495,1.28,1.44,NULL,,,<DL,NA,<DL,NA,<DL,<DL,<DL,NA
CA011110,"1999-10-09 00:00:00",24.81,24.8133,14.5377,1.1091,NULL,1.9953,NULL,1.2474,0.9547,1.5772,NULL,,,,NA,,NA,,,,NA
CA011120,"1999-10-09 00:00:00",21.35,13.624,7.1935,0.9323,NULL,1.1888,NULL,1.0634,1.2195,1.4986,NULL,,,,NA,,NA,,,,NA
CA011130,"1999-10-09 00:00:00",NULL,20.0049,11.3789,5.1291,NULL,1.769,NULL,0.94,1.7608,2.387,NULL,,,,NA,,NA,<DL,,,NA
