LinkID,GRID_CODE,Class
NJ052110,21,"low intensity residential"
NJ069110,21,"low intensity residential"
NJ044110,22,"high intensity residential"
NJ092110,22,"high intensity residential"
NJ002110,22,"high intensity residential"
NJ022110,22,"high intensity residential"
NJ045110,21,"low intensity residential"
NJ076110,22,"high intensity residential"
NJ085110,21,"low intensity residential"
NJ071110,22,"high intensity residential"
NJ093110,21,"low intensity residential"
NJ094110,22,"high intensity residential"
NJ046110,43,"mixed forest"
NJ003110,21,"low intensity residential"
NJ067110,21,"low intensity residential"
NJ095110,21,"low intensity residential"
NJ083110,22,"high intensity residential"
NJ068110,21,"low intensity residential"
NJ029110,21,"low intensity residential"
NJ026110,22,"high intensity residential"
NJ090110,22,"high intensity residential"
NJ037110,22,"high intensity residential"
NJ064110,22,"high intensity residential"
NJ070110,21,"low intensity residential"
NJ025110,21,"low intensity residential"
NJ055110,43,"mixed forest"
NJ038110,22,"high intensity residential"
NJ007110,22,"high intensity residential"
NJ016110,21,"low intensity residential"
NJ017110,22,"high intensity residential"
NJ097110,22,"high intensity residential"
NJ082110,21,"low intensity residential"
NJ048110,22,"high intensity residential"
NJ065110,22,"high intensity residential"
NJ015110,22,"high intensity residential"
NJ049110,22,"high intensity residential"
NJ098110,22,"high intensity residential"
NJ087110,22,"high intensity residential"
NJ074110,22,"high intensity residential"
NJ081110,22,"high intensity residential"
NJ084110,22,"high intensity residential"
NJ036110,21,"low intensity residential"
NJ058110,21,"low intensity residential"
NJ035110,22,"high intensity residential"
NJ099110,22,"high intensity residential"
NJ001110,22,"high intensity residential"
NJ008110,22,"high intensity residential"
NJ019110,23,"commercial, industrial, transportion"
NJ054110,23,"commercial, industrial, transportion"
NJ028110,22,"high intensity residential"
NJ030110,22,"high intensity residential"
NJ060110,21,"low intensity residential"
NJ031110,22,"high intensity residential"
NJ057110,22,"high intensity residential"
NJ014110,22,"high intensity residential"
NJ011110,22,"high intensity residential"
NJ013110,22,"high intensity residential"
NJ020110,22,"high intensity residential"
NJ024110,22,"high intensity residential"
NJ072110,22,"high intensity residential"
NJ079110,22,"high intensity residential"
NJ023110,21,"low intensity residential"
NJ063110,21,"low intensity residential"
NJ061110,22,"high intensity residential"
NJ077110,22,"high intensity residential"
NJ059110,22,"high intensity residential"
NJ078110,22,"high intensity residential"
NJ021110,22,"high intensity residential"
NJ073110,22,"high intensity residential"
NJ062110,22,"high intensity residential"
NJ080110,22,"high intensity residential"
NJ018110,23,"commercial, industrial, transportion"
NJ100110,22,"high intensity residential"
NJ012110,22,"high intensity residential"
NJ056110,21,"low intensity residential"
NJ053110,22,"high intensity residential"
NJ066110,21,"low intensity residential"
NJ075110,21,"low intensity residential"
NJ010110,22,"high intensity residential"
NJ047110,22,"high intensity residential"
NJ051110,22,"high intensity residential"
NJ032110,22,"high intensity residential"
NJ088110,22,"high intensity residential"
NJ089110,22,"high intensity residential"
NJ050110,22,"high intensity residential"
NJ009110,22,"high intensity residential"
NJ004110,22,"high intensity residential"
NJ039110,22,"high intensity residential"
NJ040110,22,"high intensity residential"
NJ043110,22,"high intensity residential"
NJ033110,21,"low intensity residential"
NJ041110,22,"high intensity residential"
NJ096110,21,"low intensity residential"
NJ034110,23,"commercial, industrial, transportion"
NJ042110,22,"high intensity residential"
NJ086110,22,"high intensity residential"
NJ091110,22,"high intensity residential"
NJ005110,23,"commercial, industrial, transportion"
NJ006110,23,"commercial, industrial, transportion"
NJ027110,23,"commercial, industrial, transportion"
TX051110,92,"emergent herbaceous wetlands"
TX051210,92,"emergent herbaceous wetlands"
TX055110,92,"emergent herbaceous wetlands"
TX055210,92,"emergent herbaceous wetlands"
TX034110,81,"pasture, hay"
TX034210,81,"pasture, hay"
TX104110,22,"high intensity residential"
TX104210,22,"high intensity residential"
TX105110,22,"high intensity residential"
TX105210,22,"high intensity residential"
TX060210,22,"high intensity residential"
TX060110,22,"high intensity residential"
TX072110,22,"high intensity residential"
TX072210,22,"high intensity residential"
TX044110,81,"pasture, hay"
TX044210,81,"pasture, hay"
TX045110,81,"pasture, hay"
TX045210,81,"pasture, hay"
TX050110,43,"mixed forest"
TX050210,43,"mixed forest"
TX046110,22,"high intensity residential"
TX046210,22,"high intensity residential"
TX042110,21,"low intensity residential"
TX042210,21,"low intensity residential"
TX092110,21,"low intensity residential"
TX092210,21,"low intensity residential"
TX027110,81,"pasture, hay"
TX027210,81,"pasture, hay"
TX026110,85,"urban, recreational grasses"
