LinkID,HomeID,State,AC,qurt_hr
CA001130,CA011,CA,N,50
CA002130,CA012,CA,N,53
CA003130,CA013,CA,N,48
CA004130,CA014,CA,N,47
CA005130,CA015,CA,N,49
CA006130,CA016,CA,N,53
CA007130,CA017,CA,N,43
CA008130,CA018,CA,N,54
CA009130,CA019,CA,N,54
CA010130,CA020,CA,N,50
CA011130,CA021,CA,N,55
CA012130,CA022,CA,N,49
CA013130,CA023,CA,N,57
CA014130,CA024,CA,N,51
CA015130,CA025,CA,N,50
CA016130,CA026,CA,N,64
CA017130,CA027,CA,N,57
CA018130,CA028,CA,N,51
CA019130,CA029,CA,N,60
CA020130,CA030,CA,N,49
CA021130,CA031,CA,N,55
CA022130,CA032,CA,N,53
CA023130,CA033,CA,N,53
CA024130,CA034,CA,N,53
CA025130,CA035,CA,N,49
CA026130,CA036,CA,N,53
CA027130,CA037,CA,N,53
CA028130,CA038,CA,N,53
CA029130,CA039,CA,N,53
CA030130,CA040,CA,N,49
CA031130,CA041,CA,N,51
CA032130,CA042,CA,N,51
CA033130,CA043,CA,N,49
CA034130,CA044,CA,N,51
CA035130,CA045,CA,N,51
CA036130,CA046,CA,N,53
CA037130,CA047,CA,N,53
CA038130,CA048,CA,N,50
CA039130,CA049,CA,N,52
CA040130,CA050,CA,N,51
CA041130,CA051,CA,N,51
CA042130,CA052,CA,N,51
CA043130,CA053,CA,N,53
CA044130,CA054,CA,N,49
CA045130,CA055,CA,N,49
CA046130,CA056,CA,N,53
CA047130,CA057,CA,N,49
CA048130,CA058,CA,N,49
CA049130,CA059,CA,N,53
CA050130,CA060,CA,N,53
CA051130,CA061,CA,N,51
CA052130,CA062,CA,N,49
CA053130,CA063,CA,N,52
CA055130,CA065,CA,N,88
CA056130,CA066,CA,N,53
CA057130,CA067,CA,N,55
CA058130,CA068,CA,N,49
CA059130,CA069,CA,N,53
CA060130,CA070,CA,N,53
CA061130,CA071,CA,N,55
CA062130,CA072,CA,N,53
CA063130,CA073,CA,N,53
CA065130,CA075,CA,N,69
CA066130,CA076,CA,N,61
CA067130,CA077,CA,N,113
CA068130,CA078,CA,N,51
CA069130,CA079,CA,N,49
CA070130,CA080,CA,N,53
CA071130,CA081,CA,N,63
CA072130,CA082,CA,N,55
CA073130,CA083,CA,N,57
CA074130,CA084,CA,N,60
CA075130,CA085,CA,N,51
CA076130,CA086,CA,N,49
CA077130,CA087,CA,N,52
CA078130,CA088,CA,N,51
CA079130,CA100,CA,N,51
CA080130,CA101,CA,N,50
CA081130,CA102,CA,N,55
CA082130,CA103,CA,N,53
CA083130,CA104,CA,N,53
CA084130,CA105,CA,N,59
CA085130,CA106,CA,N,53
CA086130,CA107,CA,N,51
CA087130,CA108,CA,N,53
CA088130,CA109,CA,N,52
CA089130,CA110,CA,N,53
CA090130,CA111,CA,N,53
CA091130,CA112,CA,N,53
CA092130,CA113,CA,N,54
CA093130,CA114,CA,N,52
CA094130,CA115,CA,N,45
CA095130,CA116,CA,N,46
CA096130,CA117,CA,N,53
CA097130,CA118,CA,N,56
CA098130,CA119,CA,N,35
CA099130,CA120,CA,N,53
CA100130,CA121,CA,N,53
CA101130,CA122,CA,N,54
CA102130,CA123,CA,N,51
CA103130,CA124,CA,N,52
CA104130,CA125,CA,N,51
CA105130,CA126,CA,N,53
CA106130,CA127,CA,N,53
CA001230,CA211,CA,N,54
CA002230,CA212,CA,N,57
CA003230,CA213,CA,N,52
CA004230,CA214,CA,N,51
CA005230,CA215,CA,N,49
CA006230,CA216,CA,N,49
CA007230,CA217,CA,N,54
CA010230,CA220,CA,N,33
CA011230,CA221,CA,N,49
CA012230,CA222,CA,N,53
CA013230,CA223,CA,N,55
CA014230,CA224,CA,N,51
CA015230,CA225,CA,N,51
CA016230,CA226,CA,N,51
CA017230,CA227,CA,N,49
CA018230,CA228,CA,N,48
CA019230,CA229,CA,N,49
CA020230,CA230,CA,N,55
CA022230,CA232,CA,N,53
CA023230,CA233,CA,N,47
CA024230,CA234,CA,N,45
CA025230,CA235,CA,N,51
CA027230,CA237,CA,N,49
CA029230,CA239,CA,N,37
CA030230,CA240,CA,N,61
CA032230,CA242,CA,N,53
CA033230,CA243,CA,N,53
CA034230,CA244,CA,N,49
CA035230,CA245,CA,N,51
CA036230,CA246,CA,N,49
CA037230,CA247,CA,N,55
CA039230,CA249,CA,N,65
CA041230,CA251,CA,N,50
CA043230,CA253,CA,N,53
CA046230,CA256,CA,N,53
CA047230,CA257,CA,N,51
CA050230,CA260,CA,N,39
CA051230,CA261,CA,N,49
CA052230,CA262,CA,N,53
CA055230,CA265,CA,N,89
CA058230,CA268,CA,N,53
CA059230,CA269,CA,N,66
CA060230,CA270,CA,N,53
CA061230,CA271,CA,N,21
CA062230,CA272,CA,N,55
CA063230,CA273,CA,N,56
CA065230,CA275,CA,N,53
CA066230,CA276,CA,N,53
CA069230,CA279,CA,N,51
CA070230,CA280,CA,N,56
CA072230,CA282,CA,N,52
CA073230,CA283,CA,N,53
CA074230,CA284,CA,N,45
CA075230,CA285,CA,N,53
CA077230,CA287,CA,N,57
CA078230,CA288,CA,N,57
CA080230,CA301,CA,N,51
