LinkID,ID,HomeID,Visit,State,Type,Badge,VOC_ID,Laboratory,Season,datestarted,dateended,duration,t_c,cft,aqdate,acmetchl,mdmetchl,cmetchl,acmtbe,mdmtbe,cmtbe,acchlfrm,mdchlfrm,cchlfrm,accartet,mdcartet,ccartet,acbenzen,mdbenzen,cbenzen,actriche,mdtriche,ctriche,actoluen,mdtoluen,ctoluen,actetche,mdtetche,ctetche,acethben,mdethben,cethben,acmpxyle,mdmpxyle,cmpxyle,acoxyle,mdoxyle,coxyle,acstyren,mdstyren,cstyren,acalpin,mdalpin,calpin,acbepin,mdbepin,cbepin,acdlimo,mddlimo,cdlimo,acdchben,mddchben,cdchben,comments,acmetchl_flag,acmtbe_flag,acchlfrm_flag,accartet_flag,acbenzen_flag,actriche_flag,actoluen_flag,actetche_flag,acethben_flag,acmpxyle_flag,acoxyle_flag,acstyren_flag,acalpin_flag,acbepin_flag,acdlimo_flag,acdchben_flag
CA001120,156,CA011,1,CA,OUTDOOR,"JK 1625",70001,1,2,"1999-07-13 16:51:00","1999-07-15 14:57:00",2766,24.2154,1,NULL,1.05,1.676,0.838,3.28,0.87,3.28,0.21,0.342,0.171,0.47,0.254,0.47,0.55,0.967,0.4835,0.22,0.192,0.37,3.35,6.038,3.019,0.52,1.122,0.561,0.37,0.719,0.3595,0.7,0.5,0.25,0.425,0.334,0.167,0.42,0.34,0.17,1.02,0.641,0.3205,0.505,0.367,0.55,0.635,2.53,1.265,0.99,1.441,0.7205,"",ND,,<DL,,<DL,<DL,<DL,,<DL,<DL,<DL,ND,ND,<DL,ND,
CA001130,156,CA011,1,CA,"PERSONAL ADULT","JK 1627",70002,1,2,"1999-07-13 16:16:00","1999-07-15 15:34:00",2838,26.6326,1,NULL,1.05,1.676,0.838,4.66,0.87,4.66,0.21,0.342,0.42,0.45,0.254,0.45,0.55,0.967,0.4835,0.22,0.192,0.25,3.35,6.038,3.019,0.21,1.122,0.561,0.37,0.719,0.3595,0.7,0.5,0.64,0.425,0.334,0.38,0.42,0.34,0.17,1.02,0.641,0.3205,0.505,0.367,0.81,0.635,2.53,1.265,6.74,1.441,6.74,"",ND,,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,ND,<DL,<DL,ND,
CA001210,199,CA211,2,CA,INDOOR,"SG 6798",70244,2,3,"1999-12-01 17:50:00","1999-12-03 16:28:00",2798,25.86,1,"1999-12-20 00:00:00",1.05,0.179705,1.21506,8.50755,0.295338,8.50755,0.509166,0.177681,0.509166,0.508931,0.164806,0.508931,2.98727,0.840674,2.98727,1.21047,0.253324,0.126662,10.7062,4.17748,10.7062,1.35072,0.375484,1.35072,5.65722,0.287207,5.65722,18.7826,1.11684,18.7826,4.64127,0.349079,4.64127,0.856599,0.440126,0.856599,1.02,0.1637,0.0818498,0.505,0.228522,0.114261,27.1955,3.19661,27.1955,0.455,3.15368,1.57684,"",<DL,,,,,,,,,,,,<DL,ND,,<DL
CA001220,199,CA211,2,CA,OUTDOOR,"SG 6796",70242,2,3,"1999-12-01 17:52:00","1999-12-03 16:34:00",2802,15.07,1.02,"1999-12-20 00:00:00",1.05,0.183299,1.16071,9.80772,0.301245,9.80772,0.21,0.181234,0.310525,0.645137,0.168102,0.645137,2.93569,0.857487,2.93569,0.22,0.258391,0.129195,8.25527,4.26103,8.25527,1.61442,0.382994,1.61442,2.29394,0.292951,2.29394,8.3868,1.13918,8.3868,2.76849,0.356061,2.76849,0.42,0.448928,0.224464,1.02,0.166974,0.644515,0.505,0.233093,0.116546,0.635,3.26054,1.63027,0.455,3.21676,1.60838,"",<DL,,<DL,,,<DL,,,,,,<DL,<DL,ND,ND,<DL
CA001230,200,CA211,2,CA,"PERSONAL ADULT","SG 6797",70243,2,3,"1999-12-01 17:54:00","1999-12-03 16:30:00",2796,25.86,1,"1999-12-20 00:00:00",2.61755,0.179705,2.61755,10.9331,0.295338,10.9331,0.474933,0.177681,0.474933,0.551223,0.164806,0.551223,3.67843,0.840674,3.67843,2.15758,0.253324,0.126662,10.4876,4.17748,10.4876,2.51432,0.375484,2.51432,2.18496,0.287207,2.18496,7.86294,1.11684,7.86294,2.77613,0.349079,2.77613,0.42,0.440126,0.748265,1.02,0.1637,0.0818498,0.505,0.228522,0.114261,14.7406,3.19661,14.7406,0.455,3.15368,1.57684,"",,,,,,,,,,,,<DL,<DL,ND,,<DL
CA001231,199,CA211,2,CA,"DUPLICATE PERSONAL ADULT","SG 6799",70245,2,3,"1999-12-01 17:55:00","1999-12-03 16:31:00",2796,25.86,1,"1999-12-20 00:00:00",2.27029,0.179705,2.27029,10.1731,0.295338,10.1731,0.494853,0.177681,0.494853,0.54629,0.164806,0.54629,3.21024,0.840674,3.21024,0.22,0.253324,0.415866,17.7445,4.17748,17.7445,2.23268,0.375484,2.23268,2.15527,0.287207,2.15527,7.98388,1.11684,7.98388,2.73717,0.349079,2.73717,0.42,0.440126,0.772722,1.02,0.1637,0.0818498,0.505,0.228522,0.114261,13.822,3.19661,13.822,0.455,3.15368,1.57684,"",,,,,,<DL,,,,,,<DL,<DL,ND,,<DL
CA002110,156,CA012,1,CA,INDOOR,"JD 9385",70010,1,2,"1999-07-26 15:35:00","1999-07-28 14:45:00",2830,24.4326,1,NULL,1.05,1.676,0.838,1.99,0.87,1.99,0.63,0.342,0.63,0.46,0.254,0.46,0.55,0.967,0.4835,0.22,0.192,0.36,7.23,6.038,7.23,0.21,1.122,0.561,0.37,0.719,0.3595,0.7,0.5,0.25,0.425,0.334,0.167,3.96,0.34,3.96,1.02,0.641,1.4,1.63,0.367,1.63,0.635,2.53,1.265,3.93,1.441,3.93,"",<DL,,,,<DL,<DL,,<DL,<DL,<DL,<DL,,<DL,,ND,
CA002120,157,CA012,1,CA,OUTDOOR,"JD 9384",70004,1,2,"1999-07-26 15:37:00","1999-07-28 14:46:00",2829,20.5197,1.01,NULL,2.51,1.676,2.51,2.63,0.87,2.63,0.21,0.342,0.171,0.46,0.254,0.46,0.55,0.967,0.4835,0.22,0.192,0.096,3.35,6.038,3.019,0.21,1.122,0.561,0.37,0.719,0.3595,0.7,0.5,0.25,0.425,0.334,0.167,0.93,0.34,0.93,1.02,0.641,0.3205,0.505,0.367,0.1835,0.635,2.53,1.265,0.455,1.441,0.7205,"",,,<DL,,<DL,ND,<DL,<DL,<DL,ND,ND,,ND,<DL,ND,<DL
CA002130,157,CA012,1,CA,"PERSONAL ADULT","JD 9382",70005,1,2,"1999-07-26 16:00:00","1999-07-28 14:45:00",2805,24.4326,1,NULL,1.05,1.676,2.06,2.98,0.87,2.98,0.75,0.342,0.75,0.34,0.254,0.34,0.55,0.967,0.4835,0.22,0.192,0.096,3.35,6.038,3.019,0.21,1.122,0.561,0.37,0.719,0.3595,0.7,0.5,0.25,0.425,0.334,0.167,2.66,0.34,2.66,1.02,0.641,0.3205,1.09,0.367,1.09,0.635,2.53,1.265,2.54,1.441,2.54,"",<DL,,,,<DL,ND,<DL,<DL,<DL,<DL,<DL,,<DL,,ND,
CA002210,200,CA212,2,CA,INDOOR,"SG 6790",70236,2,3,"1999-11-17 17:04:00","1999-11-19 17:14:00",2890,23.42,1.005,"1999-12-20 00:00:00",2.91536,0.180604,2.91536,12.3944,0.296815,12.3944,1.25996,0.178569,1.25996,0.645071,0.16563,0.645071,3.31438,0.844877,3.31438,0.22,0.254591,0.127295,14.141,4.19836,14.141,1.83227,0.377362,1.83227,2.02211,0.288643,2.02211,6.53294,1.12243,6.53294,2.36289,0.350824,2.36289,0.42,0.442326,0.818344,2.66901,0.164518,2.66901,3.0825,0.229665,3.0825,83.7687,3.21259,83.7687,78.1579,3.16945,78.1579,"",,,,,,<DL,,,,,,<DL,,,,
CA002220,200,CA212,2,CA,OUTDOOR,"JK 1612",70234,2,3,"1999-11-17 17:08:00","1999-11-19 17:15:00",2887,17.19,1.015,"1999-12-20 00:00:00",2.44519,0.182401,2.44519,14.3315,0.299768,14.3315,0.712145,0.180346,0.712145,0.652166,0.167278,0.652166,3.7182,0.853284,3.7182,0.22,0.257124,0.128562,18.1571,4.24014,18.1571,2.55751,0.381117,2.55751,2.1014,0.291515,2.1014,7.97269,1.1336,7.97269,2.7841,0.354315,2.7841,0.42,0.446728,0.687465,1.02,0.166155,0.0830775,0.505,0.23195,0.115975,7.80624,3.24456,7.80624,13.3443,3.20099,13.3443,"",,,,,,<DL,,,,,,<DL,<DL,ND,,
CA002230,200,CA212,2,CA,"PERSONAL ADULT","SG 6791",70237,2,3,"1999-11-17 17:06:00","1999-11-19 17:17:00",2891,23.42,1.005,"1999-12-20 00:00:00",4.20429,0.180604,4.20429,13.0157,0.296815,13.0157,1.44295,0.178569,1.44295,0.637656,0.16563,0.637656,3.67441,0.844877,3.67441,0.22,0.254591,0.127295,16.3673,4.19836,16.3673,1.63745,0.377362,1.63745,2.37426,0.288643,2.37426,7.66195,1.12243,7.66195,2.6544,0.350824,2.6544,0.846155,0.442326,0.846155,2.66351,0.164518,2.66351,2.5142,0.229665,2.5142,147.96,3.21259,147.96,56.8926,3.16945,56.8926,"",,,,,,<DL,,,,,,,,,,
CA003110,157,CA013,1,CA,INDOOR,"JK 1620",70020,1,2,"1999-08-15 19:28:00","1999-08-17 18:28:00",2820,23.5025,1,NULL,1.05,1.676,0.838,5.98,0.87,5.98,0.21,0.342,0.42,0.34,0.254,0.34,0.55,0.967,0.4835,0.22,0.192,0.096,3.35,6.038,3.019,0.64,1.122,0.561,0.37,0.719,0.3595,0.7,0.5,0.65,0.425,0.334,0.51,1.06,0.34,1.06,1.02,0.641,0.3205,0.505,0.367,0.67,0.635,2.53,1.265,0.455,1.441,0.7205,"",ND,,<DL,,<DL,ND,<DL,,<DL,<DL,<DL,,ND,<DL,<DL,<DL
CA003120,157,CA013,1,CA,OUTDOOR,"JK 1621",70016,1,2,"1999-08-15 19:29:00","1999-08-17 19:26:00",2877,19.5622,1,NULL,1.05,1.676,0.838,7.24,0.87,7.24,0.21,0.342,0.171,0.45,0.254,0.45,1.18,0.967,1.18,0.22,0.192,0.096,3.35,6.038,3.019,0.62,1.122,0.561,0.37,0.719,0.3595,0.7,0.5,0.89,0.425,0.334,0.63,0.42,0.34,0.52,1.02,0.641,0.3205,0.505,0.367,0.53,0.635,2.53,1.265,0.455,1.441,0.7205,"",<DL,,<DL,,,ND,<DL,,<DL,<DL,<DL,<DL,ND,<DL,ND,<DL
CA003130,157,CA013,1,CA,"PERSONAL ADULT","JK 1623",70024,1,2,"1999-08-15 20:08:00","1999-08-17 18:28:00",2780,23.5025,1,NULL,1.05,1.676,0.838,6.18,0.87,6.18,0.75,0.342,0.75,0.46,0.254,0.46,1.12,0.967,1.12,0.49,0.192,0.49,9.53,6.038,9.53,1.41,1.122,1.41,0.37,0.719,0.3595,0.7,0.5,0.92,0.425,0.334,0.65,2.96,0.34,2.96,1.02,0.641,1.55,1.24,0.367,1.24,0.635,2.53,1.265,2.85,1.441,2.85,"",ND,,,,,,,,<DL,<DL,<DL,,<DL,,ND,
CA003210,200,CA213,2,CA,INDOOR,"SG 6793",70239,1,3,"1999-11-29 07:59:00","1999-12-01 07:27:00",2848,21.4748,1.005,NULL,3.97,1.676,3.97,16.97,0.87,16.97,1.46,0.342,1.46,0.52,0.254,0.52,5.15,0.967,5.15,0.22,0.192,0.096,17.57,6.038,17.57,5.79,1.122,5.79,2.65,0.719,2.65,5.41,0.5,5.41,3.06,0.334,3.06,0.42,0.34,0.78,1.02,0.641,1.03,6.47,0.367,6.47,0.635,2.53,1.265,1.58,1.441,1.58,NULL,,,,,,ND,,,,,,<DL,<DL,,ND,
CA003220,200,CA213,2,CA,OUTDOOR,"SG 6794",70240,1,3,"1999-11-29 08:06:00","1999-12-01 07:55:00",2869,14.8304,1.02,NULL,2.84,1.676,2.84,16.31,0.87,16.31,0.21,0.342,0.171,0.135,0.254,0.127,4.72,0.967,4.72,0.22,0.192,0.096,12.12,6.038,12.12,3.29,1.122,3.29,2.12,0.719,2.12,5.12,0.5,5.12,2.78,0.334,2.78,0.42,0.34,0.17,1.02,0.641,0.9,0.505,0.367,0.1835,0.635,2.53,1.265,0.455,1.441,0.7205,NULL,,,ND,ND,,ND,,,,,,ND,<DL,<DL,ND,<DL
CA003230,200,CA213,2,CA,"PERSONAL ADULT","SG 6792",70238,1,3,"1999-11-29 07:45:00","1999-12-01 07:26:00",2861,21.4748,1.005,NULL,3.13,1.676,3.13,10.83,0.87,10.83,0.51,0.342,0.51,1.79,0.254,1.79,2.47,0.967,2.47,0.86,0.192,0.86,14.72,6.038,14.72,4.4,1.122,4.4,1.61,0.719,1.61,2.83,0.5,2.83,2.28,0.334,2.28,0.42,0.34,0.52,1.02,0.641,1.53,0.505,0.367,0.47,3.32,2.53,3.32,0.455,1.441,0.7205,NULL,,,,,,,,,,,,<DL,<DL,<DL,,<DL
CA004110,157,CA014,1,CA,INDOOR,"JC 0157",70013,2,2,"1999-08-23 08:05:00","1999-08-25 09:10:00",2945,24.92,1,"1999-09-02 00:00:00",1.05,1.03296,0.516479,5.65783,0.234748,5.65783,0.454885,0.37379,0.454885,0.572815,0.247632,0.572815,1.48737,0.636432,1.48737,0.22,0.42684,0.21342,3.35,8.73572,4.36786,1.04321,0.412497,1.04321,5.92113,0.286946,5.92113,24.0177,1.0023,24.0177,10.2593,0.357863,10.2593,0.42,0.745476,0.372738,1.02,0.276266,0.138133,0.505,0.564558,0.282279,1.47877,0.881337,1.47877,0.455,0.156263,0.301013,NULL,<DL,,,,,ND,<DL,,,,,<DL,<DL,<DL,,<DL
CA004120,157,CA014,1,CA,OUTDOOR,"JC 0156",70021,2,2,"1999-08-23 08:06:00","1999-08-25 09:15:00",2949,20.07,1.01,"1999-09-02 00:00:00",1.05,1.04329,0.521644,8.31168,0.237096,8.31168,0.21,0.377528,0.188764,0.6616,0.250109,0.6616,1.78385,0.642796,1.78385,0.22,0.431109,0.215554,7.53963,8.82308,4.41154,1.17976,0.416621,1.17976,0.981452,0.289816,0.981452,3.82822,1.01232,3.82822,1.35985,0.361442,1.35985,0.42,0.752931,0.376466,1.02,0.279029,0.139514,0.505,0.570204,0.285102,0.635,0.89015,0.445075,0.455,0.157825,0.338134,NULL,<DL,,<DL,,,<DL,,,,,,ND,<DL,ND,<DL,<DL
CA004121,157,CA014,1,CA,"DUPLICATE OUTDOOR","JC 0154",70019,2,2,"1999-08-23 08:09:00","1999-08-25 09:18:00",2949,20.07,1.01,"1999-09-02 00:00:00",1.05,1.04329,0.521644,8.18758,0.237096,8.18758,0.21,0.377528,0.188764,0.564768,0.250109,0.564768,1.55815,0.642796,1.55815,0.22,0.431109,0.215554,3.35,8.82308,4.41154,0.967189,0.416621,0.967189,0.867731,0.289816,0.867731,3.47806,1.01232,3.47806,1.31061,0.361442,1.31061,0.42,0.752931,0.376466,1.02,0.279029,0.139514,0.505,0.570204,0.285102,0.635,0.89015,0.445075,0.455,0.157825,0.318407,NULL,<DL,,<DL,,,<DL,<DL,,,,,ND,<DL,ND,ND,<DL
CA004130,157,CA014,1,CA,"PERSONAL ADULT","JC 0155",70022,2,2,"1999-08-23 08:07:00","1999-08-25 09:06:00",2939,24.92,1,"1999-09-02 00:00:00",1.05,1.03296,0.516479,6.08103,0.234748,6.08103,3.18072,0.37379,3.18072,0.525884,0.247632,0.525884,1.3793,0.636432,1.3793,0.22,0.42684,0.21342,3.35,8.73572,4.36786,1.40567,0.412497,1.40567,1.08673,0.286946,1.08673,3.45128,1.0023,3.45128,1.15676,0.357863,1.15676,0.42,0.745476,0.372738,1.02,0.276266,0.138133,0.505,0.564558,0.282279,4.31024,0.881337,4.31024,0.455,0.156263,0.348991,NULL,<DL,,,,,<DL,<DL,,,,,ND,<DL,<DL,,<DL
CA004210,200,CA214,2,CA,INDOOR,"SG 6806",70252,1,4,"2000-01-10 07:34:00","2000-01-12 07:25:00",2871,19.3846,1.01,NULL,1.05,1.676,0.838,33.01,0.87,33.01,0.21,0.342,0.41,0.97,0.254,0.97,4.74,0.967,4.74,0.22,0.192,0.096,30.68,6.038,30.68,13.76,1.122,13.76,2.4,0.719,2.4,4.04,0.5,4.04,2.99,0.334,2.99,1.36,0.34,1.36,1.02,0.641,0.3205,1.5,0.367,1.5,17.85,2.53,17.85,0.455,1.441,0.7205,NULL,<DL,,<DL,,,ND,,,,,,,ND,,,<DL
CA004220,200,CA214,2,CA,OUTDOOR,"SG 6803",70249,1,4,"2000-01-10 07:35:00","2000-01-12 07:27:00",2872,12.9624,1.02,NULL,1.05,1.676,0.838,10.45,0.87,10.45,0.21,0.342,0.171,0.62,0.254,0.62,3.95,0.967,3.95,0.59,0.192,0.59,34.54,6.038,34.54,3.31,1.122,3.31,1.63,0.719,1.63,3.53,0.5,3.53,2.73,0.334,2.73,0.42,0.34,0.17,1.02,0.641,0.3205,0.505,0.367,0.42,0.635,2.53,1.265,0.455,1.441,0.7205,NULL,<DL,,ND,,,,,,,,,<DL,ND,<DL,<DL,<DL
CA004230,201,CA214,2,CA,"PERSONAL ADULT","SG 6802",70248,1,4,"2000-01-10 07:23:00","2000-01-12 07:30:00",2887,19.3846,1.01,NULL,5.99,1.676,5.99,25.14,0.87,25.14,0.21,0.342,0.4,0.62,0.254,0.62,3.64,0.967,3.64,0.22,0.192,0.096,21.37,6.038,21.37,8.18,1.122,8.18,1.75,0.719,1.75,3.38,0.5,3.38,2.59,0.334,2.59,4.07,0.34,4.07,2.39,0.641,2.39,0.505,0.367,0.82,12.06,2.53,12.06,0.455,1.441,0.7205,NULL,,,<DL,,,ND,,,,,,,,<DL,,<DL
CA005110,158,CA015,1,CA,INDOOR,"JK 1616",70008,2,2,"1999-08-31 17:14:00","1999-09-02 17:43:00",2909,23.56,1,"1999-09-14 00:00:00",1.05,1.03296,0.516479,11.2021,0.234748,11.2021,1.94787,0.37379,1.94787,0.605979,0.247632,0.605979,1.73435,0.636432,1.73435,0.22,0.42684,0.21342,9.09694,8.73572,9.09694,2.65098,0.412497,2.65098,2.27828,0.286946,2.27828,8.48807,1.0023,8.48807,3.29858,0.357863,3.29858,1.22959,0.745476,1.22959,20.1636,0.276266,0.138133,5.35143,0.564558,5.35143,8.80058,0.881337,8.80058,0.455,0.156263,0.613298,NULL,<DL,,,,,ND,,,,,,,,,,<DL
CA005120,158,CA015,1,CA,OUTDOOR,"JK 1617",70028,2,2,"1999-08-31 17:15:00","1999-09-02 17:47:00",2912,19.84,1.01,"1999-09-14 00:00:00",1.05,1.04329,0.521644,5.46391,0.237096,5.46391,0.21,0.377528,0.188764,0.581511,0.250109,0.581511,1.27938,0.642796,1.27938,0.22,0.431109,0.215554,3.35,8.82308,4.41154,0.614865,0.416621,0.614865,0.982144,0.289816,0.982144,2.8489,1.01232,2.8489,1.02501,0.361442,1.02501,0.42,0.752931,0.376466,1.02,0.279029,0.139514,0.505,0.570204,0.285102,0.635,0.89015,0.445075,0.455,0.157825,0.212573,NULL,ND,,<DL,,,ND,<DL,,,,,ND,<DL,ND,ND,<DL
CA005130,158,CA015,1,CA,"PERSONAL ADULT","JK 1618",70026,2,2,"1999-08-31 17:15:00","1999-09-02 17:41:00",2906,23.56,1,"1999-09-14 00:00:00",1.05,1.03296,0.516479,9.15845,0.234748,9.15845,2.00637,0.37379,2.00637,0.588807,0.247632,0.588807,1.45523,0.636432,1.45523,0.22,0.42684,0.21342,14.235,8.73572,14.235,1.28014,0.412497,1.28014,1.55352,0.286946,1.55352,5.17979,1.0023,5.17979,1.92557,0.357863,1.92557,0.42,0.745476,0.372738,6.83315,0.276266,0.138133,2.29302,0.564558,2.29302,4.2837,0.881337,4.2837,0.455,0.156263,0.435542,NULL,<DL,,,,,ND,,,,,,<DL,,,,<DL
CA005210,201,CA215,2,CA,INDOOR,"SG 6810",70256,2,3,"1999-12-16 18:01:00","1999-12-18 17:44:00",2863,23.79,1,"2000-01-04 00:00:00",3.2244,0.737821,3.2244,39.5577,0.317251,39.5577,1.42831,0.158881,1.42831,0.662366,0.180831,0.662366,9.42376,0.644654,9.42376,0.461859,0.25659,0.461859,35.2035,4.11044,35.2035,6.98188,0.375424,6.98188,5.35063,0.272146,5.35063,20.0211,0.902184,20.0211,7.17668,0.331749,7.17668,2.08959,0.298091,2.08959,8.49198,0.328987,8.49198,3.26244,0.187555,3.26244,12.3438,2.99755,12.3438,1.31484,2.96043,1.48021,NULL,,,,,,,,,,,,,,,,
CA005220,201,CA215,2,CA,OUTDOOR,"SG 6809",70255,2,3,"1999-12-16 18:04:00","1999-12-18 17:45:00",2861,NULL,1,"2000-01-04 00:00:00",3.20614,0.737821,3.20614,38.8341,0.317251,38.8341,0.506151,0.158881,0.506151,0.606187,0.180831,0.606187,9.41893,0.644654,9.41893,0.22,0.25659,0.128295,27.0518,4.11044,27.0518,7.01252,0.375424,7.01252,5.12226,0.272146,5.12226,19.1674,0.902184,19.1674,6.8101,0.331749,6.8101,1.39573,0.298091,1.39573,1.02,0.328987,0.164493,0.505,0.187555,0.0937774,1.92493,2.99755,1.49877,1.52213,2.96043,1.48021,NULL,,,,,,<DL,,,,,,,<DL,ND,,
CA005230,201,CA215,2,CA,"PERSONAL ADULT","SG 6808",70254,2,3,"1999-12-16 18:03:00","1999-12-18 17:49:00",2866,23.79,1,"2000-01-04 00:00:00",3.80339,0.737821,3.80339,39.6149,0.322144,39.6149,1.27647,0.161332,1.27647,0.66047,0.18362,0.66047,9.22954,0.644654,9.22954,0.54477,0.25659,0.128295,50.1038,4.11044,50.1038,6.1557,0.375424,6.1557,5.40296,0.272146,5.40296,20.2833,0.902184,20.2833,6.97305,0.331749,6.97305,1.84013,0.302689,1.84013,4.73337,0.334061,0.16703,1.95726,0.190448,1.95726,8.93284,2.99755,8.93284,1.38214,2.96043,1.48021,NULL,,,,,,,,,,,,,,,,
CA006110,158,CA016,1,CA,INDOOR,"JK 1601",70014,1,3,"1999-09-13 11:19:00","1999-09-15 11:16:00",2877,26.3968,1,NULL,1.05,1.676,0.838,7.66,0.87,7.66,1.14,0.342,1.14,0.56,0.254,0.56,1.87,0.967,1.87,0.22,0.192,0.36,8.33,6.038,8.33,1.48,1.122,1.48,1.38,0.719,1.38,2.42,0.5,2.42,1.52,0.334,1.52,0.42,0.34,0.17,1.02,0.641,1,0.505,0.367,0.66,0.635,2.53,1.265,2.48,1.441,2.48,NULL,<DL,,,,,<DL,,,,,,ND,<DL,<DL,<DL,
CA006120,158,CA016,1,CA,OUTDOOR,"JK 1600",70007,1,3,"1999-09-13 11:20:00","1999-09-15 11:19:00",2879,18.9845,1.01,NULL,2.65,1.676,2.65,8.39,0.87,8.39,0.21,0.342,0.171,0.33,0.254,0.33,1.77,0.967,1.77,0.22,0.192,0.096,3.35,6.038,3.019,1.24,1.122,1.24,1.33,0.719,1.33,2.24,0.5,2.24,1.47,0.334,1.47,0.42,0.34,0.17,1.02,0.641,0.3205,0.505,0.367,0.1835,0.635,2.53,1.265,0.455,1.441,0.7205,NULL,,,<DL,,,<DL,<DL,,,,,<DL,ND,<DL,ND,<DL
CA006130,158,CA016,1,CA,"PERSONAL ADULT","JK 1602",70012,1,3,"1999-09-13 11:17:00","1999-09-15 11:00:00",2863,26.3968,1,NULL,1.05,1.676,0.838,7.79,0.87,7.79,0.84,0.342,0.84,0.57,0.254,0.57,1.78,0.967,1.78,0.22,0.192,0.36,3.35,6.038,6.04,1.49,1.122,1.49,0.87,0.719,0.87,1.66,0.5,1.66,1.14,0.334,1.14,0.42,0.34,0.17,1.02,0.641,0.88,0.505,0.367,0.39,0.635,2.53,1.265,1.93,1.441,1.93,NULL,ND,,,,,<DL,<DL,,,,,ND,<DL,<DL,ND,
CA006210,201,CA216,2,CA,INDOOR,"SG 6804",70250,2,4,"2000-01-12 14:05:00","2000-01-14 13:27:00",2852,20.81,1.005,"2000-01-20 00:00:00",4.00325,0.615829,4.00325,24.8962,0.219307,24.8962,1.20961,0.186846,1.20961,0.591701,0.173479,0.591701,6.14632,0.542219,6.14632,0.484423,0.252952,0.484423,21.1477,6.52811,21.1477,3.79696,0.319218,3.79696,3.50236,0.226497,3.50236,12.3909,0.776546,12.3909,4.35698,0.28578,4.35698,0.884252,0.255581,0.884252,1.02,0.289394,0.144697,1.46077,0.357024,1.46077,4.44744,2.41199,4.44744,0.455,2.35284,1.17642,NULL,,,,,,,,,,,,,<DL,,,<DL
CA006220,201,CA216,2,CA,OUTDOOR,"SG 6800",70246,2,4,"2000-01-12 14:04:00","2000-01-14 13:35:00",2851,16.1,1.015,"2000-01-20 00:00:00",4.53532,0.621957,4.53532,24.3427,0.221489,24.3427,0.21,0.188705,0.0943527,0.667766,0.175205,0.667766,6.07861,0.547614,6.07861,0.22,0.255469,0.346414,17.3165,6.59307,17.3165,4.07086,0.322394,4.07086,3.60965,0.22875,3.60965,12.7197,0.784273,12.7197,4.60664,0.288623,4.60664,0.42,0.258124,0.82254,1.02,0.292274,0.86723,0.505,0.360577,0.180288,1.56306,2.43599,1.21799,0.455,2.37625,1.18813,NULL,,,ND,,,<DL,,,,,,<DL,<DL,ND,,<DL
CA006230,201,CA216,2,CA,"PERSONAL ADULT","SG 6805",70251,2,4,"2000-01-12 14:03:00","2000-01-14 13:37:00",2854,20.81,1.005,"2000-01-20 00:00:00",3.88578,0.615829,3.88578,22.7281,0.219307,22.7281,1.12205,0.186846,1.12205,0.579145,0.173479,0.579145,5.77825,0.542219,5.77825,0.22,0.252952,0.426805,26.3388,6.52811,26.3388,3.85714,0.319218,3.85714,3.28732,0.226497,3.28732,11.8457,0.776546,11.8457,4.16828,0.28578,4.16828,0.42,0.255581,0.750096,1.02,0.289394,1.17933,0.505,0.357024,1.00319,3.8328,2.41199,3.8328,0.455,2.35284,1.17642,NULL,,,,,,<DL,,,,,,<DL,<DL,<DL,,<DL
