LinkID,HomeID,State,Volume
CA001110,CA011,3,45
CA002110,CA012,3,178
CA003110,CA013,3,309
CA004110,CA014,3,124
CA005110,CA015,3,135
CA006110,CA016,3,115
CA007110,CA017,3,273
CA008110,CA018,3,49
CA009110,CA019,3,178
CA010110,CA020,3,230
CA011110,CA021,3,187
CA012110,CA022,3,105
CA013110,CA023,3,26
CA014110,CA024,3,97
CA015110,CA025,3,172
CA016110,CA026,3,60
CA017110,CA027,3,207
CA018110,CA028,3,147
CA019110,CA029,3,166
CA020110,CA030,3,278
CA021110,CA031,3,119
CA022110,CA032,3,130
CA023110,CA033,3,147
CA024110,CA034,3,162
CA025110,CA035,3,151
CA026110,CA036,3,132
CA027110,CA037,3,181
CA028110,CA038,3,117
CA029110,CA039,3,130
CA030110,CA040,3,159
CA031110,CA041,3,94
CA032110,CA042,3,204
CA033110,CA043,3,202
CA034110,CA044,3,82
CA035110,CA045,3,78
CA036110,CA046,3,73
CA037110,CA047,3,92
CA038110,CA048,3,146
CA039110,CA049,3,251
CA040110,CA050,3,178
CA041110,CA051,3,103
CA042110,CA052,3,87
CA043110,CA053,3,106
CA044110,CA054,3,181
CA045110,CA055,3,169
CA046110,CA056,3,122
CA047110,CA057,3,127
CA048110,CA058,3,242
CA049110,CA059,3,113
CA050110,CA060,3,126
CA051110,CA061,3,146
CA052110,CA062,3,238
CA053110,CA063,3,195
CA054110,CA064,3,144
CA055110,CA065,3,139
CA056110,CA066,3,129
CA057110,CA067,3,168
CA058110,CA068,3,145
CA059110,CA069,3,246
CA060110,CA070,3,296
CA061110,CA071,3,208
CA062110,CA072,3,180
CA063110,CA073,3,357
CA065110,CA075,3,233
CA066110,CA076,3,160
CA067110,CA077,3,170
CA068110,CA078,3,215
CA069110,CA079,3,182
CA070110,CA080,3,213
CA071110,CA081,3,114
CA072110,CA082,3,287
CA073110,CA083,3,229
CA074110,CA084,3,227
CA075110,CA085,3,278
CA076110,CA086,3,119
CA077110,CA087,3,128
CA078110,CA088,3,283
CA079110,CA100,3,126
CA080110,CA101,3,119
CA081110,CA102,3,87
CA082110,CA103,3,152
CA083110,CA104,3,163
CA084110,CA105,3,147
CA085110,CA106,3,181
CA086110,CA107,3,146
CA087110,CA108,3,118
CA088110,CA109,3,149
CA089110,CA110,3,204
CA090110,CA111,3,181
CA091110,CA112,3,83
CA092110,CA113,3,86
CA093110,CA114,3,195
CA094110,CA115,3,174
CA095110,CA116,3,84
CA096110,CA117,3,93
CA097110,CA118,3,84
CA098110,CA119,3,151
CA099110,CA120,3,182
CA100110,CA121,3,124
CA101110,CA122,3,131
CA102110,CA123,3,158
CA103110,CA124,3,224
CA104110,CA125,3,105
CA105110,CA126,3,161
CA106110,CA127,3,156
NJ001110,NJ001,1,157
NJ002110,NJ002,1,299
NJ003110,NJ003,1,346
NJ004110,NJ004,1,170
NJ005110,NJ005,1,124
NJ006110,NJ006,1,124
NJ007110,NJ007,1,668
NJ008110,NJ008,1,219
NJ009110,NJ009,1,175
NJ010110,NJ010,1,257
NJ011110,NJ011,1,109
NJ012110,NJ012,1,166
NJ013110,NJ013,1,186
NJ014110,NJ014,1,214
NJ015110,NJ015,1,0
NJ016110,NJ016,1,243
NJ017110,NJ017,1,0
NJ018110,NJ018,1,257
NJ019110,NJ019,1,184
NJ020110,NJ020,1,193
NJ021110,NJ021,1,282
NJ022110,NJ022,1,218
NJ023110,NJ023,1,167
NJ024110,NJ024,1,133
NJ025110,NJ025,1,424
NJ026110,NJ026,1,434
NJ027110,NJ027,1,199
NJ028110,NJ028,1,107
NJ029110,NJ029,1,256
NJ030110,NJ030,1,107
NJ031110,NJ031,1,293
NJ032110,NJ032,1,152
NJ033110,NJ033,1,250
NJ034110,NJ034,1,112
NJ035110,NJ035,1,545
NJ036110,NJ036,1,179
NJ037110,NJ037,1,216
NJ038110,NJ038,1,158
NJ039110,NJ039,1,148
NJ040110,NJ040,1,117
NJ041110,NJ041,1,203
NJ042110,NJ042,1,153
NJ043110,NJ043,1,181
NJ044110,NJ044,1,89
NJ045110,NJ045,1,268
NJ046110,NJ046,1,376
NJ047110,NJ047,1,226
NJ048110,NJ048,1,585
NJ049110,NJ049,1,485
NJ050110,NJ050,1,237
NJ051110,NJ051,1,220
NJ052110,NJ052,1,210
NJ053110,NJ053,1,251
NJ054110,NJ054,1,305
NJ055110,NJ055,1,343
NJ056110,NJ056,1,439
NJ057110,NJ057,1,341
NJ058110,NJ058,1,227
NJ059110,NJ059,1,196
NJ060110,NJ060,1,544
NJ061110,NJ061,1,162
NJ062110,NJ062,1,174
NJ063110,NJ063,1,88
NJ064110,NJ064,1,428
NJ065110,NJ065,1,455
NJ066110,NJ066,1,309
NJ067110,NJ067,1,475
NJ068110,NJ068,1,307
NJ069110,NJ069,1,148
NJ070110,NJ070,1,642
NJ071110,NJ071,1,143
NJ072110,NJ072,1,119
NJ073110,NJ073,1,158
NJ074110,NJ074,1,174
NJ075110,NJ075,1,274
NJ076110,NJ076,1,413
NJ077110,NJ077,1,180
NJ078110,NJ078,1,341
NJ079110,NJ079,1,165
NJ080110,NJ080,1,211
NJ081110,NJ081,1,395
NJ082110,NJ082,1,146
NJ083110,NJ083,1,320
NJ084110,NJ084,1,221
NJ085110,NJ085,1,364
NJ086110,NJ086,1,174
NJ087110,NJ087,1,153
NJ088110,NJ088,1,262
NJ089110,NJ089,1,213
NJ090110,NJ090,1,341
NJ091110,NJ091,1,110
NJ092110,NJ092,1,98
NJ093110,NJ093,1,298
