LinkID,Wban_number,datestarted,dateended,avg_Dry_bulb_temp,avg_Dew_point_temp,avg_Wet_bulb_temp,avg_RH,avg_WS,avg_Val_wind_char,avg_Pressure,avg_Sea_Level_Pressure,avg_Precipitation,avg_Sky_conditions,avg_Visibility,avg_Weather_type,avg_Wind_Gust,avg_WD
CA000000,03166,"1999-07-14 00:53:00","1999-07-15 22:53:00",73.6851,61.7447,66.2,68.1064,4.21277,0,29.8089,1012.67,0,CLR,10SM,-,-,0
CA000000,03167,"1999-07-14 00:53:00","1999-07-15 22:53:00",68.9021,60.8936,64.0128,76.2766,5.91489,0,29.8526,1013.15,0,CLR,10SM,-,-,225
CA000000,23129,"1999-07-14 00:56:00","1999-07-15 22:56:00",71.9298,60.4851,64.8915,69.1702,5.12766,0,29.8868,1012.97,0,CLR,10SM,-,-,270
CA000000,23174,"1999-07-14 00:50:00","1999-07-15 22:50:00",70.1085,65.0894,66.934,84.6596,7.48936,0,29.8311,1013.3,0,OVC006,7SM,-,-,270
CA000000,93134,"1999-07-14 00:52:00","1999-07-15 22:52:00",71.0489,63.6936,66.3787,78.8511,3.25532,0,29.7219,1012.99,0,CLR,10SM,-,-,0
CA000000,23174,"1999-07-14 01:50:00","1999-07-15 22:50:00",70.1304,65.05,66.9196,84.4783,7.54348,0,29.8324,1013.34,0,OVC006,6SM,-,-,270
CA000000,03166,"1999-07-26 23:53:00","1999-07-28 21:53:00",67.9957,58.7872,62.4511,73.3617,3.74468,0,29.8774,1015,0,CLR,10SM,-,-,0
CA000000,03167,"1999-07-26 23:53:00","1999-07-28 21:53:00",65.3426,58.0511,61.0489,77.9362,5.87234,0.7021,29.9196,1015.37,0,CLR,10SM,-,-,270
CA000000,23129,"1999-07-26 23:56:00","1999-07-28 21:56:00",66.7809,58.5638,61.8872,75.7021,5.02128,0,29.9547,1015.29,0,SCT250,10SM,-,-,270
CA000000,23174,"1999-07-26 23:50:00","1999-07-28 21:50:00",66.7426,60.2191,62.8213,79.7872,7.42553,0.3404,29.8915,1015.58,0,FEW020,10SM,-,-,270
CA000000,93134,"1999-07-26 23:52:00","1999-07-28 21:52:00",66.2128,59.5234,62.1745,80,2.89362,0,29.7891,1015.31,0,CLR,10SM,-,-,0
CA000000,03166,"1999-07-27 00:53:00","1999-07-28 21:53:00",68.1043,58.8065,62.5022,73.1304,3.82609,0,29.8783,1015.03,0,CLR,10SM,-,-,0
CA000000,03167,"1999-07-27 00:53:00","1999-07-28 21:53:00",65.3935,58.0304,61.0587,77.7391,5.93478,0.7174,29.9204,1015.41,0,CLR,10SM,-,-,270
CA000000,23129,"1999-07-27 00:56:00","1999-07-28 21:56:00",66.9065,58.5783,61.9457,75.3913,5.13043,0,29.9557,1015.32,0,SCT250,10SM,-,-,270
CA000000,23174,"1999-07-27 00:50:00","1999-07-28 21:50:00",66.8022,60.2022,62.8348,79.5652,7.45652,0.3478,29.8924,1015.62,0,FEW020,10SM,-,-,270
CA000000,93134,"1999-07-27 00:52:00","1999-07-28 21:52:00",66.3022,59.5348,62.2152,79.7826,2.95652,0,29.79,1015.34,0,CLR,10SM,-,-,0
CA000000,03166,"1999-08-16 03:53:00","1999-08-18 01:53:00",73.2511,57.9745,63.8957,62.0851,3.12766,0,29.8951,1015.61,0,CLR,10SM,-,-,0
CA000000,03167,"1999-08-16 03:53:00","1999-08-18 01:53:00",67.134,58.1468,61.8319,74.0638,5.80851,0,29.9415,1016.14,0,CLR,10SM,-,-,270
CA000000,23129,"1999-08-16 03:56:00","1999-08-18 01:56:00",70.6021,56.3489,62.1149,63.3404,5.12766,0,29.9736,1015.94,0,CLR,10SM,-,-,270
CA000000,23174,"1999-08-16 03:50:00","1999-08-18 01:50:00",68.1426,58.5191,62.4234,71.9787,7.14894,0.2979,29.9091,1016.24,0,CLR,10SM,-,-,270
CA000000,93134,"1999-08-16 03:52:00","1999-08-18 01:52:00",69.5596,56.717,61.9191,65.8298,2.61702,0,29.8085,1015.94,0,CLR,10SM,-,-,0
CA000000,03166,"1999-08-16 03:53:00","1999-08-18 02:53:00",73.0583,58.0187,63.85,62.6042,3.0625,0,29.894,1015.56,0,CLR,10SM,-,-,0
CA000000,03167,"1999-08-16 03:53:00","1999-08-18 02:53:00",67.0479,58.1875,61.8208,74.3958,5.77083,0,29.94,1016.09,0,CLR,10SM,-,-,270
CA000000,23129,"1999-08-16 03:56:00","1999-08-18 02:56:00",70.4437,56.4042,62.0833,63.8333,5.08333,0,29.9723,1015.9,0,CLR,10SM,-,-,270
CA000000,23174,"1999-08-16 03:50:00","1999-08-18 02:50:00",68.0979,58.5521,62.4229,72.1667,7.0625,0.2917,29.9077,1016.19,0,CLR,10SM,-,-,270
CA000000,93134,"1999-08-16 03:52:00","1999-08-18 02:52:00",69.4229,56.7417,61.8812,66.2083,2.5625,0,29.8071,1015.89,0,CLR,10SM,-,-,0
CA000000,03166,"1999-08-16 04:53:00","1999-08-18 01:53:00",73.5609,57.9957,64.0261,61.413,3.13043,0,29.8952,1015.61,0,CLR,10SM,-,-,0
CA000000,03167,"1999-08-16 04:53:00","1999-08-18 01:53:00",67.2674,58.1522,61.8891,73.7174,5.93478,0,29.9417,1016.15,0,CLR,10SM,-,-,270
CA000000,23129,"1999-08-16 04:56:00","1999-08-18 01:56:00",70.8109,56.3348,62.1913,62.8261,5.23913,0,29.9737,1015.94,0,CLR,10SM,-,-,270
CA000000,23174,"1999-08-16 04:50:00","1999-08-18 01:50:00",68.2326,58.5087,62.45,71.7174,7.23913,0.3043,29.9093,1016.24,0,CLR,10SM,-,-,270
CA000000,93134,"1999-08-16 04:52:00","1999-08-18 01:52:00",69.7652,56.7109,61.9978,65.3043,2.67391,0,29.8087,1015.94,0,CLR,10SM,-,-,0
CA000000,03166,"1999-08-23 16:53:00","1999-08-25 16:53:00",75.8775,61.0775,66.4857,63.6327,3.02041,0,29.6955,1008.82,0,CLR,10SM,-,-,0
CA000000,03167,"1999-08-23 16:53:00","1999-08-25 16:53:00",68,58.1163,62.1041,71.9184,5.34694,0,29.7433,1009.4,0,CLR,10SM,-,-,270
CA000000,23129,"1999-08-23 16:56:00","1999-08-25 16:56:00",72.4673,58.6367,63.9837,64.7347,5.55102,0,29.7739,1009.15,0,CLR,10SM,-,-,270
CA000000,23174,"1999-08-23 16:50:00","1999-08-25 16:50:00",68.3592,60.6204,63.6531,76.7143,7.12245,0,29.719,1009.56,0,CLR,7SM,-,-,270
CA000000,93134,"1999-08-23 19:52:00","1999-08-25 16:52:00",70.9978,61.0467,64.7822,72.8,2.53333,0,29.6104,1009.21,0,CLR,10SM,-,-,0
CA000000,03166,"1999-09-01 01:53:00","1999-09-03 00:53:00",66.8083,57.7167,61.4313,73.3542,4.72917,0,29.7673,1011.27,0,CLR,10SM,-,-,0
CA000000,03167,"1999-09-01 01:53:00","1999-09-03 00:53:00",66.7604,55.4271,60.1937,67.6667,6.64583,0.6042,29.8021,1011.44,0,CLR,10SM,-,-,90
CA000000,23129,"1999-09-01 01:56:00","1999-09-03 00:56:00",66.4812,56.425,60.6104,70.6875,6.66667,0.3125,29.8427,1011.51,0,CLR,10SM,-,-,90
CA000000,23174,"1999-09-01 01:50:00","1999-09-03 00:50:00",68.7229,57.5979,62.1292,68.3958,8.58333,0,29.7746,1011.42,0,FEW015,9SM,-,-,90
CA000000,93134,"1999-09-01 01:52:00","1999-09-03 00:52:00",66.8479,56.1937,60.625,69.7917,3.02083,0,29.6725,1011.38,0,CLR,10SM,-,-,0
CA000000,03166,"1999-09-13 19:53:00","1999-09-15 18:53:00",65.6604,60.1521,62.3146,83.3125,3.85417,0,29.7225,1009.73,0,CLR,7SM,-,-,0
CA000000,03167,"1999-09-13 19:53:00","1999-09-15 18:53:00",64.1937,57.1813,60.0792,78.9792,3.83333,0,29.7598,1010,0,CLR,9SM,-,-,0
CA000000,23129,"1999-09-13 19:56:00","1999-09-15 18:56:00",63.9833,57.6625,60.2938,81.0208,4.27083,0,29.7987,1010.03,0,CLR,10SM,-,-,0
CA000000,23174,"1999-09-13 19:50:00","1999-09-15 18:50:00",65.8104,58.675,61.5854,78.3125,5.5,0,29.734,1010.07,0.000208333,CLR,7SM,HZ,-,0
CA000000,93134,"1999-09-13 20:52:00","1999-09-15 18:52:00",65.6951,57.6366,60.9,76.7317,1.85366,0,29.6273,1009.86,0,CLR,7SM,HZ,-,0
CA000000,03166,"1999-09-20 22:53:00","1999-09-22 21:53:00",73.9213,61.9915,66.3915,68.9149,3.48936,0,29.7898,1012.01,0,CLR,10SM,-,-,0
CA000000,03167,"1999-09-20 22:53:00","1999-09-22 21:53:00",69.2271,58.7604,62.9354,71.375,4.91667,0.4375,29.8325,1012.44,0,CLR,10SM,-,-,270
CA000000,23129,"1999-09-20 22:56:00","1999-09-22 21:56:00",72.6917,58.2687,63.9375,63.6667,4.5625,0,29.8662,1012.28,0,OVC150,10SM,-,-,0
CA000000,23174,"1999-09-20 22:50:00","1999-09-22 21:50:00",70.5354,60.6354,64.4542,72.2292,6.04167,1.2292,29.8088,1012.56,0,FEW060,8SM,-,-,225
CA000000,93134,"1999-09-20 22:52:00","1999-09-22 21:52:00",71.8542,58.0792,63.5187,64.9583,2.41667,0.2917,29.7,1012.25,0,CLR,10SM,-,-,0
CA000000,03166,"1999-09-27 16:53:00","1999-09-29 15:53:00",72.2312,59.3604,64.3313,73.1875,2.95833,0,29.7842,1011.85,0,CLR,3SM,BR,-,0
CA000000,03167,"1999-09-27 16:53:00","1999-09-29 15:53:00",69.4229,50.8417,59.6688,63.3125,3.20833,0,29.8292,1012.34,0,CLR,10SM,HZ,-,0
CA000000,23129,"1999-09-27 16:56:00","1999-09-29 15:56:00",70.6479,56.2042,62.25,69.8125,4.41667,0,29.8619,1012.17,0,CLR,10SM,-,-,270
CA000000,23174,"1999-09-27 16:50:00","1999-09-29 15:50:00",66.0936,56.9404,60.8383,76.9787,5.38298,0,29.8043,1012.48,0.000212766,OVC012,10SM,HZ,-,270
CA000000,93134,"1999-09-27 16:52:00","1999-09-29 15:52:00",70.7979,55.3104,61.8854,67.9583,1.95833,0,29.6983,1012.22,0,CLR,3SM,HZ,-,0
CA000000,03166,"1999-10-04 16:53:00","1999-10-06 15:53:00",66.4583,58.4,61.625,76.8542,3.3125,0,29.8225,1013.12,0,CLR,10SM,-,-,0
CA000000,03167,"1999-10-04 16:53:00","1999-10-06 15:53:00",70.1312,56.5021,62.0479,62.9167,4.5625,0.375,29.8573,1013.3,0,CLR,10SM,-,-,0
CA000000,23129,"1999-10-04 16:56:00","1999-10-06 15:56:00",64.8208,57.5333,60.55,78.6667,4.3125,0,29.8973,1013.35,0.000208333,CLR,10SM,-,-,0
CA000000,23174,"1999-10-04 16:50:00","1999-10-06 15:50:00",64.6958,58.3958,60.9708,80.6667,7.08333,0,29.831,1013.4,0.000208333,CLR,10SM,-,-,90
CA000000,93134,"1999-10-04 16:52:00","1999-10-06 15:52:00",66.0229,56.4021,60.3792,72.4792,1.9375,0,29.7275,1013.25,0,CLR,10SM,-,-,0
CA000000,03166,"1999-10-07 01:53:00","1999-10-09 00:53:00",74.125,49.7896,60.2167,49.2708,2.375,0,29.7763,1011.58,0,CLR,10SM,-,-,0
CA000000,03167,"1999-10-07 01:53:00","1999-10-09 00:53:00",77.3125,49.1292,61.3146,41.6667,3.27083,0,29.8171,1011.94,0,CLR,10SM,-,-,0
CA000000,23129,"1999-10-07 01:56:00","1999-10-09 00:56:00",74.1875,48.3167,59.75,46.7292,3.52083,0,29.8533,1011.86,0,CLR,10SM,-,-,0
CA000000,23174,"1999-10-07 01:50:00","1999-10-09 00:50:00",72.7917,53.5125,61.5708,54.1042,5.35417,0,29.7929,1012.05,0,CLR,10SM,-,-,0
CA000000,93134,"1999-10-07 01:52:00","1999-10-09 00:52:00",74.0375,48.1958,59.5167,45.6875,1.5625,0,29.6881,1011.84,0,CLR,10SM,-,-,0
CA000000,23129,"1999-10-07 01:56:00","1999-10-08 23:56:00",74.3617,48.3043,59.8149,46.5745,3.59574,0,29.8534,1011.86,0,CLR,10SM,-,-,0
CA000000,03166,"1999-10-11 16:53:00","1999-10-13 15:53:00",72.5042,52.4229,60.7104,54.8333,2.0625,0,29.8406,1013.76,0,CLR,10SM,-,-,0
CA000000,03167,"1999-10-11 16:53:00","1999-10-13 15:53:00",72.8812,53.2396,61.4167,53.0833,3.08333,0,29.884,1014.18,0,CLR,10SM,-,-,0
CA000000,23129,"1999-10-11 16:56:00","1999-10-13 15:56:00",70.3021,52.0938,59.8042,58.0208,3.83333,0,29.9177,1014.05,0,CLR,10SM,-,-,0
CA000000,23174,"1999-10-11 16:50:00","1999-10-13 15:50:00",67.075,57.1875,61.2604,72.3333,4.1875,0,29.8587,1014.33,0,CLR,10SM,-,-,0
CA000000,93134,"1999-10-11 16:52:00","1999-10-13 15:52:00",69.2371,50.2371,58.6514,58.2286,1.22857,0,29.7569,1014.18,0,CLR,10SM,-,-,0
CA000000,03166,"1999-10-14 01:53:00","1999-10-15 22:53:00",66.6217,59.0196,62.0174,77.6522,3.47826,0,29.7485,1010.59,0,CLR,10SM,-,-,0
CA000000,03167,"1999-10-14 01:53:00","1999-10-15 22:53:00",70.9022,57.6065,62.9304,63.6522,4.19565,0,29.7837,1010.8,0,CLR,10SM,-,-,0
CA000000,23129,"1999-10-14 01:56:00","1999-10-15 22:56:00",65.1326,58.5,61.1935,80.1522,3.8913,0,29.8224,1010.82,0,CLR,10SM,-,-,0
CA000000,23174,"1999-10-14 01:50:00","1999-10-15 22:50:00",65.0435,59.5543,61.7522,82.8261,5.84783,0,29.7585,1010.91,0,CLR,10SM,-,-,90
CA000000,93134,"1999-10-14 01:52:00","1999-10-15 22:52:00",66.8217,57.3326,61.1674,73.2391,1.71739,0,29.653,1010.71,0,CLR,10SM,-,-,0
CA000000,03166,"1999-10-14 02:53:00","1999-10-15 22:53:00",66.7467,59.0644,62.0933,77.4444,3.48889,0,29.7476,1010.56,0,CLR,10SM,-,-,0
CA000000,03167,"1999-10-14 02:53:00","1999-10-15 22:53:00",71.0111,57.6444,62.9889,63.5111,4.28889,0,29.7827,1010.76,0,CLR,10SM,-,-,0
CA000000,23129,"1999-10-14 02:56:00","1999-10-15 22:56:00",65.2444,58.5133,61.2467,79.8667,3.91111,0,29.8216,1010.8,0,CLR,10SM,-,-,0
